family_id,execution_policy,cost_profile,scenario_rows,above12_rows,acceptance_grade_rows,best_annualized_return_pct,median_annualized_return_pct,best_net_pnl_inr,max_scheduled_event_rows,max_symbol_rows,max_observed_trade_dates
P331_MICROPRICE_DEPTH_CONFIRM,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,64.0,0.0,18.02556299654034,0.0,8941.251486379137,50,6,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,taker_entry_taker_exit,zerodha_base,8640,14.0,0.0,14.44108488187844,0.0,12986.442897536304,50,32,50
P331_MICROPRICE_DEPTH_CONFIRM,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,32.0,0.0,14.145795064751722,0.0,7016.763424976052,50,6,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,11.95482466937067,0.0,8830.537937136485,50,32,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,10.878782973694765,0.0,1726.7909482055184,50,27,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,10.420643703602414,0.0,9799.656041297141,50,32,50
P331_DEPTH_ACCEL_CONTINUATION,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,9.752279290436976,0.0,1470.581797764306,50,28,50
P331_MICROPRICE_DEPTH_CONFIRM,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,7.220955903503546,0.0,3581.823364833108,50,6,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,6.908179212692536,0.0,4862.7441414840105,50,32,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,6.801808304631057,0.0,6612.869185057971,50,32,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,5.827536933713295,0.0,925.0058624941739,50,27,50
P331_MICROPRICE_DEPTH_CONFIRM,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,4.8442965590488605,0.0,2402.9248804805857,50,6,50
P331_DEPTH_ACCEL_CONTINUATION,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,4.700787184592328,0.0,708.8488611686844,50,28,50
P331_MICROPRICE_DEPTH_CONFIRM,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,2.467637214594176,0.0,1224.0263961280634,50,6,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,1.86153375601441,0.0,894.9503458315339,50,32,50
P331_DEPTH_ACCEL_REVERSAL,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,1.1183637246348246,0.0,1109.4878220583578,50,28,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,1.0560593307992026,0.0,523.8389537694457,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,1.0560593307992026,0.0,523.8389537694457,50,7,50
P331_DEPTH_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,1.0560593307992026,0.0,523.8389537694457,50,7,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,1.054711275625347,0.0,1025.4137401913094,50,32,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.7762908937318145,0.0,123.22077678282767,50,27,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_QTY_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_QTY_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,27,50
P331_QTY_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_QTY_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_QTY_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_ORDER_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_DEPTH_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,27,50
P331_QTY_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_ACCEL_CONTINUATION,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_ORDER_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_DEPTH_ACCEL_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_QTY_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_ORDER_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,27,50
P331_DEPTH_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_QTY_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_QTY_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_ORDER_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_QTY_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_ORDER_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_QTY_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_DEPTH_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_ACCEL_CONTINUATION,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_DEPTH_ACCEL_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_DEPTH_ACCEL_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_QTY_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_ORDER_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_base,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_DEPTH_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_1bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_DEPTH_ACCEL_CONTINUATION,passive_aware_directional_with_penalties,zerodha_plus_2bp_slippage,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
