strategy_id,predictive_requirement,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,blocking_gap,evidence_source,required_next_evidence,acceptance_eligible_now
S02,calibrated_model_output,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",False
S02,feature_stability,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,False
S02,holdout_cell_stability,beats local-majority baseline in every quarter/feed/segment holdout cell,4/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,Current proxy holdout cells do not consistently beat local-majority baselines.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,False
S02,multi_seed_walk_forward_validation,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,False
S02,promotion_falsification_clear,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",False
S02,real_multi_day_holdout,predictive edge survives multi-day real market holdout,not available in current one-day/proxy evidence,missing_real_multi_day_predictive_holdout,False,False,Current predictive evidence has no multi-day real holdout validation.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Collect/run multiple real market days and compare predictive stability against synthetic and holdout-generator results.,False
S02,strategy_support_ready,strategy is runnable in the current feature product,support_level=runnable_proxy,runnable_proxy_not_acceptance,True,False,Runnable proxy support is necessary but not sufficient for predictive acceptance.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.,False
S02,untouched_test_stability,all untouched-test cells beat local-majority baseline,4/15 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,True,False,Untouched-test stability is incomplete or failing in current proxy evidence.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,False
S03,baseline_outperformance,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=277765; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.043356408328640184; brier_skill=-0.027069033352262423,baseline_proxy_available_not_acceptance,True,False,Current baseline comparison is proxy-only and does not clear all required baseline checks.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,False
S03,calibrated_model_output,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",False
S03,feature_stability,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,False
S03,holdout_cell_stability,beats local-majority baseline in every quarter/feed/segment holdout cell,0/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,Current proxy holdout cells do not consistently beat local-majority baselines.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,False
S03,multi_seed_walk_forward_validation,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,False
S03,promotion_falsification_clear,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",False
S03,real_multi_day_holdout,predictive edge survives multi-day real market holdout,not available in current one-day/proxy evidence,missing_real_multi_day_predictive_holdout,False,False,Current predictive evidence has no multi-day real holdout validation.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Collect/run multiple real market days and compare predictive stability against synthetic and holdout-generator results.,False
S03,strategy_support_ready,strategy is runnable in the current feature product,support_level=partial_missing_required_features,partial_or_unsupported_strategy,False,False,Runnable proxy support is necessary but not sufficient for predictive acceptance.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.,False
S03,untouched_test_stability,all untouched-test cells beat local-majority baseline,0/15 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,True,False,Untouched-test stability is incomplete or failing in current proxy evidence.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,False
S04,baseline_outperformance,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=420091; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.03036157502400899; brier_skill=-0.03670879966627424,baseline_proxy_available_not_acceptance,True,False,Current baseline comparison is proxy-only and does not clear all required baseline checks.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,False
S04,calibrated_model_output,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",False
S04,feature_stability,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,False
S04,holdout_cell_stability,beats local-majority baseline in every quarter/feed/segment holdout cell,0/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,Current proxy holdout cells do not consistently beat local-majority baselines.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,False
S04,multi_seed_walk_forward_validation,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,False
S04,promotion_falsification_clear,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",False
S04,real_multi_day_holdout,predictive edge survives multi-day real market holdout,not available in current one-day/proxy evidence,missing_real_multi_day_predictive_holdout,False,False,Current predictive evidence has no multi-day real holdout validation.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Collect/run multiple real market days and compare predictive stability against synthetic and holdout-generator results.,False
S04,strategy_support_ready,strategy is runnable in the current feature product,support_level=partial_missing_required_features,partial_or_unsupported_strategy,False,False,Runnable proxy support is necessary but not sufficient for predictive acceptance.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.,False
S04,untouched_test_stability,all untouched-test cells beat local-majority baseline,0/15 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,True,False,Untouched-test stability is incomplete or failing in current proxy evidence.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,False
S05,baseline_outperformance,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=431486; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.013823490836392172; brier_skill=-0.03819297866770031,baseline_proxy_available_not_acceptance,True,False,Current baseline comparison is proxy-only and does not clear all required baseline checks.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,False
S05,calibrated_model_output,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",False
S05,feature_stability,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,False
S05,holdout_cell_stability,beats local-majority baseline in every quarter/feed/segment holdout cell,4/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,Current proxy holdout cells do not consistently beat local-majority baselines.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,False
S05,multi_seed_walk_forward_validation,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,False
S05,promotion_falsification_clear,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",False
S05,real_multi_day_holdout,predictive edge survives multi-day real market holdout,not available in current one-day/proxy evidence,missing_real_multi_day_predictive_holdout,False,False,Current predictive evidence has no multi-day real holdout validation.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Collect/run multiple real market days and compare predictive stability against synthetic and holdout-generator results.,False
S05,strategy_support_ready,strategy is runnable in the current feature product,support_level=runnable_proxy,runnable_proxy_not_acceptance,True,False,Runnable proxy support is necessary but not sufficient for predictive acceptance.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.,False
S05,untouched_test_stability,all untouched-test cells beat local-majority baseline,0/15 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,True,False,Untouched-test stability is incomplete or failing in current proxy evidence.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,False
S06,baseline_outperformance,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=33550; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.005736183252832094; brier_skill=-0.0027869858435997878,baseline_proxy_available_not_acceptance,True,False,Current baseline comparison is proxy-only and does not clear all required baseline checks.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,False
S06,calibrated_model_output,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",False
S06,feature_stability,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,False
S06,holdout_cell_stability,beats local-majority baseline in every quarter/feed/segment holdout cell,1/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,Current proxy holdout cells do not consistently beat local-majority baselines.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,False
S06,multi_seed_walk_forward_validation,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,False
