strategy_id,strategy_name,primary_metric,promotion_allowed_now,current_evidence_label,phase16_mapped_metric_name,phase16_current_status,phase16_acceptance_ready
S05,Microprice entry/exit filter,entry_slippage,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S05,Microprice entry/exit filter,post_entry_adverse_movement,False,engineering_and_within_day_falsification_only,mae_mfe,sample_proxy,False
S05,Microprice entry/exit filter,brier_score,False,engineering_and_within_day_falsification_only,brier_score,sample_proxy,False
S05,Microprice entry/exit filter,trade_reduction,False,engineering_and_within_day_falsification_only,turnover,proxy_available,False
S05,Microprice entry/exit filter,net_performance_uplift_over_parent,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S06,Absorption and exhaustion reversal,reversal_probability,False,engineering_and_within_day_falsification_only,directional_accuracy,computed_proxy,False
S06,Absorption and exhaustion reversal,net_expectancy,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S06,Absorption and exhaustion reversal,false_absorption_rate,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S06,Absorption and exhaustion reversal,label_stability,False,engineering_and_within_day_falsification_only,feature_importance_stability,sample_proxy,False
S06,Absorption and exhaustion reversal,cost_sensitivity,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S07,Short-term mean reversion after imbalance,regime_aware_vs_unaware_uplift,False,engineering_and_within_day_falsification_only,strategy_specific_missing_or_not_mapped,strategy_specific_missing_or_not_mapped,False
S07,Short-term mean reversion after imbalance,net_expectancy,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S07,Short-term mean reversion after imbalance,drawdown,False,engineering_and_within_day_falsification_only,maximum_drawdown,sample_proxy,False
S07,Short-term mean reversion after imbalance,false_reversion_rate,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S07,Short-term mean reversion after imbalance,cost_sensitivity,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S08,Cross-ticker/index lead-lag OFI,incremental_predictive_value,False,engineering_and_within_day_falsification_only,incremental_r2,sample_proxy,False
S08,Cross-ticker/index lead-lag OFI,false_detection_rate,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S08,Cross-ticker/index lead-lag OFI,lead_lag_stability,False,engineering_and_within_day_falsification_only,feature_importance_stability,sample_proxy,False
S08,Cross-ticker/index lead-lag OFI,net_edge_after_costs,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S08,Cross-ticker/index lead-lag OFI,control_rejection_rate,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S09,Pure queue-imbalance scalping,next_quote_accuracy,False,engineering_and_within_day_falsification_only,directional_accuracy,computed_proxy,False
S09,Pure queue-imbalance scalping,expected_move_vs_spread,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S09,Pure queue-imbalance scalping,latency_decay,False,engineering_and_within_day_falsification_only,exposure_holding_time,sample_proxy,False
S09,Pure queue-imbalance scalping,net_edge_after_costs,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S10,Passive market making,pessimistic_model_pnl,False,engineering_and_within_day_falsification_only,net_pnl,computed_proxy,False
S10,Passive market making,inventory_drawdown,False,engineering_and_within_day_falsification_only,maximum_drawdown,sample_proxy,False
S10,Passive market making,spread_capture,False,engineering_and_within_day_falsification_only,gross_pnl,computed_proxy,False
S10,Passive market making,adverse_selection_loss,False,engineering_and_within_day_falsification_only,adverse_selection,sample_proxy,False
S10,Passive market making,liquidation_cost,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S10,Passive market making,fill_uncertainty,False,engineering_and_within_day_falsification_only,fill_ratio,sample_proxy,False
S11,Suspicious wall/spoof-like pattern filter,risk_filter_precision,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S11,Suspicious wall/spoof-like pattern filter,false_positive_rate,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S11,Suspicious wall/spoof-like pattern filter,miss_rate,False,engineering_and_within_day_falsification_only,fill_ratio,sample_proxy,False
S11,Suspicious wall/spoof-like pattern filter,parent_strategy_drawdown_reduction,False,engineering_and_within_day_falsification_only,maximum_drawdown,sample_proxy,False
