strategy_id,economic_requirement,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,blocking_gap,evidence_source,required_next_evidence,acceptance_eligible_now
S02,stressed_profile_net_positive,stressed retail profile net-positive after all costs,0/1 stressed profile rows net-positive,proxy_stress_row_available_not_acceptance,True,False,Stressed-profile economics are proxy-only and may be nonpositive.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Require stressed-profile net profitability under acceptance fills, costs and latency.",False
S02,zerodha_order_formula_ready,documented Zerodha equity-intraday charge formulas applied to P&L proxy,formula_ready=True,zerodha_formula_proxy_ready_not_acceptance,True,False,"Documented formulas exist, but formula evidence alone is not broker reconciliation.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Retain Zerodha formula evidence and reconcile charges against broker contract notes where available.,False
S03,broker_exchange_fill_provenance,actual broker/exchange order and fill identifiers available and reconciled,actual_fill_ready=False,missing_actual_fill_provenance,False,False,"No actual broker/exchange fill identifiers, prices or quantities are present in current proxy evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.,False
S03,contract_note_reconciliation,broker contract-note charges and net obligation reconcile to strategy P&L,broker_contract_ready=False; missing_items=13; strategy_ready=False,proxy_formula_ready_contract_note_missing,True,False,"Contract-note fields are missing, so realized cost/P&L reconciliation is not acceptance-grade.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes.",False
S03,latency_slippage_stress_confirmation,retail and stressed latency/slippage profiles evaluated and economically viable,profiles_present=retail_marketable_default;stressed_retail;zero_latency_spread_only_control; retail_stress_positive=1/2,latency_slippage_proxy_profiles_available_not_acceptance,True,False,"Latency and slippage stress exists as Phase 12 proxy settings, not acceptance-grade execution evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run tick/event lifecycle execution with calibrated retail latency, slippage stress and cancel/reject behavior.",False
S03,multi_day_real_or_holdout_economic_validation,positive economics survive multi-day real-data or untouched holdout-generator reruns,not available in current one-day/proxy evidence,missing_multi_day_real_or_holdout_economic_validation,False,False,Current economic evidence is synthetic/proxy and does not include multi-day real or untouched economic holdout validation.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Run economic validation on multi-day real data and/or untouched holdout-generator configurations before promotion.,False
S03,retail_and_stress_net_positive,net-positive after costs in retail and stressed deployable profiles,1/2 retail/stress profile rows net-positive,proxy_frontier_available_not_acceptance,True,False,"Current proxy does not prove persistent positive economics after realistic costs, slippage and latency.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run acceptance-grade event/tick P&L with deployable retail and stressed profiles, then require positive net results.",False
S03,risk_adjusted_economic_joint_pass,net-positive economics jointly clears lifecycle risk-pass criteria,0 all-profile joint-pass rows; 0 retail/stress joint-pass rows,risk_adjusted_proxy_available_not_acceptance,True,False,Risk-adjusted frontier is proxy-only and currently has no retail/stress joint pass.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Join acceptance-grade economic P&L to acceptance-grade risk state and require joint pass.,False
S03,stressed_profile_net_positive,stressed retail profile net-positive after all costs,0/1 stressed profile rows net-positive,proxy_stress_row_available_not_acceptance,True,False,Stressed-profile economics are proxy-only and may be nonpositive.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Require stressed-profile net profitability under acceptance fills, costs and latency.",False
S03,zerodha_order_formula_ready,documented Zerodha equity-intraday charge formulas applied to P&L proxy,formula_ready=True,zerodha_formula_proxy_ready_not_acceptance,True,False,"Documented formulas exist, but formula evidence alone is not broker reconciliation.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Retain Zerodha formula evidence and reconcile charges against broker contract notes where available.,False
S04,broker_exchange_fill_provenance,actual broker/exchange order and fill identifiers available and reconciled,actual_fill_ready=False,missing_actual_fill_provenance,False,False,"No actual broker/exchange fill identifiers, prices or quantities are present in current proxy evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.,False
S04,contract_note_reconciliation,broker contract-note charges and net obligation reconcile to strategy P&L,broker_contract_ready=False; missing_items=13; strategy_ready=False,proxy_formula_ready_contract_note_missing,True,False,"Contract-note fields are missing, so realized cost/P&L reconciliation is not acceptance-grade.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes.",False
S04,latency_slippage_stress_confirmation,retail and stressed latency/slippage profiles evaluated and economically viable,profiles_present=retail_marketable_default;stressed_retail;zero_latency_spread_only_control; retail_stress_positive=0/2,latency_slippage_proxy_profiles_available_not_acceptance,True,False,"Latency and slippage stress exists as Phase 12 proxy settings, not acceptance-grade execution evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run tick/event lifecycle execution with calibrated retail latency, slippage stress and cancel/reject behavior.",False
S04,multi_day_real_or_holdout_economic_validation,positive economics survive multi-day real-data or untouched holdout-generator reruns,not available in current one-day/proxy evidence,missing_multi_day_real_or_holdout_economic_validation,False,False,Current economic evidence is synthetic/proxy and does not include multi-day real or untouched economic holdout validation.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Run economic validation on multi-day real data and/or untouched holdout-generator configurations before promotion.,False
S04,retail_and_stress_net_positive,net-positive after costs in retail and stressed deployable profiles,0/2 retail/stress profile rows net-positive,proxy_frontier_available_not_acceptance,True,False,"Current proxy does not prove persistent positive economics after realistic costs, slippage and latency.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run acceptance-grade event/tick P&L with deployable retail and stressed profiles, then require positive net results.",False
S04,risk_adjusted_economic_joint_pass,net-positive economics jointly clears lifecycle risk-pass criteria,0 all-profile joint-pass rows; 0 retail/stress joint-pass rows,risk_adjusted_proxy_available_not_acceptance,True,False,Risk-adjusted frontier is proxy-only and currently has no retail/stress joint pass.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Join acceptance-grade economic P&L to acceptance-grade risk state and require joint pass.,False
S04,stressed_profile_net_positive,stressed retail profile net-positive after all costs,0/1 stressed profile rows net-positive,proxy_stress_row_available_not_acceptance,True,False,Stressed-profile economics are proxy-only and may be nonpositive.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Require stressed-profile net profitability under acceptance fills, costs and latency.",False
S04,zerodha_order_formula_ready,documented Zerodha equity-intraday charge formulas applied to P&L proxy,formula_ready=True,zerodha_formula_proxy_ready_not_acceptance,True,False,"Documented formulas exist, but formula evidence alone is not broker reconciliation.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Retain Zerodha formula evidence and reconcile charges against broker contract notes where available.,False
S05,broker_exchange_fill_provenance,actual broker/exchange order and fill identifiers available and reconciled,actual_fill_ready=False,missing_actual_fill_provenance,False,False,"No actual broker/exchange fill identifiers, prices or quantities are present in current proxy evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.,False
S05,contract_note_reconciliation,broker contract-note charges and net obligation reconcile to strategy P&L,broker_contract_ready=False; missing_items=13; strategy_ready=False,proxy_formula_ready_contract_note_missing,True,False,"Contract-note fields are missing, so realized cost/P&L reconciliation is not acceptance-grade.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes.",False
S05,latency_slippage_stress_confirmation,retail and stressed latency/slippage profiles evaluated and economically viable,profiles_present=retail_marketable_default;stressed_retail;zero_latency_spread_only_control; retail_stress_positive=0/2,latency_slippage_proxy_profiles_available_not_acceptance,True,False,"Latency and slippage stress exists as Phase 12 proxy settings, not acceptance-grade execution evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run tick/event lifecycle execution with calibrated retail latency, slippage stress and cancel/reject behavior.",False
S05,multi_day_real_or_holdout_economic_validation,positive economics survive multi-day real-data or untouched holdout-generator reruns,not available in current one-day/proxy evidence,missing_multi_day_real_or_holdout_economic_validation,False,False,Current economic evidence is synthetic/proxy and does not include multi-day real or untouched economic holdout validation.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Run economic validation on multi-day real data and/or untouched holdout-generator configurations before promotion.,False
S05,retail_and_stress_net_positive,net-positive after costs in retail and stressed deployable profiles,0/2 retail/stress profile rows net-positive,proxy_frontier_available_not_acceptance,True,False,"Current proxy does not prove persistent positive economics after realistic costs, slippage and latency.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run acceptance-grade event/tick P&L with deployable retail and stressed profiles, then require positive net results.",False
S05,risk_adjusted_economic_joint_pass,net-positive economics jointly clears lifecycle risk-pass criteria,0 all-profile joint-pass rows; 0 retail/stress joint-pass rows,risk_adjusted_proxy_available_not_acceptance,True,False,Risk-adjusted frontier is proxy-only and currently has no retail/stress joint pass.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Join acceptance-grade economic P&L to acceptance-grade risk state and require joint pass.,False
S05,stressed_profile_net_positive,stressed retail profile net-positive after all costs,0/1 stressed profile rows net-positive,proxy_stress_row_available_not_acceptance,True,False,Stressed-profile economics are proxy-only and may be nonpositive.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Require stressed-profile net profitability under acceptance fills, costs and latency.",False
S05,zerodha_order_formula_ready,documented Zerodha equity-intraday charge formulas applied to P&L proxy,formula_ready=True,zerodha_formula_proxy_ready_not_acceptance,True,False,"Documented formulas exist, but formula evidence alone is not broker reconciliation.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Retain Zerodha formula evidence and reconcile charges against broker contract notes where available.,False
S06,broker_exchange_fill_provenance,actual broker/exchange order and fill identifiers available and reconciled,actual_fill_ready=False,missing_actual_fill_provenance,False,False,"No actual broker/exchange fill identifiers, prices or quantities are present in current proxy evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.,False
S06,contract_note_reconciliation,broker contract-note charges and net obligation reconcile to strategy P&L,broker_contract_ready=False; missing_items=13; strategy_ready=False,proxy_formula_ready_contract_note_missing,True,False,"Contract-note fields are missing, so realized cost/P&L reconciliation is not acceptance-grade.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes.",False
S06,latency_slippage_stress_confirmation,retail and stressed latency/slippage profiles evaluated and economically viable,profiles_present=retail_marketable_default;stressed_retail;zero_latency_spread_only_control; retail_stress_positive=0/2,latency_slippage_proxy_profiles_available_not_acceptance,True,False,"Latency and slippage stress exists as Phase 12 proxy settings, not acceptance-grade execution evidence.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run tick/event lifecycle execution with calibrated retail latency, slippage stress and cancel/reject behavior.",False
S06,multi_day_real_or_holdout_economic_validation,positive economics survive multi-day real-data or untouched holdout-generator reruns,not available in current one-day/proxy evidence,missing_multi_day_real_or_holdout_economic_validation,False,False,Current economic evidence is synthetic/proxy and does not include multi-day real or untouched economic holdout validation.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Run economic validation on multi-day real data and/or untouched holdout-generator configurations before promotion.,False
S06,retail_and_stress_net_positive,net-positive after costs in retail and stressed deployable profiles,0/2 retail/stress profile rows net-positive,proxy_frontier_available_not_acceptance,True,False,"Current proxy does not prove persistent positive economics after realistic costs, slippage and latency.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Run acceptance-grade event/tick P&L with deployable retail and stressed profiles, then require positive net results.",False
S06,risk_adjusted_economic_joint_pass,net-positive economics jointly clears lifecycle risk-pass criteria,0 all-profile joint-pass rows; 0 retail/stress joint-pass rows,risk_adjusted_proxy_available_not_acceptance,True,False,Risk-adjusted frontier is proxy-only and currently has no retail/stress joint pass.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,Join acceptance-grade economic P&L to acceptance-grade risk state and require joint pass.,False
S06,stressed_profile_net_positive,stressed retail profile net-positive after all costs,0/1 stressed profile rows net-positive,proxy_stress_row_available_not_acceptance,True,False,Stressed-profile economics are proxy-only and may be nonpositive.,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,"Require stressed-profile net profitability under acceptance fills, costs and latency.",False
