strategy_id,name,support_level,execution_profile,fill_model,queue_position_bucket,gross_edge_bps,cost_drag_bps,net_edge_bps,risk_penalty_bps,risk_adjusted_net_edge_bps,net_positive_proxy,risk_pass_candidate_proxy,net_positive_and_risk_pass_proxy,retail_or_stress_profile,retail_stress_net_positive_and_risk_pass_proxy,breach_days,daily_loss_breach_days,position_limit_breach_days,drawdown_breach_days,daily_halt_days,breach_day_fraction,daily_halt_day_fraction,risk_severity_score,risk_severity_band,risk_adjusted_frontier_status,promotion_allowed,acceptance_status,acceptance_eligible_now,blocker
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,retail_marketable_default,pessimistic_partial,back_queue_proxy,74.760393289249,10.249237888938,64.51115540031,6.5273015873015865,57.983853813008416,True,False,False,True,False,1,0,1,0,0,0.0158730158730158,0.0,6.5273015873015865,low_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,0.09437694770999511,1.5757074873899999,-1.4813305396799998,89.17955898838271,-90.66088952806271,False,False,False,False,False,21,18,4,13,18,0.3333333333333333,0.2857142857142857,89.17955898838271,medium_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S03,Liquidity-vacuum breakout,partial_missing_required_features,retail_marketable_default,optimistic_marketable,front_or_marketable,59.836470487995996,9.620566718577999,50.215903769418,141.49781898675195,-91.28191521733396,True,False,False,True,False,27,6,21,7,6,0.45,0.1,141.49781898675195,high_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,stressed_retail,optimistic_marketable,front_or_marketable,2.526985915549,13.221550126634,-10.694564211084,99.88820368915178,-110.58276790023578,False,False,False,True,False,21,20,0,17,20,0.3888888888888889,0.3703703703703703,99.88820368915178,medium_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,retail_marketable_default,neutral_partial,middle_queue_proxy,-6.542820780013001,11.085536015200999,-17.628356795214,114.6366372584117,-132.26499405362568,False,False,False,True,False,18,18,0,15,18,0.3333333333333333,0.3333333333333333,114.6366372584117,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,-0.9215628481930452,2.069336138396,-2.990898986589,148.00054467349574,-150.99144366008474,False,False,False,False,False,50,49,0,49,49,0.7936507936507936,0.7777777777777778,148.00054467349574,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,0.09437694770999511,1.5757074873899999,-1.4813305396799998,163.40496612301445,-164.88629666269443,False,False,False,False,False,38,26,24,25,26,0.6031746031746031,0.4126984126984127,163.40496612301445,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,retail_marketable_default,optimistic_marketable,front_or_marketable,-6.542820780013001,11.085536015200999,-17.628356795214,155.05853448995506,-172.68689128516905,False,False,False,True,False,24,23,0,22,23,0.4444444444444444,0.4259259259259259,155.05853448995506,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S04,Trade-flow plus depth confirmation,partial_missing_required_features,retail_marketable_default,pessimistic_partial,back_queue_proxy,6.981384287435,10.987891999384,-4.006507711948,172.15825151459472,-176.1647592265427,False,False,False,True,False,25,24,0,25,24,0.4166666666666667,0.4,172.15825151459472,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,retail_marketable_default,pessimistic_partial,back_queue_proxy,0.3049667915600301,10.959285472087998,-10.654318680528,185.856025763044,-196.510344443572,False,False,False,True,False,56,56,6,56,56,0.8888888888888888,0.8888888888888888,185.856025763044,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,-4.911728289385,3.8240583540579998,-8.735786643444,201.64421640958008,-210.38000305302407,False,False,False,False,False,46,32,27,30,32,0.7796610169491526,0.5423728813559322,201.64421640958008,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,retail_marketable_default,pessimistic_partial,back_queue_proxy,3.231440639469,13.89326489566,-10.66182425619,212.30275340087115,-222.96457765706114,False,False,False,True,False,43,35,23,40,35,0.7288135593220338,0.5932203389830508,212.30275340087115,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,-0.9215628481930452,2.069336138396,-2.990898986589,227.7461222845137,-230.7370212711027,False,False,False,False,False,57,55,0,57,55,0.9047619047619048,0.873015873015873,227.7461222845137,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,0.09437694770999511,1.5757074873899999,-1.4813305396799998,230.2326208469701,-231.71395138665008,False,False,False,False,False,54,34,42,27,34,0.8571428571428571,0.5396825396825397,230.2326208469701,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S04,Trade-flow plus depth confirmation,partial_missing_required_features,stressed_retail,pessimistic_partial,back_queue_proxy,-0.755036729836591,13.099594067645,-13.854630797482,218.4656096947377,-232.3202404922197,False,False,False,True,False,37,36,0,35,36,0.6166666666666667,0.6,218.4656096947377,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S05,Microprice entry/exit filter,runnable_proxy,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,14.992445437321999,3.341745249178,11.650700188143999,251.6111227372633,-239.9604225491193,True,False,False,False,False,63,13,63,30,13,1.0,0.2063492063492063,251.6111227372633,high_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S04,Trade-flow plus depth confirmation,partial_missing_required_features,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,-7.1105476438010005,2.005682032167,-9.116229675968,242.81520598953787,-251.9314356655059,False,False,False,False,False,35,33,0,32,33,0.5833333333333334,0.55,242.81520598953787,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,stressed_retail,pessimistic_partial,back_queue_proxy,-0.4791799645487301,13.073064887602,-13.552244852151,240.61775971151684,-254.17000456366785,False,False,False,True,False,60,60,5,59,60,0.9523809523809524,0.9523809523809524,240.61775971151684,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,retail_marketable_default,pessimistic_partial,back_queue_proxy,0.40197659804172364,11.832794974048001,-11.430818376006,243.0863585119839,-254.51717688798988,False,False,False,True,False,63,63,0,63,63,1.0,1.0,243.0863585119839,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,stressed_retail,pessimistic_partial,back_queue_proxy,0.4602374186773289,16.701690886985,-16.241453468308,251.1535341290861,-267.3949875973941,False,False,False,True,False,47,38,23,44,38,0.7966101694915254,0.6440677966101694,251.1535341290861,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,retail_marketable_default,neutral_partial,middle_queue_proxy,0.3049667915600301,10.959285472087998,-10.654318680528,264.4714179678409,-275.1257366483689,False,False,False,True,False,62,61,27,61,61,0.984126984126984,0.9682539682539684,264.4714179678409,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,stressed_retail,pessimistic_partial,back_queue_proxy,1.03743080932,12.37159007637,-11.334159267050001,273.5285347260103,-284.8626939930603,False,False,False,True,False,35,34,2,34,34,0.5555555555555556,0.5396825396825397,273.5285347260103,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,stressed_retail,pessimistic_partial,back_queue_proxy,-0.02821462299485985,14.352417220314,-14.380631843309,271.54042582827856,-285.92105767158756,False,False,False,True,False,63,63,0,63,63,1.0,1.0,271.54042582827856,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,retail_marketable_default,neutral_partial,middle_queue_proxy,3.231440639469,13.89326489566,-10.66182425619,280.6024919301641,-291.2643161863541,False,False,False,True,False,54,43,44,49,43,0.9152542372881356,0.7288135593220338,280.6024919301641,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,-0.9215628481930452,2.069336138396,-2.990898986589,302.807455388436,-305.798354375025,False,False,False,False,False,62,58,0,61,58,0.984126984126984,0.9206349206349206,302.807455388436,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,retail_marketable_default,neutral_partial,middle_queue_proxy,0.40197659804172364,11.832794974048001,-11.430818376006,312.374152344395,-323.804970720401,False,False,False,True,False,63,63,0,63,63,1.0,1.0,312.374152344395,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,stressed_retail,neutral_partial,middle_queue_proxy,-0.4791799645487301,13.073064887602,-13.552244852151,315.1129608496393,-328.6652057017903,False,False,False,True,False,62,62,21,61,62,0.984126984126984,0.984126984126984,315.1129608496393,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,retail_marketable_default,optimistic_marketable,front_or_marketable,3.231440639469,13.89326489566,-10.66182425619,329.1258495252379,-339.78767378142794,False,False,False,True,False,56,48,44,53,48,0.9491525423728814,0.8135593220338984,329.1258495252379,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S04,Trade-flow plus depth confirmation,partial_missing_required_features,retail_marketable_default,neutral_partial,middle_queue_proxy,6.981384287435,10.987891999384,-4.006507711948,337.0637017128043,-341.0702094247523,False,False,False,True,False,31,26,2,29,26,0.5166666666666667,0.4333333333333333,337.0637017128043,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S03,Liquidity-vacuum breakout,partial_missing_required_features,stressed_retail,pessimistic_partial,back_queue_proxy,3.692505532512,11.399101416499999,-7.706595883988,337.0650422599446,-344.7716381439326,False,False,False,True,False,27,23,10,23,23,0.45,0.3833333333333333,337.0650422599446,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,-4.911728289385,3.8240583540579998,-8.735786643444,336.9403709335056,-345.6761575769496,False,False,False,False,False,56,39,44,44,39,0.9491525423728814,0.6610169491525424,336.9403709335056,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S04,Trade-flow plus depth confirmation,partial_missing_required_features,stressed_retail,neutral_partial,middle_queue_proxy,-0.755036729836591,13.099594067645,-13.854630797482,336.3923498639101,-350.2469806613921,False,False,False,True,False,39,39,2,38,39,0.65,0.65,336.3923498639101,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,retail_marketable_default,optimistic_marketable,front_or_marketable,0.3049667915600301,10.959285472087998,-10.654318680528,340.3200968074545,-350.97441548798247,False,False,False,True,False,62,62,42,62,62,0.984126984126984,0.984126984126984,340.3200968074545,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,stressed_retail,neutral_partial,middle_queue_proxy,0.4602374186773289,16.701690886985,-16.241453468308,343.1572358332784,-359.3986893015864,False,False,False,True,False,56,42,44,55,42,0.9491525423728814,0.711864406779661,343.1572358332784,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,-0.2080910803893485,2.5035880388539997,-2.711679119243,358.25348242002644,-360.96516153926945,False,False,False,False,False,63,55,63,52,55,1.0,0.873015873015873,358.25348242002644,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,stressed_retail,neutral_partial,middle_queue_proxy,-0.02821462299485985,14.352417220314,-14.380631843309,364.40843505623,-378.789066899539,False,False,False,True,False,63,63,0,63,63,1.0,1.0,364.40843505623,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S02,Pure multi-level OFI directional model,runnable_proxy,retail_marketable_default,optimistic_marketable,front_or_marketable,0.40197659804172364,11.832794974048001,-11.430818376006,379.03432967974254,-390.46514805574856,False,False,False,True,False,63,63,0,63,63,1.0,1.0,379.03432967974254,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S05,Microprice entry/exit filter,runnable_proxy,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,14.992445437321999,3.341745249178,11.650700188143999,404.434825682052,-392.784125493908,True,False,False,False,False,63,13,63,15,13,1.0,0.2063492063492063,404.434825682052,high_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,stressed_retail,optimistic_marketable,front_or_marketable,-0.4791799645487301,13.073064887602,-13.552244852151,388.3935025114857,-401.94574736363666,False,False,False,True,False,63,63,36,63,63,1.0,1.0,388.3935025114857,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,retail_marketable_default,neutral_partial,middle_queue_proxy,1.7996209664949998,12.339237888551,-10.539616922056,393.0474922962003,-403.5871092182563,False,False,False,True,False,63,60,63,61,60,1.0,0.9523809523809524,393.0474922962003,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,-0.2080910803893485,2.5035880388539997,-2.711679119243,402.7488762944543,-405.4605554136973,False,False,False,False,False,63,50,63,47,50,1.0,0.7936507936507936,402.7488762944543,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,stressed_retail,neutral_partial,middle_queue_proxy,2.042345443432,14.906576613199999,-12.864231169767,392.80506974204206,-405.66930091180905,False,False,False,True,False,63,63,63,63,63,1.0,1.0,392.80506974204206,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S05,Microprice entry/exit filter,runnable_proxy,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,14.992445437321999,3.341745249178,11.650700188143999,418.505414740376,-406.854714552232,True,False,False,False,False,63,17,63,37,17,1.0,0.2698412698412698,418.505414740376,high_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,retail_marketable_default,optimistic_marketable,front_or_marketable,1.7996209664949998,12.339237888551,-10.539616922056,401.702245788645,-412.24186271070096,False,False,False,True,False,63,63,63,63,63,1.0,1.0,401.702245788645,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S04,Trade-flow plus depth confirmation,partial_missing_required_features,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,-7.1105476438010005,2.005682032167,-9.116229675968,410.18707178581377,-419.30330146178176,False,False,False,False,False,43,42,3,42,42,0.7166666666666667,0.7,410.18707178581377,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,stressed_retail,optimistic_marketable,front_or_marketable,2.042345443432,14.906576613199999,-12.864231169767,414.62027221014097,-427.48450337990795,False,False,False,True,False,63,63,63,63,63,1.0,1.0,414.62027221014097,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S07,Mean reversion after imbalance,runnable_proxy,stressed_retail,optimistic_marketable,front_or_marketable,0.4602374186773289,16.701690886985,-16.241453468308,413.5243571514242,-429.76581061973224,False,False,False,True,False,57,48,44,57,48,0.9661016949152542,0.8135593220338984,413.5243571514242,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,-0.2080910803893485,2.5035880388539997,-2.711679119243,434.8003405273158,-437.5120196465588,False,False,False,False,False,63,36,63,30,36,1.0,0.5714285714285714,434.8003405273158,high_proxy_breach_severity,control_profile_not_deployable,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S09,Pure queue-imbalance scalping,runnable_proxy,retail_marketable_default,pessimistic_partial,back_queue_proxy,1.7996209664949998,12.339237888551,-10.539616922056,427.3769329384966,-437.9165498605526,False,False,False,True,False,63,56,63,56,56,1.0,0.8888888888888888,427.3769329384966,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,stressed_retail,neutral_partial,middle_queue_proxy,1.03743080932,12.37159007637,-11.334159267050001,434.580730018602,-445.914889285652,False,False,False,True,False,45,39,12,40,39,0.7142857142857143,0.6190476190476191,434.580730018602,high_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
