symbol,trade_date,exchange,planned_action,source_symbol_dir,target_symbol_dir,source_file_count,target_file_count,source_bytes,target_bytes,target_exists,count_match,byte_match,integrity_pass,integrity_status
BANKBEES,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES,894,894,31580460,31580460,True,True,True,True,verified
BHARTIARTL,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL,892,892,32238955,32238955,True,True,True,True,verified
BPCL,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BPCL,893,893,30924713,30924713,True,True,True,True,verified
BRITANNIA,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA,892,892,30916269,30916269,True,True,True,True,verified
CIPLA,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA,892,892,30907690,30907690,True,True,True,True,verified
DRREDDY,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY,892,892,31896440,31896440,True,True,True,True,verified
GOLDBEES,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=GOLDBEES,893,893,31244094,31244094,True,True,True,True,verified
HCLTECH,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=HCLTECH,892,892,31085265,31085265,True,True,True,True,verified
HDFCBANK,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=HDFCBANK,892,892,32271288,32271288,True,True,True,True,verified
HINDUNILVR,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=HINDUNILVR,892,892,31470657,31470657,True,True,True,True,verified
ICICIBANK,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ICICIBANK,892,892,32126198,32126198,True,True,True,True,verified
INFY,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=INFY,892,892,31629099,31629099,True,True,True,True,verified
ITBEES,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ITBEES,894,894,30876542,30876542,True,True,True,True,verified
ITC,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ITC,892,892,31350471,31350471,True,True,True,True,verified
JUNIORBEES,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=JUNIORBEES,894,894,31522415,31522415,True,True,True,True,verified
KOTAKBANK,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=KOTAKBANK,892,892,31989996,31989996,True,True,True,True,verified
LT,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=LT,892,892,31871986,31871986,True,True,True,True,verified
M&M,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=M&M,892,892,31547955,31547955,True,True,True,True,verified
MARUTI,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=MARUTI,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=MARUTI,892,892,31365200,31365200,True,True,True,True,verified
NESTLEIND,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=NESTLEIND,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=NESTLEIND,892,892,30965113,30965113,True,True,True,True,verified
NIFTYBEES,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=NIFTYBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=NIFTYBEES,894,894,31464910,31464910,True,True,True,True,verified
ONGC,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ONGC,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ONGC,892,892,31134590,31134590,True,True,True,True,verified
RELIANCE,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=RELIANCE,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=RELIANCE,893,893,32081703,32081703,True,True,True,True,verified
SBIN,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=SBIN,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=SBIN,893,893,31749737,31749737,True,True,True,True,verified
SUNPHARMA,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=SUNPHARMA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=SUNPHARMA,892,892,31516068,31516068,True,True,True,True,verified
TCS,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=TCS,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=TCS,892,892,31735785,31735785,True,True,True,True,verified
TECHM,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=TECHM,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=TECHM,893,893,31017941,31017941,True,True,True,True,verified
ULTRACEMCO,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ULTRACEMCO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ULTRACEMCO,893,893,30888286,30888286,True,True,True,True,verified
WIPRO,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=WIPRO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=WIPRO,893,893,31225283,31225283,True,True,True,True,verified
