phase280_variant_id,target_family_id,target_family,target_rule,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_scenario_rows,max_annualized_pct,median_annualized_pct,min_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_offline_label,uses_net_edge_as_live_mask,near_miss_under_12,too_sparse_for_portfolio_claim,material_full_depth_clue
P280_REPLENISH_CONFIRM_Q70,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 8.417774 and avg_level_weighted_depth_imbalance >= 0.607609,6,58,2,0,4.2743243673262805,4.178509834639897,2.1371621836631403,135.69283705797716,P271_P280_REPLENISH_CONFIRM_Q70_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_REPLENISH_CONFIRM_Q80,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 10.699868 and avg_level_weighted_depth_imbalance >= 0.634034,6,58,2,0,4.2743243673262805,4.178509834639897,2.1371621836631403,135.69283705797716,P271_P280_REPLENISH_CONFIRM_Q80_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_ADVERSE_SELECTION_AVOID_Q70,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 342736.393969 and depth_withdrawal_pressure <= 6712.574807,6,296,3,0,4.238767858513251,2.8682241999536497,2.119383929256625,134.56405900042068,P271_P280_ADVERSE_SELECTION_AVOID_Q70_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q50,P279_NET_EDGE_DISTRIBUTION_SHIFT_TARGET,net_edge_distribution_shift,offline net-edge-positive label AND depth_consensus_imbalance >= 0.575120 and event_sparsity_pressure <= 2187162.832698,6,61,3,0,4.23605814479362,4.146032153686706,2.0280030812898957,134.47803634265458,P271_P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,1,0,1,1,1
P280_REPLENISH_CONFIRM_Q60,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.629741 and avg_level_weighted_depth_imbalance >= 0.582283,6,83,4,0,2.886936710151372,2.43730050574709,0.993832150671404,91.6487844492499,P271_P280_REPLENISH_CONFIRM_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_TIME_TO_EXIT_SHORT_HQ50,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 5.126904,6,640,4,0,2.8010737634681377,2.6710468020969627,1.2705099203628936,88.92297661803613,P271_P280_TIME_TO_EXIT_SHORT_HQ50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,6,555,4,0,2.541019840725787,1.175902977606654,1.0812960348504144,80.66729653097737,P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_REPLENISH_CONFIRM_Q90,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 12.933958 and avg_level_weighted_depth_imbalance >= 0.670035,6,23,2,0,2.2248069013895724,1.440974024220464,0.3285705735256778,70.62879052030388,P271_P280_REPLENISH_CONFIRM_Q90_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_TIME_TO_EXIT_SHORT_HQ60,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 5.629741,6,512,4,0,0.549313285313068,0.1800496999002944,0.0854427571440548,17.43851699406565,P271_P280_TIME_TO_EXIT_SHORT_HQ60_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,6,204,3,0,-1.1509807361932147,-2.219561828024785,-6.5762858397127095,-36.53907099026078,P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,0,1,0
P280_SPREAD_COST_MARGIN_Q60,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.195193 and depth_consensus_imbalance >= 0.590831,6,73,2,0,-1.3050087651223945,-2.3735898569539646,-6.884341897571069,-41.42884968642521,P271_P280_SPREAD_COST_MARGIN_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,0,1,0
P280_SPREAD_COST_MARGIN_Q70,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 3.515855 and depth_consensus_imbalance >= 0.603199,6,36,2,0,-1.3050087651223945,-2.3735898569539646,-6.884341897571069,-41.42884968642521,P271_P280_SPREAD_COST_MARGIN_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,0,1,0
P280_SPREAD_COST_MARGIN_Q80,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 2.559387 and depth_consensus_imbalance >= 0.616025,6,3,2,0,-9.17912253009476,-17.595728981570648,-18.35824506018952,-109.2752682154138,P271_P280_SPREAD_COST_MARGIN_Q80_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,1,1,0,0,0,0,1,0
P280_SPREAD_COST_MARGIN_Q90,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 2.059387 and depth_consensus_imbalance >= 0.630512,6,1,1,0,-27.53736759028428,-27.53736759028428,-55.07473518056855,-109.2752682154138,P271_P280_SPREAD_COST_MARGIN_Q90_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,1,1,0,0,0,0,1,0
