model_id,train_rows,feature_weights,feature_means,feature_stds,score_threshold,selection_split,validation_used_for_fit,extension_used_for_fit,test_used_for_fit
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q990_S1p5,105327,seconds_from_open_ist:-0.01920116;time_of_day_sin_ist:0.01740236;time_of_day_cos_ist:-0.02985021;context_spread_x_time:0.01363949,"{""context_spread_x_time"": -0.19656146203096442, ""seconds_from_open_ist"": 14686.809697418515, ""time_of_day_cos_ist"": -0.8617131233137227, ""time_of_day_sin_ist"": -0.3205939148612702}","{""context_spread_x_time"": 0.29880209946115255, ""seconds_from_open_ist"": 5623.098693423532, ""time_of_day_cos_ist"": 0.1166609060542795, ""time_of_day_sin_ist"": 0.3755799087563498}",0.13353162742663108,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q990_S2p5,164806,seconds_from_open_ist:-0.01917466;time_of_day_sin_ist:0.01738590;time_of_day_cos_ist:-0.03043612;context_spread_x_time:0.01585554,"{""context_spread_x_time"": -0.23528815567228367, ""seconds_from_open_ist"": 14390.605530138466, ""time_of_day_cos_ist"": -0.8651642372859022, ""time_of_day_sin_ist"": -0.3010735311228048}","{""context_spread_x_time"": 0.4124336519910286, ""seconds_from_open_ist"": 5740.028388204647, ""time_of_day_cos_ist"": 0.11373809392112623, ""time_of_day_sin_ist"": 0.38458967402926675}",0.1384594314213904,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q980_S1p5,105327,seconds_from_open_ist:-0.01920116;time_of_day_sin_ist:0.01740236;time_of_day_cos_ist:-0.02985021;context_spread_x_time:0.01363949,"{""context_spread_x_time"": -0.19656146203096442, ""seconds_from_open_ist"": 14686.809697418515, ""time_of_day_cos_ist"": -0.8617131233137227, ""time_of_day_sin_ist"": -0.3205939148612702}","{""context_spread_x_time"": 0.29880209946115255, ""seconds_from_open_ist"": 5623.098693423532, ""time_of_day_cos_ist"": 0.1166609060542795, ""time_of_day_sin_ist"": 0.3755799087563498}",0.12559412745631085,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q980_S2p5,164806,seconds_from_open_ist:-0.01917466;time_of_day_sin_ist:0.01738590;time_of_day_cos_ist:-0.03043612;context_spread_x_time:0.01585554,"{""context_spread_x_time"": -0.23528815567228367, ""seconds_from_open_ist"": 14390.605530138466, ""time_of_day_cos_ist"": -0.8651642372859022, ""time_of_day_sin_ist"": -0.3010735311228048}","{""context_spread_x_time"": 0.4124336519910286, ""seconds_from_open_ist"": 5740.028388204647, ""time_of_day_cos_ist"": 0.11373809392112623, ""time_of_day_sin_ist"": 0.38458967402926675}",0.12909070580928236,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q990_S1p5,105327,seconds_from_open_ist:-0.01920116;time_of_day_sin_ist:0.01740236;time_of_day_cos_ist:-0.02985021;context_spread_x_time:0.01363949,"{""context_spread_x_time"": -0.19656146203096442, ""seconds_from_open_ist"": 14686.809697418515, ""time_of_day_cos_ist"": -0.8617131233137227, ""time_of_day_sin_ist"": -0.3205939148612702}","{""context_spread_x_time"": 0.29880209946115255, ""seconds_from_open_ist"": 5623.098693423532, ""time_of_day_cos_ist"": 0.1166609060542795, ""time_of_day_sin_ist"": 0.3755799087563498}",0.13353162742663108,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q990_S2p5,164806,seconds_from_open_ist:-0.01917466;time_of_day_sin_ist:0.01738590;time_of_day_cos_ist:-0.03043612;context_spread_x_time:0.01585554,"{""context_spread_x_time"": -0.23528815567228367, ""seconds_from_open_ist"": 14390.605530138466, ""time_of_day_cos_ist"": -0.8651642372859022, ""time_of_day_sin_ist"": -0.3010735311228048}","{""context_spread_x_time"": 0.4124336519910286, ""seconds_from_open_ist"": 5740.028388204647, ""time_of_day_cos_ist"": 0.11373809392112623, ""time_of_day_sin_ist"": 0.38458967402926675}",0.1384594314213904,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q980_S1p5,284015,relative_spread_to_symbol_train_median:0.00097161;relative_receive_count_to_symbol_train_median:0.00009487;symbol_train_spread_bps_median:-0.00070632,"{""relative_receive_count_to_symbol_train_median"": 0.9361336549125926, ""relative_spread_to_symbol_train_median"": 0.6633247704519757, ""symbol_train_spread_bps_median"": 1.5141021949373543}","{""relative_receive_count_to_symbol_train_median"": 0.7751170204032206, ""relative_spread_to_symbol_train_median"": 0.3868100818898956, ""symbol_train_spread_bps_median"": 0.6630325789073759}",0.004235959175272299,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q980_S2p5,438053,relative_spread_to_symbol_train_median:-0.00053132;relative_receive_count_to_symbol_train_median:-0.00027430;symbol_train_spread_bps_median:-0.00012230,"{""relative_receive_count_to_symbol_train_median"": 0.9423060679872071, ""relative_spread_to_symbol_train_median"": 0.8623348489504444, ""symbol_train_spread_bps_median"": 1.6565816856715183}","{""relative_receive_count_to_symbol_train_median"": 0.7739924233135042, ""relative_spread_to_symbol_train_median"": 0.5643001752178495, ""symbol_train_spread_bps_median"": 0.752764075964841}",0.0016696296757877248,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q990_S1p5,284015,relative_spread_to_symbol_train_median:0.00097161;relative_receive_count_to_symbol_train_median:0.00009487;symbol_train_spread_bps_median:-0.00070632,"{""relative_receive_count_to_symbol_train_median"": 0.9361336549125926, ""relative_spread_to_symbol_train_median"": 0.6633247704519757, ""symbol_train_spread_bps_median"": 1.5141021949373543}","{""relative_receive_count_to_symbol_train_median"": 0.7751170204032206, ""relative_spread_to_symbol_train_median"": 0.3868100818898956, ""symbol_train_spread_bps_median"": 0.6630325789073759}",0.004308084049919388,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q990_S2p5,438053,relative_spread_to_symbol_train_median:-0.00053132;relative_receive_count_to_symbol_train_median:-0.00027430;symbol_train_spread_bps_median:-0.00012230,"{""relative_receive_count_to_symbol_train_median"": 0.9423060679872071, ""relative_spread_to_symbol_train_median"": 0.8623348489504444, ""symbol_train_spread_bps_median"": 1.6565816856715183}","{""relative_receive_count_to_symbol_train_median"": 0.7739924233135042, ""relative_spread_to_symbol_train_median"": 0.5643001752178495, ""symbol_train_spread_bps_median"": 0.752764075964841}",0.0018728425323075227,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q980_S1p5,284015,relative_spread_to_symbol_train_median:0.00097161;relative_receive_count_to_symbol_train_median:0.00009487;symbol_train_spread_bps_median:-0.00070632,"{""relative_receive_count_to_symbol_train_median"": 0.9361336549125926, ""relative_spread_to_symbol_train_median"": 0.6633247704519757, ""symbol_train_spread_bps_median"": 1.5141021949373543}","{""relative_receive_count_to_symbol_train_median"": 0.7751170204032206, ""relative_spread_to_symbol_train_median"": 0.3868100818898956, ""symbol_train_spread_bps_median"": 0.6630325789073759}",0.004235959175272299,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q980_S2p5,438053,relative_spread_to_symbol_train_median:-0.00053132;relative_receive_count_to_symbol_train_median:-0.00027430;symbol_train_spread_bps_median:-0.00012230,"{""relative_receive_count_to_symbol_train_median"": 0.9423060679872071, ""relative_spread_to_symbol_train_median"": 0.8623348489504444, ""symbol_train_spread_bps_median"": 1.6565816856715183}","{""relative_receive_count_to_symbol_train_median"": 0.7739924233135042, ""relative_spread_to_symbol_train_median"": 0.5643001752178495, ""symbol_train_spread_bps_median"": 0.752764075964841}",0.0016696296757877248,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q990_S1p5,284015,relative_spread_to_symbol_train_median:0.00097161;relative_receive_count_to_symbol_train_median:0.00009487;symbol_train_spread_bps_median:-0.00070632,"{""relative_receive_count_to_symbol_train_median"": 0.9361336549125926, ""relative_spread_to_symbol_train_median"": 0.6633247704519757, ""symbol_train_spread_bps_median"": 1.5141021949373543}","{""relative_receive_count_to_symbol_train_median"": 0.7751170204032206, ""relative_spread_to_symbol_train_median"": 0.3868100818898956, ""symbol_train_spread_bps_median"": 0.6630325789073759}",0.004308084049919388,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q990_S2p5,438053,relative_spread_to_symbol_train_median:-0.00053132;relative_receive_count_to_symbol_train_median:-0.00027430;symbol_train_spread_bps_median:-0.00012230,"{""relative_receive_count_to_symbol_train_median"": 0.9423060679872071, ""relative_spread_to_symbol_train_median"": 0.8623348489504444, ""symbol_train_spread_bps_median"": 1.6565816856715183}","{""relative_receive_count_to_symbol_train_median"": 0.7739924233135042, ""relative_spread_to_symbol_train_median"": 0.5643001752178495, ""symbol_train_spread_bps_median"": 0.752764075964841}",0.0018728425323075227,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q980_S1p5,105327,relative_spread_to_symbol_train_median:0.00065795;relative_receive_count_to_symbol_train_median:0.01130934;symbol_train_spread_bps_median:0.00009063,"{""relative_receive_count_to_symbol_train_median"": 2.521475974821271, ""relative_spread_to_symbol_train_median"": 0.63718758758837, ""symbol_train_spread_bps_median"": 1.5727162647641593}","{""relative_receive_count_to_symbol_train_median"": 1.8008949825534957, ""relative_spread_to_symbol_train_median"": 0.37266950727125125, ""symbol_train_spread_bps_median"": 0.6672859506958363}",0.030394250084544838,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q980_S2p5,164806,relative_spread_to_symbol_train_median:-0.00172285;relative_receive_count_to_symbol_train_median:0.01027635;symbol_train_spread_bps_median:0.00098301,"{""relative_receive_count_to_symbol_train_median"": 2.5029974636845744, ""relative_spread_to_symbol_train_median"": 0.8327818961953863, ""symbol_train_spread_bps_median"": 1.7211375236150808}","{""relative_receive_count_to_symbol_train_median"": 1.7968396059536875, ""relative_spread_to_symbol_train_median"": 0.5421145289536413, ""symbol_train_spread_bps_median"": 0.7590990691624535}",0.02772664681437993,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q990_S1p5,105327,relative_spread_to_symbol_train_median:0.00065795;relative_receive_count_to_symbol_train_median:0.01130934;symbol_train_spread_bps_median:0.00009063,"{""relative_receive_count_to_symbol_train_median"": 2.521475974821271, ""relative_spread_to_symbol_train_median"": 0.63718758758837, ""symbol_train_spread_bps_median"": 1.5727162647641593}","{""relative_receive_count_to_symbol_train_median"": 1.8008949825534957, ""relative_spread_to_symbol_train_median"": 0.37266950727125125, ""symbol_train_spread_bps_median"": 0.6672859506958363}",0.03435150262253789,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q990_S2p5,164806,relative_spread_to_symbol_train_median:-0.00172285;relative_receive_count_to_symbol_train_median:0.01027635;symbol_train_spread_bps_median:0.00098301,"{""relative_receive_count_to_symbol_train_median"": 2.5029974636845744, ""relative_spread_to_symbol_train_median"": 0.8327818961953863, ""symbol_train_spread_bps_median"": 1.7211375236150808}","{""relative_receive_count_to_symbol_train_median"": 1.7968396059536875, ""relative_spread_to_symbol_train_median"": 0.5421145289536413, ""symbol_train_spread_bps_median"": 0.7590990691624535}",0.03252731811159838,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q980_S1p5,105327,relative_spread_to_symbol_train_median:0.00065795;relative_receive_count_to_symbol_train_median:0.01130934;symbol_train_spread_bps_median:0.00009063,"{""relative_receive_count_to_symbol_train_median"": 2.521475974821271, ""relative_spread_to_symbol_train_median"": 0.63718758758837, ""symbol_train_spread_bps_median"": 1.5727162647641593}","{""relative_receive_count_to_symbol_train_median"": 1.8008949825534957, ""relative_spread_to_symbol_train_median"": 0.37266950727125125, ""symbol_train_spread_bps_median"": 0.6672859506958363}",0.030394250084544838,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q980_S2p5,164806,relative_spread_to_symbol_train_median:-0.00172285;relative_receive_count_to_symbol_train_median:0.01027635;symbol_train_spread_bps_median:0.00098301,"{""relative_receive_count_to_symbol_train_median"": 2.5029974636845744, ""relative_spread_to_symbol_train_median"": 0.8327818961953863, ""symbol_train_spread_bps_median"": 1.7211375236150808}","{""relative_receive_count_to_symbol_train_median"": 1.7968396059536875, ""relative_spread_to_symbol_train_median"": 0.5421145289536413, ""symbol_train_spread_bps_median"": 0.7590990691624535}",0.02772664681437993,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q990_S1p5,105327,relative_spread_to_symbol_train_median:0.00065795;relative_receive_count_to_symbol_train_median:0.01130934;symbol_train_spread_bps_median:0.00009063,"{""relative_receive_count_to_symbol_train_median"": 2.521475974821271, ""relative_spread_to_symbol_train_median"": 0.63718758758837, ""symbol_train_spread_bps_median"": 1.5727162647641593}","{""relative_receive_count_to_symbol_train_median"": 1.8008949825534957, ""relative_spread_to_symbol_train_median"": 0.37266950727125125, ""symbol_train_spread_bps_median"": 0.6672859506958363}",0.03435150262253789,train,0,0,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q990_S2p5,164806,relative_spread_to_symbol_train_median:-0.00172285;relative_receive_count_to_symbol_train_median:0.01027635;symbol_train_spread_bps_median:0.00098301,"{""relative_receive_count_to_symbol_train_median"": 2.5029974636845744, ""relative_spread_to_symbol_train_median"": 0.8327818961953863, ""symbol_train_spread_bps_median"": 1.7211375236150808}","{""relative_receive_count_to_symbol_train_median"": 1.7968396059536875, ""relative_spread_to_symbol_train_median"": 0.5421145289536413, ""symbol_train_spread_bps_median"": 0.7590990691624535}",0.03252731811159838,train,0,0,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q980_S1p5,284015,prior_market_active_symbol_count:0.00209652;prior_market_median_spread_bps:-0.05254914;prior_market_median_top5_imbalance:0.01432658;prior_market_receive_event_count_sum:0.00020214;prior_market_cross_symbol_arrival_share:0.00740456;market_stress_x_liquidity:0.00011706;lagged_market_imbalance_x_local_top5:-0.01068596,"{""lagged_market_imbalance_x_local_top5"": 0.011340886731737922, ""market_stress_x_liquidity"": 97.01940144802889, ""prior_market_active_symbol_count"": 23.77214935830854, ""prior_market_cross_symbol_arrival_share"": 0.7002872333368733, ""prior_market_median_spread_bps"": 1.7682317134166416, ""prior_market_median_top5_imbalance"": -0.038345585580754446, ""prior_market_receive_event_count_sum"": 147.83220956639613}","{""lagged_market_imbalance_x_local_top5"": 0.07181262718303265, ""market_stress_x_liquidity"": 272.5073226351691, ""prior_market_active_symbol_count"": 6.821435281660504, ""prior_market_cross_symbol_arrival_share"": 0.18675997890985435, ""prior_market_median_spread_bps"": 0.5119699212496005, ""prior_market_median_top5_imbalance"": 0.14565351906584628, ""prior_market_receive_event_count_sum"": 352.6185192206204}",0.13249222899714097,train,0,0,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q980_S2p5,438053,prior_market_active_symbol_count:0.00064945;prior_market_median_spread_bps:-0.04736094;prior_market_median_top5_imbalance:0.01491886;prior_market_receive_event_count_sum:-0.00005003;prior_market_cross_symbol_arrival_share:0.00700377;market_stress_x_liquidity:-0.00056717;lagged_market_imbalance_x_local_top5:-0.01159222,"{""lagged_market_imbalance_x_local_top5"": 0.010321314189473895, ""market_stress_x_liquidity"": 125.73788034382765, ""prior_market_active_symbol_count"": 23.72269565554853, ""prior_market_cross_symbol_arrival_share"": 0.6984057594876347, ""prior_market_median_spread_bps"": 1.8117092233587337, ""prior_market_median_top5_imbalance"": -0.039319766903139416, ""prior_market_receive_event_count_sum"": 147.50680168838016}","{""lagged_market_imbalance_x_local_top5"": 0.0710133202170223, ""market_stress_x_liquidity"": 363.992724392504, ""prior_market_active_symbol_count"": 6.864740352184829, ""prior_market_cross_symbol_arrival_share"": 0.18786720581980343, ""prior_market_median_spread_bps"": 0.5151879765173413, ""prior_market_median_top5_imbalance"": 0.14592832699516828, ""prior_market_receive_event_count_sum"": 351.64744473729786}",0.12185155083610595,train,0,0,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q990_S1p5,284015,prior_market_active_symbol_count:0.00209652;prior_market_median_spread_bps:-0.05254914;prior_market_median_top5_imbalance:0.01432658;prior_market_receive_event_count_sum:0.00020214;prior_market_cross_symbol_arrival_share:0.00740456;market_stress_x_liquidity:0.00011706;lagged_market_imbalance_x_local_top5:-0.01068596,"{""lagged_market_imbalance_x_local_top5"": 0.011340886731737922, ""market_stress_x_liquidity"": 97.01940144802889, ""prior_market_active_symbol_count"": 23.77214935830854, ""prior_market_cross_symbol_arrival_share"": 0.7002872333368733, ""prior_market_median_spread_bps"": 1.7682317134166416, ""prior_market_median_top5_imbalance"": -0.038345585580754446, ""prior_market_receive_event_count_sum"": 147.83220956639613}","{""lagged_market_imbalance_x_local_top5"": 0.07181262718303265, ""market_stress_x_liquidity"": 272.5073226351691, ""prior_market_active_symbol_count"": 6.821435281660504, ""prior_market_cross_symbol_arrival_share"": 0.18675997890985435, ""prior_market_median_spread_bps"": 0.5119699212496005, ""prior_market_median_top5_imbalance"": 0.14565351906584628, ""prior_market_receive_event_count_sum"": 352.6185192206204}",0.1553401333113526,train,0,0,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q990_S2p5,438053,prior_market_active_symbol_count:0.00064945;prior_market_median_spread_bps:-0.04736094;prior_market_median_top5_imbalance:0.01491886;prior_market_receive_event_count_sum:-0.00005003;prior_market_cross_symbol_arrival_share:0.00700377;market_stress_x_liquidity:-0.00056717;lagged_market_imbalance_x_local_top5:-0.01159222,"{""lagged_market_imbalance_x_local_top5"": 0.010321314189473895, ""market_stress_x_liquidity"": 125.73788034382765, ""prior_market_active_symbol_count"": 23.72269565554853, ""prior_market_cross_symbol_arrival_share"": 0.6984057594876347, ""prior_market_median_spread_bps"": 1.8117092233587337, ""prior_market_median_top5_imbalance"": -0.039319766903139416, ""prior_market_receive_event_count_sum"": 147.50680168838016}","{""lagged_market_imbalance_x_local_top5"": 0.0710133202170223, ""market_stress_x_liquidity"": 363.992724392504, ""prior_market_active_symbol_count"": 6.864740352184829, ""prior_market_cross_symbol_arrival_share"": 0.18786720581980343, ""prior_market_median_spread_bps"": 0.5151879765173413, ""prior_market_median_top5_imbalance"": 0.14592832699516828, ""prior_market_receive_event_count_sum"": 351.64744473729786}",0.14265647147050908,train,0,0,0
P198_MARKET_CONTEXT_LAGGED_H1_INVERSE_Q980_S1p5,284015,prior_market_active_symbol_count:0.00209652;prior_market_median_spread_bps:-0.05254914;prior_market_median_top5_imbalance:0.01432658;prior_market_receive_event_count_sum:0.00020214;prior_market_cross_symbol_arrival_share:0.00740456;market_stress_x_liquidity:0.00011706;lagged_market_imbalance_x_local_top5:-0.01068596,"{""lagged_market_imbalance_x_local_top5"": 0.011340886731737922, ""market_stress_x_liquidity"": 97.01940144802889, ""prior_market_active_symbol_count"": 23.77214935830854, ""prior_market_cross_symbol_arrival_share"": 0.7002872333368733, ""prior_market_median_spread_bps"": 1.7682317134166416, ""prior_market_median_top5_imbalance"": -0.038345585580754446, ""prior_market_receive_event_count_sum"": 147.83220956639613}","{""lagged_market_imbalance_x_local_top5"": 0.07181262718303265, ""market_stress_x_liquidity"": 272.5073226351691, ""prior_market_active_symbol_count"": 6.821435281660504, ""prior_market_cross_symbol_arrival_share"": 0.18675997890985435, ""prior_market_median_spread_bps"": 0.5119699212496005, ""prior_market_median_top5_imbalance"": 0.14565351906584628, ""prior_market_receive_event_count_sum"": 352.6185192206204}",0.13249222899714097,train,0,0,0
P198_MARKET_CONTEXT_LAGGED_H1_INVERSE_Q980_S2p5,438053,prior_market_active_symbol_count:0.00064945;prior_market_median_spread_bps:-0.04736094;prior_market_median_top5_imbalance:0.01491886;prior_market_receive_event_count_sum:-0.00005003;prior_market_cross_symbol_arrival_share:0.00700377;market_stress_x_liquidity:-0.00056717;lagged_market_imbalance_x_local_top5:-0.01159222,"{""lagged_market_imbalance_x_local_top5"": 0.010321314189473895, ""market_stress_x_liquidity"": 125.73788034382765, ""prior_market_active_symbol_count"": 23.72269565554853, ""prior_market_cross_symbol_arrival_share"": 0.6984057594876347, ""prior_market_median_spread_bps"": 1.8117092233587337, ""prior_market_median_top5_imbalance"": -0.039319766903139416, ""prior_market_receive_event_count_sum"": 147.50680168838016}","{""lagged_market_imbalance_x_local_top5"": 0.0710133202170223, ""market_stress_x_liquidity"": 363.992724392504, ""prior_market_active_symbol_count"": 6.864740352184829, ""prior_market_cross_symbol_arrival_share"": 0.18786720581980343, ""prior_market_median_spread_bps"": 0.5151879765173413, ""prior_market_median_top5_imbalance"": 0.14592832699516828, ""prior_market_receive_event_count_sum"": 351.64744473729786}",0.12185155083610595,train,0,0,0
