model_id,source_feature_id,feature_family,feature_columns,horizon_scope,side_mode,score_quantile,max_spread_bps,max_decision_rate,test_replay_allowed_in_phase198
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q980_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,signed_score,0.98,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q980_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,signed_score,0.98,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q990_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,signed_score,0.99,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_SIGNED_Q990_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,signed_score,0.99,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q980_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,inverse_score,0.98,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q980_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,inverse_score,0.98,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q990_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,inverse_score,0.99,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H1_INVERSE_Q990_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,1,inverse_score,0.99,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q980_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,signed_score,0.98,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q980_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,signed_score,0.98,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q990_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,signed_score,0.99,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_SIGNED_Q990_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,signed_score,0.99,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q980_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,inverse_score,0.98,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q980_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,inverse_score,0.98,2.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q990_S1p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,inverse_score,0.99,1.5,0.01,0
P198_SYMBOL_LIQUIDITY_REGIME_H5_INVERSE_Q990_S2p5,P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median;symbol_train_spread_bps_median,5,inverse_score,0.99,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q980_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,signed_score,0.98,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q980_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,signed_score,0.98,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q990_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,signed_score,0.99,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_SIGNED_Q990_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,signed_score,0.99,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_INVERSE_Q980_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,inverse_score,0.98,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_INVERSE_Q980_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,inverse_score,0.98,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_INVERSE_Q990_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,inverse_score,0.99,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H1_INVERSE_Q990_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,1,inverse_score,0.99,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_SIGNED_Q980_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,signed_score,0.98,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_SIGNED_Q980_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,signed_score,0.98,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_SIGNED_Q990_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,signed_score,0.99,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_SIGNED_Q990_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,signed_score,0.99,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_INVERSE_Q980_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,inverse_score,0.98,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_INVERSE_Q980_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,inverse_score,0.98,2.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_INVERSE_Q990_S1p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,inverse_score,0.99,1.5,0.01,0
P198_MARKET_CONTEXT_LAGGED_H5_INVERSE_Q990_S2p5,P197_MARKET_CONTEXT_LAGGED,lagged_market_context,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share;market_stress_x_liquidity;lagged_market_imbalance_x_local_top5,5,inverse_score,0.99,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_SIGNED_Q980_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,signed_score,0.98,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_SIGNED_Q980_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,signed_score,0.98,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_SIGNED_Q990_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,signed_score,0.99,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_SIGNED_Q990_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,signed_score,0.99,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_INVERSE_Q980_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,inverse_score,0.98,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_INVERSE_Q980_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,inverse_score,0.98,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_INVERSE_Q990_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,inverse_score,0.99,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H1_INVERSE_Q990_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,1,inverse_score,0.99,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_SIGNED_Q980_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,signed_score,0.98,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_SIGNED_Q980_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,signed_score,0.98,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_SIGNED_Q990_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,signed_score,0.99,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_SIGNED_Q990_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,signed_score,0.99,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_INVERSE_Q980_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,inverse_score,0.98,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_INVERSE_Q980_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,inverse_score,0.98,2.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_INVERSE_Q990_S1p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,inverse_score,0.99,1.5,0.01,0
P198_ASSET_CLASS_PROXY_H5_INVERSE_Q990_S2p5,P197_ASSET_CLASS_PROXY,instrument_context,asset_class_proxy_etf;relative_spread_to_symbol_train_median;prior_market_median_spread_bps,5,inverse_score,0.99,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_SIGNED_Q980_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,signed_score,0.98,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_SIGNED_Q980_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,signed_score,0.98,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_SIGNED_Q990_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,signed_score,0.99,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_SIGNED_Q990_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,signed_score,0.99,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_INVERSE_Q980_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,inverse_score,0.98,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_INVERSE_Q980_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,inverse_score,0.98,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_INVERSE_Q990_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,inverse_score,0.99,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H1_INVERSE_Q990_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,1,inverse_score,0.99,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_SIGNED_Q980_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,signed_score,0.98,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_SIGNED_Q980_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,signed_score,0.98,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_SIGNED_Q990_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,signed_score,0.99,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_SIGNED_Q990_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,signed_score,0.99,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_INVERSE_Q980_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,inverse_score,0.98,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_INVERSE_Q980_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,inverse_score,0.98,2.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_INVERSE_Q990_S1p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,inverse_score,0.99,1.5,0.01,0
P198_MICROSTRUCTURE_TRANSFORMS_H5_INVERSE_Q990_S2p5,P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms;relative_spread_to_symbol_train_median,5,inverse_score,0.99,2.5,0.01,0
P198_COMPOSITE_CONTEXT_H1_SIGNED_Q990_S1p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,1,signed_score,0.99,1.5,0.01,0
P198_COMPOSITE_CONTEXT_H1_SIGNED_Q990_S2p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,1,signed_score,0.99,2.5,0.01,0
P198_COMPOSITE_CONTEXT_H1_INVERSE_Q990_S1p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,1,inverse_score,0.99,1.5,0.01,0
P198_COMPOSITE_CONTEXT_H1_INVERSE_Q990_S2p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,1,inverse_score,0.99,2.5,0.01,0
P198_COMPOSITE_CONTEXT_H5_SIGNED_Q990_S1p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,5,signed_score,0.99,1.5,0.01,0
P198_COMPOSITE_CONTEXT_H5_SIGNED_Q990_S2p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,5,signed_score,0.99,2.5,0.01,0
P198_COMPOSITE_CONTEXT_H5_INVERSE_Q990_S1p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,5,inverse_score,0.99,1.5,0.01,0
P198_COMPOSITE_CONTEXT_H5_INVERSE_Q990_S2p5,P197_COMPOSITE_CONTEXT,composite_non_receive_flow_context,time_of_day_sin_ist;time_of_day_cos_ist;relative_spread_to_symbol_train_median;prior_market_median_spread_bps;prior_market_median_top5_imbalance;asset_class_proxy_etf;quote_churn_log;stale_quote_log_ms;lagged_market_imbalance_x_local_top5,5,inverse_score,0.99,2.5,0.01,0
