rule_id,group_id,leader_symbol,side_mode,feature_quantile,abs_leader_return_threshold,trades,target_symbols,trade_dates,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_bps,precision_cost_clear,positive_target_fraction,positive_date_fraction,cost_drag_to_abs_gross_ratio,label_candidate
P70_ETF_IT_MOMENTUM_Q90,ETF_IT_MOMENTUM,ITBEES,sign,0.9,0.003716320842366061,25,5,1,-5016.048208327249,-1958.6152882649421,3057.4329200623065,-20.064192833308997,0.4,0.0,0.0,1.5610175915509994,False
P70_MEGA_RELIANCE_FADE_Q90,MEGA_RELIANCE_FADE,RELIANCE,opposite,0.9,0.006499395405078934,129,26,1,-6624.892191888325,8830.908277313865,15455.800469202191,-5.13557534254909,0.3798449612403101,0.38461538461538464,0.0,1.7501937494818425,False
P70_ETF_IT_MOMENTUM_Q70,ETF_IT_MOMENTUM,ITBEES,sign,0.7,0.002768378960320006,75,5,1,-6644.1784347046005,2512.8613556435143,9157.039790348113,-8.858904579606135,0.44,0.0,0.0,3.644068849951773,False
P70_MEGA_TCS_FADE_Q90,MEGA_TCS_FADE,TCS,opposite,0.9,0.007087687414811583,129,26,1,-8085.578988833111,7367.603745298746,15453.18273413186,-6.267890689017916,0.37209302325581395,0.4230769230769231,0.0,2.097450306552182,False
P70_ETF_IT_MOMENTUM_Q50,ETF_IT_MOMENTUM,ITBEES,sign,0.5,0.001853285433815799,120,5,1,-10492.16088935767,4155.0627310533055,14647.223620410976,-8.74346740779806,0.4083333333333333,0.0,0.0,3.5251510190070987,False
P70_ETF_IT_FADE_Q70,ETF_IT_FADE,ITBEES,opposite,0.7,0.002768378960320006,75,5,1,-11669.901145991626,-2512.8613556435143,9157.039790348113,-15.559868194655502,0.30666666666666664,0.0,0.0,3.644068849951773,False
P70_ETF_BANK_FADE_Q70,ETF_BANK_FADE,BANKBEES,opposite,0.7,0.002884599535167398,75,5,1,-12923.11008881421,-4417.3415597560825,8505.768529058127,-17.23081345175228,0.3333333333333333,0.0,0.0,1.925540149883225,False
P70_MEGA_ICICIBANK_FADE_Q90,MEGA_ICICIBANK_FADE,ICICIBANK,opposite,0.9,0.006830985915492915,129,26,1,-14706.427814172435,763.0146822084627,15469.442496380898,-11.40033163889336,0.32558139534883723,0.2692307692307692,0.0,20.27410855529842,False
P70_MEGA_ICICIBANK_MOMENTUM_Q90,MEGA_ICICIBANK_MOMENTUM,ICICIBANK,sign,0.9,0.006830985915492915,129,26,1,-16232.45717858936,-763.0146822084627,15469.442496380898,-12.583300138441363,0.29457364341085274,0.19230769230769232,0.0,20.27410855529842,False
P70_MEGA_INFY_MOMENTUM_Q70,MEGA_INFY_MOMENTUM,INFY,sign,0.7,0.004398311048557368,388,26,1,-17671.82775116632,28680.05683097318,46351.8845821395,-4.554594781228433,0.4948453608247423,0.23076923076923078,0.0,1.616171294754254,False
P70_ETF_NIFTY_FADE_Q70,ETF_NIFTY_FADE,NIFTYBEES,opposite,0.7,0.0033229713795688287,404,27,1,-18517.464225831103,29681.27380474721,48198.738030578315,-4.583530748968095,0.34405940594059403,0.4444444444444444,0.0,1.6238770056718195,False
P70_ETF_IT_FADE_Q50,ETF_IT_FADE,ITBEES,opposite,0.5,0.001853285433815799,120,5,1,-18802.28635146428,-4155.0627310533055,14647.223620410976,-15.668571959553567,0.26666666666666666,0.0,0.0,3.5251510190070987,False
P70_MEGA_TCS_MOMENTUM_Q90,MEGA_TCS_MOMENTUM,TCS,sign,0.9,0.007087687414811583,129,26,1,-22820.7864794306,-7367.603745298746,15453.18273413186,-17.690532154597364,0.31007751937984496,0.11538461538461539,0.0,2.097450306552182,False
P70_ETF_BANK_FADE_Q50,ETF_BANK_FADE,BANKBEES,opposite,0.5,0.001766842800528412,125,5,1,-24194.649242636722,-10024.47834493222,14170.170897704498,-19.355719394109375,0.296,0.0,0.0,1.413556936343535,False
P70_MEGA_RELIANCE_MOMENTUM_Q90,MEGA_RELIANCE_MOMENTUM,RELIANCE,sign,0.9,0.006499395405078934,129,26,1,-24286.70874651605,-8830.908277313865,15455.800469202191,-18.826906005051203,0.3178294573643411,0.11538461538461539,0.0,1.7501937494818425,False
P70_MEGA_HDFCBANK_FADE_Q90,MEGA_HDFCBANK_FADE,HDFCBANK,opposite,0.9,0.00759338640538898,130,26,1,-26534.530393107503,-10963.552773551999,15570.977619555506,-20.41117722546731,0.23846153846153847,0.038461538461538464,0.0,1.4202492514213332,False
P70_MEGA_INFY_MOMENTUM_Q90,MEGA_INFY_MOMENTUM,INFY,sign,0.9,0.007463349622390147,129,26,1,-27794.259772792328,-12351.861795416464,15442.397977375866,-21.545937808366148,0.29457364341085274,0.15384615384615385,0.0,1.2502081251513226,False
P70_MEGA_INFY_MOMENTUM_Q50,MEGA_INFY_MOMENTUM,INFY,sign,0.5,0.002902885292047963,648,26,1,-33861.09873932325,43552.23665669636,77413.3353960196,-5.225478200512846,0.4675925925925926,0.23076923076923078,0.0,1.7774824288873103,False
P70_ETF_NIFTY_MOMENTUM_Q90,ETF_NIFTY_MOMENTUM,NIFTYBEES,sign,0.9,0.007024567788898928,134,27,1,-34136.72562566622,-18139.131823815715,15997.593801850508,-25.47516837736285,0.1791044776119403,0.1111111111111111,0.0,0.8819382293063508,False
P70_MEGA_TCS_MOMENTUM_Q70,MEGA_TCS_MOMENTUM,TCS,sign,0.7,0.003476611883691527,389,26,1,-36996.84384600433,9480.87597317926,46477.71981918359,-9.510756772751755,0.37532133676092544,0.07692307692307693,0.0,4.902260081311668,False
P70_MEGA_RELIANCE_MOMENTUM_Q70,MEGA_RELIANCE_MOMENTUM,RELIANCE,sign,0.7,0.004082867079994057,389,26,1,-41140.30731919949,5423.899821673117,46564.20714087261,-10.575914477943314,0.4087403598971722,0.11538461538461539,0.0,8.585005009644314,False
P70_MEGA_ICICIBANK_MOMENTUM_Q70,MEGA_ICICIBANK_MOMENTUM,ICICIBANK,sign,0.7,0.003535283515873955,389,26,1,-43984.81723278915,2595.0532744475117,46579.870507236665,-11.3071509595859,0.36246786632390743,0.15384615384615385,0.0,17.94948526332414,False
P70_MEGA_ICICIBANK_FADE_Q70,MEGA_ICICIBANK_FADE,ICICIBANK,opposite,0.7,0.003535283515873955,389,26,1,-49174.92378168418,-2595.0532744475117,46579.870507236665,-12.641368581409814,0.34704370179948585,0.11538461538461539,0.0,17.94948526332414,False
P70_MEGA_ICICIBANK_MOMENTUM_Q50,MEGA_ICICIBANK_MOMENTUM,ICICIBANK,sign,0.5,0.002082754790335928,649,26,1,-51713.67032436735,25948.987828037618,77662.65815240497,-7.968208062306216,0.3929121725731895,0.19230769230769232,0.0,2.9928973980438363,False
P70_MEGA_RELIANCE_FADE_Q70,MEGA_RELIANCE_FADE,RELIANCE,opposite,0.7,0.004082867079994057,389,26,1,-51988.106962545724,-5423.899821673117,46564.20714087261,-13.364551918392216,0.3496143958868895,0.15384615384615385,0.0,8.585005009644314,False
P70_MEGA_TCS_FADE_Q70,MEGA_TCS_FADE,TCS,opposite,0.7,0.003476611883691527,389,26,1,-55958.595792362845,-9480.87597317926,46477.71981918359,-14.385243134283506,0.30077120822622105,0.038461538461538464,0.0,4.902260081311668,False
P70_MEGA_RELIANCE_MOMENTUM_Q50,MEGA_RELIANCE_MOMENTUM,RELIANCE,sign,0.5,0.002813474260512372,648,26,1,-57738.649530515104,19793.356463530465,77532.00599404557,-8.910285421375788,0.4089506172839506,0.19230769230769232,0.0,3.9170721821182464,False
P70_ETF_NIFTY_FADE_Q50,ETF_NIFTY_FADE,NIFTYBEES,opposite,0.5,0.0021661431820643173,673,27,1,-59259.03616767491,21031.78560494442,80290.82177261933,-8.80520596845095,0.3551263001485884,0.2222222222222222,0.0,3.8175941539525553,False
P70_MEGA_TCS_FADE_Q50,MEGA_TCS_FADE,TCS,opposite,0.5,0.0024022118478902454,649,26,1,-68021.81705231048,9492.157504665654,77513.97455697614,-10.481019576627194,0.35285053929121724,0.07692307692307693,0.0,8.166107075117106,False
P70_MEGA_INFY_FADE_Q70,MEGA_INFY_FADE,INFY,opposite,0.7,0.004398311048557368,388,26,1,-75031.94141311267,-28680.05683097318,46351.8845821395,-19.33812923018368,0.2345360824742268,0.07692307692307693,0.0,1.616171294754254,False
P70_ETF_NIFTY_MOMENTUM_Q70,ETF_NIFTY_MOMENTUM,NIFTYBEES,sign,0.7,0.0033229713795688287,404,27,1,-77880.01183532551,-29681.27380474721,48198.738030578315,-19.277230652308294,0.3910891089108911,0.1111111111111111,0.0,1.6238770056718195,False
P70_MEGA_TCS_MOMENTUM_Q50,MEGA_TCS_MOMENTUM,TCS,sign,0.5,0.0024022118478902454,649,26,1,-87006.1320616418,-9492.157504665654,77513.97455697614,-13.406183676678241,0.35130970724191063,0.07692307692307693,0.0,8.166107075117106,False
P70_MEGA_RELIANCE_FADE_Q50,MEGA_RELIANCE_FADE,RELIANCE,opposite,0.5,0.002813474260512372,648,26,1,-97325.36245757603,-19793.356463530465,77532.00599404557,-15.019346058267908,0.3256172839506173,0.07692307692307693,0.0,3.9170721821182464,False
P70_ETF_NIFTY_MOMENTUM_Q50,ETF_NIFTY_MOMENTUM,NIFTYBEES,sign,0.5,0.0021661431820643173,673,27,1,-101322.60737756373,-21031.78560494442,80290.82177261933,-15.05536513782522,0.413075780089153,0.07407407407407407,0.0,3.8175941539525553,False
P70_MEGA_ICICIBANK_FADE_Q50,MEGA_ICICIBANK_FADE,ICICIBANK,opposite,0.5,0.002082754790335928,649,26,1,-103611.6459804426,-25948.987828037618,77662.65815240497,-15.964814480807796,0.2850539291217257,0.0,0.0,2.9928973980438363,False
P70_MEGA_INFY_FADE_Q50,MEGA_INFY_FADE,INFY,opposite,0.5,0.002902885292047963,648,26,1,-120965.57205271599,-43552.23665669636,77413.3353960196,-18.66752655134506,0.25462962962962965,0.0,0.0,1.7774824288873103,False
P70_MEGA_HDFCBANK_FADE_Q70,MEGA_HDFCBANK_FADE,HDFCBANK,opposite,0.7,0.004286990175647487,390,26,1,-132349.65270942103,-85632.6999437128,46716.95276570824,-33.93580838703103,0.2,0.0,0.0,0.5455503890034502,False
P70_MEGA_HDFCBANK_FADE_Q50,MEGA_HDFCBANK_FADE,HDFCBANK,opposite,0.5,0.002525100703421046,649,26,1,-171700.76651281526,-93947.06139235893,77753.70512045636,-26.45620439334596,0.25115562403698,0.0,0.0,0.8276331794533424,False
