symbol,trade_date,metric,phase154_full_partition_value,phase106_sampled_files_value,sampled_to_full_ratio,sample_bias_flag
DRREDDY,2026-07-13,p90_gap_ms,4792.5,446827.0,93.23463745435576,sampled_high_vs_full
DRREDDY,2026-07-13,p95_gap_ms,5750.0,453889.8,78.93735652173913,sampled_high_vs_full
DRREDDY,2026-07-13,gap_le_1s_fraction,0.4612434725848564,0.3680981595092024,0.7980560840164134,within_band
GOLDBEES,2026-07-13,median_gap_ms,1000.0,1000.0,1.0,within_band
GOLDBEES,2026-07-13,p90_gap_ms,4700.0,439314.2,93.47110638297873,sampled_high_vs_full
GOLDBEES,2026-07-13,p95_gap_ms,5680.0,451648.8,79.5156338028169,sampled_high_vs_full
GOLDBEES,2026-07-13,gap_le_1s_fraction,0.5085894769278175,0.51,1.0027734019993941,within_band
HCLTECH,2026-07-13,median_gap_ms,500.0,500.0,1.0,within_band
HCLTECH,2026-07-13,p90_gap_ms,1250.0,1214.7999999999988,0.971839999999999,within_band
HCLTECH,2026-07-13,p95_gap_ms,4158.799999999999,437735.8,105.25531403289412,sampled_high_vs_full
HCLTECH,2026-07-13,gap_le_1s_fraction,0.8744917136511191,0.8724373576309795,0.997650799901165,within_band
HDFCBANK,2026-07-13,median_gap_ms,500.0,499.0,0.998,within_band
HDFCBANK,2026-07-13,p90_gap_ms,1000.0,1000.0,1.0,within_band
HDFCBANK,2026-07-13,p95_gap_ms,1250.0,1250.0,1.0,within_band
HDFCBANK,2026-07-13,gap_le_1s_fraction,0.9219645141554035,0.919210053859964,0.9970124009621316,within_band
HINDUNILVR,2026-07-13,median_gap_ms,1001.0,1000.0,0.999000999000999,within_band
HINDUNILVR,2026-07-13,p90_gap_ms,4910.5999999999985,442440.00000000006,90.09896957601926,sampled_high_vs_full
HINDUNILVR,2026-07-13,p95_gap_ms,5859.449999999999,451841.6,77.113312682931,sampled_high_vs_full
HINDUNILVR,2026-07-13,gap_le_1s_fraction,0.49613867893526126,0.5155440414507773,1.0391127790261403,within_band
ICICIBANK,2026-07-13,median_gap_ms,500.0,500.0,1.0,within_band
ICICIBANK,2026-07-13,p90_gap_ms,2000.0,2000.0,1.0,within_band
ICICIBANK,2026-07-13,p95_gap_ms,4201.399999999998,439902.2,104.70371780834965,sampled_high_vs_full
ICICIBANK,2026-07-13,gap_le_1s_fraction,0.8288444830582102,0.818295739348371,0.9872729517714622,within_band
INFY,2026-07-13,median_gap_ms,500.0,500.0,1.0,within_band
INFY,2026-07-13,p90_gap_ms,1000.0,1000.0,1.0,within_band
INFY,2026-07-13,p95_gap_ms,2627.0999999999913,1774.9999999999773,0.6756499562254894,within_band
INFY,2026-07-13,gap_le_1s_fraction,0.9121993625036221,0.9095193213949104,0.9970620006778387,within_band
ITBEES,2026-07-13,median_gap_ms,1250.0,1250.0,1.0,within_band
ITBEES,2026-07-13,p90_gap_ms,5000.0,446257.6,89.25152,sampled_high_vs_full
ITBEES,2026-07-13,p95_gap_ms,5993.0,452907.8,75.57280160186885,sampled_high_vs_full
ITBEES,2026-07-13,gap_le_1s_fraction,0.45993031358885017,0.4425287356321839,0.9621647509578545,within_band
ITC,2026-07-13,median_gap_ms,1250.0,1254.5,1.0036,within_band
ITC,2026-07-13,p90_gap_ms,4782.300000000001,443821.1,92.80494741024191,sampled_high_vs_full
ITC,2026-07-13,p95_gap_ms,5750.0,452334.55,78.66687826086957,sampled_high_vs_full
ITC,2026-07-13,gap_le_1s_fraction,0.46841169817418,0.4471544715447154,0.9546184975475142,within_band
JUNIORBEES,2026-07-13,median_gap_ms,999.0,999.0,1.0,within_band
JUNIORBEES,2026-07-13,p90_gap_ms,4251.0,4750.0,1.1173841449070807,within_band
JUNIORBEES,2026-07-13,p95_gap_ms,5021.0,450119.4,89.64736108344951,sampled_high_vs_full
JUNIORBEES,2026-07-13,gap_le_1s_fraction,0.7149246029470787,0.7028571428571428,0.9831206535064102,within_band
KOTAKBANK,2026-07-13,median_gap_ms,1000.0,750.0,0.75,within_band
KOTAKBANK,2026-07-13,p90_gap_ms,4514.1,6375.0,1.4122416428523956,within_band
KOTAKBANK,2026-07-13,p95_gap_ms,5475.549999999999,450484.0,82.27191788952709,sampled_high_vs_full
KOTAKBANK,2026-07-13,gap_le_1s_fraction,0.5629524485450674,0.6406570841889117,1.1380305491958858,within_band
LT,2026-07-13,median_gap_ms,749.0,749.0,1.0,within_band
LT,2026-07-13,p90_gap_ms,3430.8000000000284,3750.7,1.0932435583537277,within_band
LT,2026-07-13,p95_gap_ms,4750.0,448220.1,94.36212631578947,sampled_high_vs_full
LT,2026-07-13,gap_le_1s_fraction,0.7116362702286154,0.7109243697478992,0.9989996287281879,within_band
M&M,2026-07-13,median_gap_ms,501.0,500.0,0.998003992015968,within_band
M&M,2026-07-13,p90_gap_ms,1750.0,1250.0,0.7142857142857143,within_band
M&M,2026-07-13,p95_gap_ms,4285.449999999993,439145.5999999999,102.47362587359568,sampled_high_vs_full
M&M,2026-07-13,gap_le_1s_fraction,0.8254338859055179,0.8392857142857143,1.0167812693623557,within_band
MARUTI,2026-07-13,median_gap_ms,502.0,749.0,1.4920318725099602,within_band
MARUTI,2026-07-13,p90_gap_ms,1250.0,1250.0,1.0,within_band
MARUTI,2026-07-13,p95_gap_ms,4139.699999999997,439089.2,106.06787931492627,sampled_high_vs_full
MARUTI,2026-07-13,gap_le_1s_fraction,0.8443061785559254,0.8256658595641646,0.977922323127325,within_band
NESTLEIND,2026-07-13,median_gap_ms,1000.0,1000.0,1.0,within_band
NESTLEIND,2026-07-13,p90_gap_ms,4851.399999999998,443603.8,91.43830646823601,sampled_high_vs_full
NESTLEIND,2026-07-13,p95_gap_ms,5800.199999999999,452660.6,78.0422399227613,sampled_high_vs_full
NESTLEIND,2026-07-13,gap_le_1s_fraction,0.5629790198962608,0.5412371134020618,0.9613806097104555,within_band
NIFTYBEES,2026-07-13,median_gap_ms,749.0,501.0,0.6688918558077437,within_band
NIFTYBEES,2026-07-13,p90_gap_ms,2751.7999999999993,2320.200000000001,0.8431572061923112,within_band
NIFTYBEES,2026-07-13,p95_gap_ms,4542.0,443529.4,97.65068251871423,sampled_high_vs_full
NIFTYBEES,2026-07-13,gap_le_1s_fraction,0.7907018248338018,0.8084239130434783,1.0224131115587112,within_band
ONGC,2026-07-13,median_gap_ms,750.0,749.0,0.9986666666666667,within_band
ONGC,2026-07-13,p90_gap_ms,4001.0,4016.999999999999,1.0039990002499373,within_band
ONGC,2026-07-13,p95_gap_ms,5000.0,449102.6,89.82052,sampled_high_vs_full
ONGC,2026-07-13,gap_le_1s_fraction,0.6639505316689782,0.7035714285714286,1.059674471233354,within_band
RELIANCE,2026-07-13,median_gap_ms,500.0,500.0,1.0,within_band
RELIANCE,2026-07-13,p90_gap_ms,2001.0,2142.399999999999,1.0706646676661664,within_band
RELIANCE,2026-07-13,p95_gap_ms,4324.0,440431.4,101.85740055504164,sampled_high_vs_full
RELIANCE,2026-07-13,gap_le_1s_fraction,0.830128574170025,0.8220551378446115,0.9902744748504948,within_band
SBIN,2026-07-13,median_gap_ms,500.0,500.0,1.0,within_band
SBIN,2026-07-13,p90_gap_ms,2246.2000000000044,1750.0,0.7790935802688971,within_band
SBIN,2026-07-13,p95_gap_ms,4329.0,437687.3,101.1058674058674,sampled_high_vs_full
SBIN,2026-07-13,gap_le_1s_fraction,0.8080640595300683,0.8483796296296297,1.0498915520670564,within_band
SUNPHARMA,2026-07-13,median_gap_ms,982.0,751.0,0.7647657841140529,within_band
SUNPHARMA,2026-07-13,p90_gap_ms,4577.0,436729.0,95.41817784575049,sampled_high_vs_full
SUNPHARMA,2026-07-13,p95_gap_ms,5483.999999999993,450896.65,82.22039569657196,sampled_high_vs_full
SUNPHARMA,2026-07-13,gap_le_1s_fraction,0.6000410705729345,0.6075388026607539,1.0124953648267114,within_band
TCS,2026-07-13,median_gap_ms,500.0,499.0,0.998,within_band
TCS,2026-07-13,p90_gap_ms,1000.0,1000.0,1.0,within_band
TCS,2026-07-13,p95_gap_ms,1250.0,1001.0,0.8008,within_band
TCS,2026-07-13,gap_le_1s_fraction,0.9245324411780836,0.93235039028621,1.0084561111756818,within_band
TECHM,2026-07-13,median_gap_ms,749.0,501.0,0.6688918558077437,within_band
TECHM,2026-07-13,p90_gap_ms,3751.0,3499.7,0.9330045321247666,within_band
TECHM,2026-07-13,p95_gap_ms,4856.699999999993,448353.8,92.3165523915417,sampled_high_vs_full
TECHM,2026-07-13,gap_le_1s_fraction,0.7249908487162057,0.75748031496063,1.0448136225470372,within_band
ULTRACEMCO,2026-07-13,median_gap_ms,2245.0,2140.5,0.9534521158129176,within_band
ULTRACEMCO,2026-07-13,p90_gap_ms,5794.200000000003,450515.3,77.75280452866656,sampled_high_vs_full
ULTRACEMCO,2026-07-13,p95_gap_ms,6772.5999999999985,455826.05,67.30443994920711,sampled_high_vs_full
ULTRACEMCO,2026-07-13,gap_le_1s_fraction,0.29767441860465116,0.308300395256917,1.0356966403162056,within_band
WIPRO,2026-07-13,median_gap_ms,524.0,501.0,0.9561068702290076,within_band
WIPRO,2026-07-13,p90_gap_ms,3250.0,3459.200000000001,1.0643692307692312,within_band
WIPRO,2026-07-13,p95_gap_ms,4730.799999999996,447213.2,94.53225670076951,sampled_high_vs_full
WIPRO,2026-07-13,gap_le_1s_fraction,0.7495204839423597,0.7539936102236422,1.0059679840339446,within_band
