exchange,symbol,phase154_full_partition_rows,phase154_target_median_gap_ms,phase154_target_p95_gap_ms,phase154_target_gap_le_1s_fraction,target_median_gap_ms,target_median_p95_gap_ms,phase106_synthetic_p95_gap_ms,phase106_synthetic_gap_le_1s_fraction,synthetic_to_full_p95_ratio,phase106_cadence_contract_pass,phase156_smoke_rows,phase156_synthetic_median_gap_ms,phase156_synthetic_p90_gap_ms,phase156_synthetic_p95_gap_ms,phase156_synthetic_gap_le_1s_fraction,phase106_profile_p95_gap_ms,phase106_profile_gap_le_1s_fraction,target_consistent_with_phase154,phase156_to_full_p95_ratio,phase156_p95_contract_pass,phase156_p95_exact_target_pass,phase156_gap_le_1s_delta_vs_phase154,legacy_phase106_sampled_anchor_stale,future_cadence_anchor_source,cadence_rewire_pass
NSE,ITC,32733.0,749.0,4815.399999999987,0.7275742916378715,749.0,4815.399999999987,792.0,0.9920466131396164,0.1644723179798152,0.0,526528.0,500.0,500.0,4815.0,0.922599172659001,792.0,0.9920466131396164,1,0.9999169331727402,1,1,0.19502488102112958,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,JUNIORBEES,38437.0,999.0,4511.0,0.7607160253287871,999.0,4511.0,792.0,0.992121101053884,0.1755708268676568,0.0,525376.0,500.0,500.0,4511.0,0.9225855328026435,792.0,0.992121101053884,1,1.0,1,1,0.16186950747385642,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,KOTAKBANK,42075.0,500.0,4051.2999999999993,0.8332975986277873,500.0,4051.2999999999993,792.0,0.9921637588456552,0.195492804778713,0.0,525952.0,500.0,500.0,4051.0,0.9225980643811914,792.0,0.9921637588456552,1,0.9999259496951598,1,1,0.08930046575340411,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,LT,50307.0,500.0,3367.0,0.8857976338393387,500.0,3367.0,792.0,0.9920056440126698,0.2352242352242352,0.0,525952.0,500.0,500.0,3367.0,0.9223908124655372,792.0,0.9920056440126698,1,1.0,1,1,0.036593178626198486,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,M&M,51233.0,501.0,4285.449999999993,0.8254338859055179,501.0,4285.449999999993,792.0,0.9920272955226418,0.1848113967027969,0.0,526528.0,500.0,500.0,4285.0,0.9225782802095324,792.0,0.9920272955226418,1,0.9998949935246022,1,1,0.09714439430401445,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,MARUTI,48890.0,683.0,4212.0,0.7746207746207746,683.0,4212.0,792.0,0.9922718729093438,0.188034188034188,0.0,526656.0,500.0,500.0,4212.0,0.9225933000907652,792.0,0.9922718729093438,1,1.0,1,1,0.14797252546999062,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,NESTLEIND,22657.0,1251.0,6232.4,0.4375650364203954,1251.0,6232.4,792.0,0.9921826855649292,0.127077851229061,0.0,525824.0,500.0,500.0,6232.0,0.922299648917273,792.0,0.9921826855649292,1,0.9999358192670561,1,1,0.4847346124968776,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,NIFTYBEES,44715.0,749.0,4467.049999999999,0.7907018248338018,749.0,4467.049999999999,792.0,0.9921361440025488,0.1772982169440682,0.0,526784.0,500.0,500.0,4467.0,0.9225760400332598,792.0,0.9921361440025488,1,0.9999888069307487,1,1,0.13187421519945797,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,ONGC,32786.0,750.0,5002.0,0.6639505316689782,750.0,5002.0,792.0,0.9922236094140148,0.1583366653338664,0.0,526016.0,500.0,500.0,5002.0,0.922578964779066,792.0,0.9922236094140148,1,1.0,1,1,0.25862843311008776,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,RELIANCE,58141.0,500.0,2999.0,0.8903781713738631,500.0,2999.0,792.0,0.992320506280686,0.2640880293431143,0.0,525696.0,500.0,500.0,2999.0,0.9224994958852824,792.0,0.992320506280686,1,1.0,1,1,0.03212132451141925,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,SBIN,50664.0,500.0,4257.699999999999,0.8250144908868423,500.0,4257.699999999999,792.0,0.9920775115550124,0.1860159240904714,0.0,525760.0,500.0,500.0,4258.0,0.9225850138281806,792.0,0.9920775115550124,1,1.0000704605773072,1,1,0.09757052294133828,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,SUNPHARMA,32921.0,982.0,5483.999999999993,0.6000410705729345,982.0,5483.999999999993,792.0,0.9921039496182072,0.1444201312910286,0.0,526080.0,500.0,500.0,5484.0,0.9225351577202514,792.0,0.9921039496182072,1,1.0000000000000013,1,1,0.32249408714731687,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,TCS,57870.0,500.0,4250.699999999999,0.8194144232658676,500.0,4250.699999999999,792.0,0.9922382757741812,0.1863222528054203,0.0,526592.0,500.0,500.0,4251.0,0.922608580055833,792.0,0.9922382757741812,1,1.0000705766109115,1,1,0.10319415678996546,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,TECHM,29591.0,1238.5,5806.099999999999,0.4718614718614718,1238.5,5806.099999999999,792.0,0.9920110134266,0.1364082602779835,0.0,525888.0,500.0,500.0,5806.0,0.9223110069865708,792.0,0.9920110134266,1,0.9999827767348135,1,1,0.45044953512509894,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,ULTRACEMCO,17353.0,2000.0,6772.599999999999,0.3112397684168497,2000.0,6772.599999999999,792.0,0.9922167832910372,0.1169417948793668,0.0,527168.0,500.0,500.0,6773.0,0.92228908120331,792.0,0.9922167832910372,1,1.0000590615125655,1,1,0.6110493127864602,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,WIPRO,32657.0,751.0,5142.199999999997,0.6017467248908297,751.0,5142.199999999997,792.0,0.9920477955230854,0.1540196802924819,0.0,527296.0,500.0,500.0,5142.0,0.9225734627537104,792.0,0.9920477955230854,1,0.9999611061413408,1,1,0.32082673786288074,1,phase154_full_partition_symbol_cadence_anchor,1
