phase217_binding_id,phase216_target_id,label_name,horizon_sec,phase206_feature_id,feature_family,required_columns,present_columns,present_column_count,same_horizon_binding,target_columns_excluded_from_features,feature_available,model_fit_allowed_now,strategy_replay_allowed,test_replay_allowed_next
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label_P206_QUOTE_CHURN_RATE_H5s,P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label,event_surprise_down_conditional_label,5,P206_QUOTE_CHURN_RATE,book_state_churn,quote_churn_count,quote_churn_count,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label_P206_DEPTH_REFRESH_INTENSITY_H5s,P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label,event_surprise_down_conditional_label,5,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,2,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label_P206_STALE_QUOTE_DURATION_H5s,P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label,event_surprise_down_conditional_label,5,P206_STALE_QUOTE_DURATION,feed_staleness,stale_quote_duration_ms,stale_quote_duration_ms,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H5s,P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label,event_surprise_down_conditional_label,5,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label_P206_RECEIVE_FLOW_REGIME_STATE_H5s,P216_EVENT_ONLY_H5s_event_surprise_down_conditional_label,event_surprise_down_conditional_label,5,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,4,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label_P206_RECEIVE_EVENT_RATE_ZSCORE_H5s,P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label,event_surprise_up_conditional_label,5,P206_RECEIVE_EVENT_RATE_ZSCORE,receive_cadence,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label_P206_QUOTE_CHURN_RATE_H5s,P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label,event_surprise_up_conditional_label,5,P206_QUOTE_CHURN_RATE,book_state_churn,quote_churn_count,quote_churn_count,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label_P206_DEPTH_REFRESH_INTENSITY_H5s,P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label,event_surprise_up_conditional_label,5,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,2,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label_P206_STALE_QUOTE_DURATION_H5s,P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label,event_surprise_up_conditional_label,5,P206_STALE_QUOTE_DURATION,feed_staleness,stale_quote_duration_ms,stale_quote_duration_ms,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H5s,P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label,event_surprise_up_conditional_label,5,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label_P206_RECEIVE_FLOW_REGIME_STATE_H5s,P216_EVENT_ONLY_H5s_event_surprise_up_conditional_label,event_surprise_up_conditional_label,5,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,4,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label_P206_RECEIVE_EVENT_RATE_ZSCORE_H5s,P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,5,P206_RECEIVE_EVENT_RATE_ZSCORE,receive_cadence,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label_P206_QUOTE_CHURN_RATE_H5s,P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,5,P206_QUOTE_CHURN_RATE,book_state_churn,quote_churn_count,quote_churn_count,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label_P206_DEPTH_REFRESH_INTENSITY_H5s,P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,5,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,2,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label_P206_STALE_QUOTE_DURATION_H5s,P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,5,P206_STALE_QUOTE_DURATION,feed_staleness,stale_quote_duration_ms,stale_quote_duration_ms,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H5s,P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,5,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label_P206_RECEIVE_FLOW_REGIME_STATE_H5s,P216_EVENT_ONLY_H5s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,5,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,4,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label_P206_RECEIVE_EVENT_RATE_ZSCORE_H15s,P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,15,P206_RECEIVE_EVENT_RATE_ZSCORE,receive_cadence,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label_P206_QUOTE_CHURN_RATE_H15s,P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,15,P206_QUOTE_CHURN_RATE,book_state_churn,quote_churn_count,quote_churn_count,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label_P206_DEPTH_REFRESH_INTENSITY_H15s,P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,15,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,2,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label_P206_STALE_QUOTE_DURATION_H15s,P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,15,P206_STALE_QUOTE_DURATION,feed_staleness,stale_quote_duration_ms,stale_quote_duration_ms,1,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H15s,P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,15,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,3,1,1,1,0,0,0
P217_BIND_P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label_P206_RECEIVE_FLOW_REGIME_STATE_H15s,P216_EVENT_ONLY_H15s_event_surprise_vol_expansion_conditional_label,event_surprise_vol_expansion_conditional_label,15,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,4,1,1,1,0,0,0
