phase286_variant_id,lifecycle_family,grid_id,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_notional_turnover_x_initial_capital,best_avg_open_notional_utilization,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,positive_but_below12,too_sparse_for_sparse_diagnostic,too_sparse_for_portfolio_claim,full_depth_positive_clue,same_lifecycle_route_exhausted_for_acceptance
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E1_H5,short_horizon_exit_test,P285_GRID_ORIG_E1_H5,12,204,8,0,0,4,0,-10.129672515245003,-4.422608626041397,-2.2127306502976016,-70.24541746976513,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,1.0,0.471813725490196,42,185,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP8_SL4_H10,side_flip_reversal_test,P285_GRID_INV_TP8_SL4_H10,12,640,7,0,0,0,0,-11.0478312,-9.726945597476035,-2.2894578,-72.6812,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.24921875,70,591,1,1,0,0,0,1,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP8_SL4_H10,side_flip_reversal_test,P285_GRID_ORIG_TP8_SL4_H10,12,640,7,0,0,0,0,-9.1578312,-6.5956023,-2.2894578,-72.6812,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.24921875,70,591,1,1,0,0,0,1,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP8_SL4_H10,short_horizon_exit_test,P285_GRID_ORIG_TP8_SL4_H10,12,204,6,0,0,0,0,-9.1578312,-5.9233734,-2.2894578,-72.6812,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2475490196078431,44,185,1,1,0,0,0,1,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E2_H8,short_horizon_exit_test,P285_GRID_ORIG_E2_H8,12,204,7,0,0,0,0,-11.87575770081256,-4.435301748520386,-2.354804103381877,-74.75568582164689,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E2_H8_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,1.0,0.471813725490196,43,185,1,1,0,0,0,1,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H3,queue_adversity_order_timing_test,P285_GRID_ORIG_E0_H3,12,234,29,0,0,8,0,-9.43419686522346,-8.571788813016799,-2.358549216305865,-74.87457829542429,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.5,0.2435897435897435,74,216,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP8_SL4_H10,short_horizon_exit_test,P285_GRID_INV_TP8_SL4_H10,12,204,6,0,0,0,0,-10.691367269756066,-8.57379220602849,-2.6728418174390165,-84.8521211885402,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2475490196078431,44,185,1,1,0,0,0,1,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP4_SL4_H5,queue_adversity_order_timing_test,P285_GRID_ORIG_TP4_SL4_H5,12,234,12,0,0,4,0,-11.846746799999998,-11.846746799999998,-2.9616867,-94.02179999999998,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2467948717948718,41,227,1,1,0,0,0,0,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP8_SL4_H10,queue_adversity_order_timing_test,P285_GRID_INV_TP8_SL4_H10,12,234,8,0,0,4,0,-12.9378312,-12.9378312,-3.2344578,-102.6812,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2478632478632478,45,227,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP8_SL4_H10,entry_delay_test,P285_GRID_INV_TP8_SL4_H10,12,861,6,0,0,0,0,-12.9378312,-8.7583734,-3.2344578,-102.6812,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2494192799070848,86,805,1,1,0,0,0,1,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP8_SL4_H10,take_profit_stop_timeout_test,P285_GRID_INV_TP8_SL4_H10,12,598,6,0,0,0,0,-12.9378312,-8.7583734,-3.2344578,-102.6812,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2491638795986622,47,579,1,1,0,0,0,1,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP4_SL4_H5,short_horizon_exit_test,P285_GRID_ORIG_TP4_SL4_H5,12,204,8,0,0,4,0,-14.291452096390772,-9.12190501142334,-3.572863024097693,-113.42422298722836,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2463235294117647,42,185,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H3,take_profit_stop_timeout_test,P285_GRID_ORIG_E0_H3,12,598,24,0,0,8,0,-15.184935821314134,-10.615354021088278,-3.7962339553285336,-120.51536366122328,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.5,0.2474916387959866,94,572,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H3,short_horizon_exit_test,P285_GRID_ORIG_E0_H3,12,204,15,0,0,8,0,-15.41371156404763,-10.42025311718884,-3.8534278910119073,-122.33104415910816,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.5,0.2426470588235294,57,183,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP4_SL4_H5,take_profit_stop_timeout_test,P285_GRID_ORIG_TP4_SL4_H5,12,598,16,0,0,8,0,-22.979035799999995,-17.0556624,-3.9489156,-125.36239999999998,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2483277591973244,108,563,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP4_SL4_H5,entry_delay_test,P285_GRID_ORIG_TP4_SL4_H5,12,861,14,0,0,8,0,-15.795662399999998,-14.451204599999995,-3.9489156,-125.36239999999998,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2488385598141695,150,805,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP4_SL4_H5,short_horizon_exit_test,P285_GRID_INV_TP4_SL4_H5,12,204,8,0,0,4,0,-16.96204150360923,-11.7120362253487,-4.240510375902307,-134.61937701277165,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2463235294117647,42,185,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H3,entry_delay_test,P285_GRID_ORIG_E0_H3,12,861,26,0,0,8,0,-17.087447992114658,-11.822163301126515,-4.2718619980286645,-135.6146666040846,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.75,0.2479674796747967,170,799,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP4_SL4_H5,side_flip_reversal_test,P285_GRID_ORIG_TP4_SL4_H5,12,640,11,0,0,8,0,-18.3156624,-12.100694224097692,-4.578915599999999,-145.36239999999998,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2484375,76,591,1,1,0,0,0,0,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP4_SL4_H5,queue_adversity_order_timing_test,P285_GRID_INV_TP4_SL4_H5,12,234,12,0,0,4,0,-19.4067468,-19.4067468,-4.8516867,-154.0218,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2467948717948718,41,227,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E0_H5,short_horizon_exit_test,P285_GRID_INV_E0_H5,12,204,8,0,0,4,0,-22.506630702140992,-17.20821750127007,-5.626657675535248,-178.62405319159518,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2463235294117647,42,185,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP4_SL4_H5,side_flip_reversal_test,P285_GRID_INV_TP4_SL4_H5,12,640,11,0,0,8,0,-24.615662399999994,-16.548341575902306,-5.838915599999999,-185.3624,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2484375,76,591,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E1_H5,short_horizon_exit_test,P285_GRID_INV_E1_H5,12,204,8,0,0,4,0,-23.889440319526997,-18.00052855402773,-5.972360079881748,-189.59873269465868,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E1_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2463235294117647,42,185,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP4_SL4_H5,take_profit_stop_timeout_test,P285_GRID_INV_TP4_SL4_H5,12,598,16,0,0,8,0,-34.3190358,-24.6156624,-6.4689156,-205.3624,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2483277591973244,108,563,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP4_SL4_H5,entry_delay_test,P285_GRID_INV_TP4_SL4_H5,12,861,14,0,0,8,0,-25.8756624,-22.0112046,-6.4689156,-205.3624,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP4_SL4_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2488385598141695,150,805,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E0_H5,side_flip_reversal_test,P285_GRID_INV_E0_H5,12,640,11,0,0,8,0,-41.33757759341384,-25.978308468364197,-6.698526991486083,-212.6516505233677,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2484375,76,591,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,12,640,27,0,0,8,0,-27.665037268989217,-17.541601345266916,-6.916259317247304,-219.5637878491208,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.75,0.247265625,123,593,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E2_H8,short_horizon_exit_test,P285_GRID_INV_E2_H8,12,204,7,0,0,0,0,-28.271605542331223,-18.53360080065321,-7.067901385582807,-224.3778217645336,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E2_H8_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2463235294117647,43,185,1,1,0,0,0,1,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E2_H8,take_profit_stop_timeout_test,P285_GRID_INV_E2_H8,12,598,7,0,0,0,0,-30.04871674444133,-20.56291405872641,-7.141412929254568,-226.7115215636371,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E2_H8_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2487458193979933,58,575,1,1,0,0,0,1,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E1_H5,side_flip_reversal_test,P285_GRID_INV_E1_H5,12,640,11,0,0,8,0,-42.80511609752459,-26.814134766248472,-7.161636287162511,-227.353532925794,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E1_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2484375,76,591,1,1,0,0,0,0,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E0_H5,queue_adversity_order_timing_test,P285_GRID_INV_E0_H5,12,234,12,0,0,4,0,-31.8846330542253,-30.385104593175928,-7.951260886570853,-252.4209805260588,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2467948717948718,41,227,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E2_H8,side_flip_reversal_test,P285_GRID_INV_E2_H8,12,640,9,0,0,4,0,-32.19365066922878,-19.75721960770027,-8.048412667307195,-255.50516404149823,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E2_H8_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.248828125,74,585,1,1,0,0,0,0,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E1_H5,queue_adversity_order_timing_test,P285_GRID_INV_E1_H5,12,234,12,0,0,4,0,-33.157651349917856,-31.37523476822646,-8.289412837479464,-263.1559630945862,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E1_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2467948717948718,41,227,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E2_H8,entry_delay_test,P285_GRID_INV_E2_H8,12,861,7,0,0,0,0,-36.44501211711776,-19.754039057156763,-9.11125302927944,-289.246127913633,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E2_H8_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2491289198606271,85,805,1,1,0,0,0,1,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E2_H8,queue_adversity_order_timing_test,P285_GRID_INV_E2_H8,12,234,8,0,0,4,0,-37.63749414925392,-27.125570570380503,-9.40937353731348,-298.7102710258248,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E2_H8_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.2467948717948718,44,216,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E0_H5,entry_delay_test,P285_GRID_INV_E0_H5,12,861,14,0,0,8,0,-39.772221528355104,-33.98210698080219,-9.943055382088776,-315.6525518123421,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2488385598141695,150,805,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E0_H5,take_profit_stop_timeout_test,P285_GRID_INV_E0_H5,12,598,16,0,0,8,0,-48.372932622074224,-35.750273880509,-10.039174083938322,-318.7039391726452,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2483277591973244,108,563,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E1_H5,entry_delay_test,P285_GRID_INV_E1_H5,12,861,14,0,0,8,0,-41.45816806407984,-35.06959031271169,-10.36454201601996,-329.0330798736495,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E1_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2488385598141695,150,805,1,1,0,0,0,0,1,0,1
