scenario_id,pair_id,trade_date,aligned_ticks,candidate_scan_points,selected_trades,flip,remove_l2_l5,single_leg_proxy
P418_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-01-01,24921,85,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-02-02,24500,95,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-03-02,24921,133,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-04-01,24500,173,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-05-01,24500,145,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-01-01,24921,64,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-02-02,24500,180,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-03-02,24863,159,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-04-01,24921,107,12,1,0,0
P418_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-05-01,24921,167,12,1,0,0
P418_SIDE_FLIP_CONTROL,INFY_TCS,2026-01-01,24238,204,12,1,0,0
P418_SIDE_FLIP_CONTROL,INFY_TCS,2026-02-02,24921,142,12,1,0,0
P418_SIDE_FLIP_CONTROL,INFY_TCS,2026-03-02,24921,164,12,1,0,0
P418_SIDE_FLIP_CONTROL,INFY_TCS,2026-04-01,24921,98,12,1,0,0
P418_SIDE_FLIP_CONTROL,INFY_TCS,2026-05-01,24921,138,12,1,0,0
P418_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-01-01,24921,617,0,1,0,0
P418_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-02-02,24500,607,0,1,0,0
P418_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-03-02,24500,607,0,1,0,0
P418_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-04-01,24921,617,9,1,0,0
P418_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-05-01,24500,607,0,1,0,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-01-01,24921,74,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-02-02,24500,95,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-03-02,24921,133,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-04-01,24500,173,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-05-01,24500,145,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-01-01,24921,64,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-02-02,24500,180,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-03-02,24863,159,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-04-01,24921,107,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-05-01,24921,167,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-01-01,24238,204,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-02-02,24921,142,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-03-02,24921,164,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-04-01,24921,98,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-05-01,24921,138,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-01-01,24921,159,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-02-02,24500,187,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-03-02,24500,209,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-04-01,24921,181,12,0,1,0
P418_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-05-01,24500,165,12,0,1,0
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-01-01,24921,74,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-02-02,24500,95,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-03-02,24921,133,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-04-01,24500,173,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-05-01,24500,145,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_AXISBANK,2026-01-01,24921,64,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_AXISBANK,2026-02-02,24500,180,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_AXISBANK,2026-03-02,24863,159,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_AXISBANK,2026-04-01,24921,107,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_AXISBANK,2026-05-01,24921,167,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,INFY_TCS,2026-01-01,24238,204,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,INFY_TCS,2026-02-02,24921,142,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,INFY_TCS,2026-03-02,24921,164,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,INFY_TCS,2026-04-01,24921,98,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,INFY_TCS,2026-05-01,24921,138,12,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,RELIANCE_ONGC,2026-01-01,24921,617,0,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,RELIANCE_ONGC,2026-02-02,24500,607,0,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,RELIANCE_ONGC,2026-03-02,24500,607,0,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,RELIANCE_ONGC,2026-04-01,24921,617,9,0,0,1
P418_SINGLE_LEG_PROXY_CONTROL,RELIANCE_ONGC,2026-05-01,24500,607,0,0,0,1
