symbol,strategy_id,side,replenishment_bucket,shard_symbol_label_rows,symbols,trade_dates,inferred_touches,mean_replenishment_ratio,median_replenishment_ratio,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,label_candidate
JUNIORBEES,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,1880,0.9480641600016451,0.9596615505706414,-20.242930037375643,-7.861985393329829,-28.511050037375647,1.0,0.0,-245.6288234236814,0.0,4.195655570260733,0.6958675207114666,False
JUNIORBEES,P68_FADE_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,8319,1.008585820365828,1.0,-20.324354000567016,-11.637430636310953,-28.592474000566963,0.9944038373686614,0.0,-245.6288234236814,0.1280360549538173,4.195672165528306,0.6971996794983364,False
SUNPHARMA,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,4470,1.008716828352496,1.0,-20.4386855475312,-15.65937563892339,-28.7068055475312,1.0,0.0,-162.43551105889375,0.0,2.5739627417299786,0.3056909095053348,False
BANKBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,8730,1.0094611413969052,1.0,-20.610671079913384,-11.876565285164343,-28.878791079913377,1.0,0.0,-259.6389750922068,0.0,4.029576462216086,0.32824262662499093,False
NESTLEIND,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,7,1,4,2360,0.9325604711553106,0.9543568464730291,-20.82208399367452,-16.104187088642476,-29.090203993674525,1.0,0.0,-196.23875715453764,0.0,3.368177496843312,0.40532561013256757,False
NIFTYBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,10030,1.0087083748268182,1.0,-20.869320253766105,-14.16282424919757,-29.1374402537661,1.0,0.0,-156.16147308781802,0.0,1.981412056236759,0.6213686124767227,False
SUNPHARMA,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,1180,0.9527051684281721,0.9561578258015306,-20.996829406438795,-12.36143238346893,-29.26494940643878,1.0,0.0,-162.43551105889375,0.0,2.576084655569252,0.30712542186429725,False
NIFTYBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,9188,1.009529135090288,1.0,-21.33684147903849,-11.322065474892451,-29.604961479038487,0.9942185007974482,0.0,-214.7588859605376,2.220446049250313e-12,1.975031390684181,0.6212435482731734,False
RELIANCE,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2500,0.9475333646855959,0.9634866767219709,-21.966063139260868,-13.681511266661062,-30.234183139260878,1.0,0.0,-273.79886601014647,0.0,1.8969436158970607,0.44373255745097284,False
ITBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,1840,0.9535116324839488,0.9570890835581409,-22.20205664512214,-9.311951208613722,-30.470176645122145,1.0,0.0,-280.45838359469053,-1.5368065160581423,3.8421679096476127,0.7419579776070824,False
ITBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,9470,1.0088786999256778,1.0,-22.238007459320038,-12.430829850352264,-30.506127459320005,1.0,0.0,-239.30601256356488,0.0,3.8548442455792364,0.7410907307112009,False
ITC,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,9640,1.0083228859568432,1.0,-22.35186480376104,-14.274121402392815,-30.619984803761064,1.0,0.0,-262.97755696419455,-0.8727526618945713,2.6462387680475286,0.5097148787326216,False
CIPLA,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,8820,1.0095886365955176,1.0,-22.389504851568528,-15.170461331289186,-30.657624851568514,1.0,0.0,-261.0708329078604,0.0,3.2873140600394635,0.5693603388129701,False
NESTLEIND,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,7,1,4,9440,1.0050352361295718,1.0,-23.126116930546118,-16.104187088642476,-31.394236930546118,1.0,0.0,-196.23875715453764,0.0,3.3671174832661563,0.40605960848329115,False
ITC,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,9240,1.010865921597088,1.0,-23.260123247341447,-13.199703665797147,-31.528243247341358,1.0,0.0,-355.88714518480447,-0.8731336767675568,2.636451447620253,0.5099743564576482,False
HDFCBANK,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2580,0.9381449638724889,0.9506570103508536,-23.435972322719977,-9.801491389151707,-31.704092322719976,1.0,0.0,-240.5169319133682,0.0,1.6444460870212112,0.5691627082996913,False
HDFCBANK,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2420,0.9558635014742978,0.9637947499525099,-23.456599818084,-16.80034150026377,-31.724719818083972,0.984375,0.0,-179.8453330136085,2.220446049250313e-12,1.6519390434947174,0.5719881846480948,False
ICICIBANK,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2380,0.9528566284064977,0.9659599197338062,-24.09009829024747,-14.42197834822162,-32.358218290247436,1.0,0.0,-148.08006535947715,0.0,1.93041392891381,0.36828725520087097,False
NESTLEIND,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,6,1,4,9250,1.0083206871024897,1.0,-24.542206980096395,-16.22673739870906,-32.810326980096335,1.0,0.0,-231.24340155978751,0.0,3.4385078696174105,0.4085889914057528,False
HCLTECH,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,1020,0.9320009822930729,0.9387938435953227,-24.602972547434312,-19.01996977038051,-32.8710925474343,1.0,0.0,-120.19806724702487,0.0,3.034904038114302,0.30666968425460683,False
ITBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,8909,1.0111886505126253,1.0,-25.193776150539385,-13.95566411911242,-33.461896150539374,0.9940505099562895,0.0,-280.45838359469053,2.220446049250313e-12,3.8438645544653696,0.7409019111835773,False
HCLTECH,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,680,0.9509894007968503,0.9542574429303012,-25.85587933569876,-12.538441461388272,-34.12399933569874,1.0,0.0,-372.98229117693205,0.0,3.0169670597381493,0.30572161514071844,False
RELIANCE,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,9650,1.0100266753913418,1.0,-27.350722242393473,-17.055338550078236,-35.61884224239343,1.0,0.0,-273.79886601014647,0.0,1.8963641096651926,0.4444575290356061,False
SUNPHARMA,P68_FADE_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,3450,1.0107890253704839,1.0,-27.422147708426863,-15.146153669316487,-35.690267708426916,1.0,0.0,-286.0458076884276,0.0,2.5649737201142244,0.30529379792715583,False
ICICIBANK,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,9870,1.0115962612097777,1.0,-27.54169381334496,-15.818384401812825,-35.80981381334494,1.0,0.0,-181.98770633331085,0.0,1.9291290457679413,0.36846302496495736,False
ICICIBANK,P68_FADE_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,9408,1.011210542243359,1.0,-27.997306727730994,-17.129247608369536,-36.26542672773106,0.9944401840490797,0.0,-294.15836101882473,2.220446049250313e-12,1.91930129976238,0.36854979647635316,False
ULTRACEMCO,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,9,1,4,2120,0.9154242961711928,0.9152150537634409,-28.247361466622976,-16.3458214789014,-36.51548146662298,1.0,0.0,-378.93541058098054,-0.422083403680551,3.389241723831874,0.4128520062406769,False
HDFCBANK,P68_FADE_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,9420,1.0087488545797993,1.0,-28.83405479423847,-14.26716216241186,-37.10217479423852,1.0,0.0,-470.63940843845245,0.0,1.644885506606947,0.5713021553882143,False
RELIANCE,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,9600,1.014372863904918,1.0,-29.05647658229484,-16.0358637821123,-37.32459658229483,1.0,0.0,-456.8416428728317,0.0,1.8897607880281535,0.4444145071614968,False
HCLTECH,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,2230,1.0045914707579868,1.0,-29.306705600813917,-28.415289818674584,-37.574825600813824,1.0,0.0,-120.19806724702487,0.0,3.0329719537699176,0.3049294199748941,False
HDFCBANK,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,9680,1.0139530938488086,1.0,-30.175495901525174,-19.77407293611344,-38.44361590152526,0.9947552447552448,0.0,-213.43638525564867,2.220446049250313e-12,1.650878886232881,0.5721711493152302,False
ULTRACEMCO,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,9,1,4,9680,1.0084601393518464,1.0,-31.61139020272327,-20.256207030666662,-39.87951020272327,1.0,0.0,-378.93541058098054,0.0,3.390689546593411,0.41593907221146503,False
HCLTECH,P68_FADE_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,4,1,4,1920,1.0087087161391817,1.0,-33.965962822478076,-23.31143786954287,-42.234082822478044,1.0,0.0,-372.98229117693205,0.0,3.0186800410402186,0.3042428905758843,False
ULTRACEMCO,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,8,1,4,2340,0.9442066585798753,0.9561827092217028,-35.63679294038506,-12.82257437187545,-43.90491294038501,1.0,0.0,-323.71454263058985,-0.427478305475848,3.771215766439168,0.4192751520606691,False
ULTRACEMCO,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,8,1,4,8960,1.0152601476428138,1.0,-52.16596602464723,-20.136587060473055,-60.4340860246472,1.0,0.0,-404.28159736517034,-0.427478305475848,3.7776890851145932,0.41865828638700486,False
