scope,strategy_id,execution_profile,rows,trades,gross_return,cost_return,original_net_return,inverse_net_return,oracle_signed_net_return,original_net_pnl_inr,inverse_net_pnl_inr,oracle_signed_net_pnl_inr,original_positive,inverse_positive,oracle_signed_positive,turnover_bucket,abs_gross_to_cost_ratio,symbol,trade_date,best_expanded_variant,best_expanded_net_return,best_expanded_net_pnl_inr,best_expanded_positive
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010064817700393,-0.0010064817700393,-0.0010064817700393,-0.0010064817700393,-100.64817700392999,-100.64817700392999,-100.64817700392999,False,False,False,single_trade,0.0,GOLDBEES,2026-01-13,original,-0.0010064817700393,-100.64817700392999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010077717604309,-0.0010077717604309,-0.0010077717604309,-0.0010077717604309,-100.77717604309001,-100.77717604309001,-100.77717604309001,False,False,False,single_trade,0.0,GOLDBEES,2026-03-03,original,-0.0010077717604309,-100.77717604309001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010077717604309,-0.0010077717604309,-0.0010077717604309,-0.0010077717604309,-100.77717604309001,-100.77717604309001,-100.77717604309001,False,False,False,single_trade,0.0,GOLDBEES,2026-11-23,original,-0.0010077717604309,-100.77717604309001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010197530923876,-0.0010197530923876,-0.0010197530923876,-0.0010197530923876,-101.97530923875999,-101.97530923875999,-101.97530923875999,False,False,False,single_trade,0.0,M&M,2026-02-18,original,-0.0010197530923876,-101.97530923875999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010197530923876,-0.0010197530923876,-0.0010197530923876,-0.0010197530923876,-101.97530923875999,-101.97530923875999,-101.97530923875999,False,False,False,single_trade,0.0,M&M,2026-11-10,original,-0.0010197530923876,-101.97530923875999,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010585965792141,-0.0010585965792141,-0.0010585965792141,-0.0010585965792141,-105.85965792141,-105.85965792141,-105.85965792141,False,False,False,single_trade,0.0,HDFCBANK,2026-10-19,original,-0.0010585965792141,-105.85965792141,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010593652789694,-0.0010593652789694,-0.0010593652789694,-0.0010593652789694,-105.93652789693999,-105.93652789693999,-105.93652789693999,False,False,False,single_trade,0.0,HDFCBANK,2026-04-27,original,-0.0010593652789694,-105.93652789693999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010602881389281,-0.0010602881389281,-0.0010602881389281,-0.0010602881389281,-106.02881389281,-106.02881389281,-106.02881389281,False,False,False,single_trade,0.0,HDFCBANK,2026-07-01,original,-0.0010602881389281,-106.02881389281,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010608695486602,-0.0010608695486602,-0.0010608695486602,-0.0010608695486602,-106.08695486602001,-106.08695486602001,-106.08695486602001,False,False,False,single_trade,0.0,HDFCBANK,2026-04-23,original,-0.0010608695486602,-106.08695486602001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010612282151031,-0.0010612282151031,-0.0010612282151031,-0.0010612282151031,-106.12282151031,-106.12282151031,-106.12282151031,False,False,False,single_trade,0.0,HDFCBANK,2026-08-10,original,-0.0010612282151031,-106.12282151031,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010668447806547,-0.0010668447806547,-0.0010668447806547,-0.0010668447806547,-106.68447806546999,-106.68447806546999,-106.68447806546999,False,False,False,single_trade,0.0,M&M,2026-05-04,original,-0.0010668447806547,-106.68447806546999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010669406775045,-0.0010669406775045,-0.0010669406775045,-0.0010669406775045,-106.69406775044999,-106.69406775044999,-106.69406775044999,False,False,False,single_trade,0.0,M&M,2026-01-14,original,-0.0010669406775045,-106.69406775044999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010669406775045,-0.0010669406775045,-0.0010669406775045,-0.0010669406775045,-106.69406775044999,-106.69406775044999,-106.69406775044999,False,False,False,single_trade,0.0,M&M,2026-10-06,original,-0.0010669406775045,-106.69406775044999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010672094626365,-0.0010672094626365,-0.0010672094626365,-0.0010672094626365,-106.72094626365,-106.72094626365,-106.72094626365,False,False,False,single_trade,0.0,M&M,2026-05-19,original,-0.0010672094626365,-106.72094626365,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010678544037719,-0.0010678544037719,-0.0010678544037719,-0.0010678544037719,-106.78544037719,-106.78544037719,-106.78544037719,False,False,False,single_trade,0.0,LT,2026-08-03,original,-0.0010678544037719,-106.78544037719,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.001068345944284,-0.001068345944284,-0.001068345944284,-0.001068345944284,-106.8345944284,-106.8345944284,-106.8345944284,False,False,False,single_trade,0.0,LT,2026-08-07,original,-0.001068345944284,-106.8345944284,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010825088896346,-0.0010825088896346,-0.0010825088896346,-0.0010825088896346,-108.25088896346,-108.25088896346,-108.25088896346,False,False,False,single_trade,0.0,TCS,2026-01-23,original,-0.0010825088896346,-108.25088896346,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010825088896346,-0.0010825088896346,-0.0010825088896346,-0.0010825088896346,-108.25088896346,-108.25088896346,-108.25088896346,False,False,False,single_trade,0.0,TCS,2026-10-15,original,-0.0010825088896346,-108.25088896346,False
strategy_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010870649869065,-0.0010870649869065,-0.0010870649869065,-0.0010870649869065,-108.70649869065001,-108.70649869065001,-108.70649869065001,False,False,False,single_trade,0.0,,2026-08-18,original,-0.0010870649869065,-108.70649869065001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010870649869065,-0.0010870649869065,-0.0010870649869065,-0.0010870649869065,-108.70649869065001,-108.70649869065001,-108.70649869065001,False,False,False,single_trade,0.0,ICICIBANK,2026-08-18,original,-0.0010870649869065,-108.70649869065001,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.001088063241101,-0.001088063241101,-0.001088063241101,-0.001088063241101,-108.80632411010001,-108.80632411010001,-108.80632411010001,False,False,False,single_trade,0.0,ICICIBANK,2026-10-19,original,-0.001088063241101,-108.80632411010001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010892367219891,-0.0010892367219891,-0.0010892367219891,-0.0010892367219891,-108.92367219891,-108.92367219891,-108.92367219891,False,False,False,single_trade,0.0,ICICIBANK,2026-10-06,original,-0.0010892367219891,-108.92367219891,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010898102161399,-0.0010898102161399,-0.0010898102161399,-0.0010898102161399,-108.98102161399,-108.98102161399,-108.98102161399,False,False,False,single_trade,0.0,ICICIBANK,2026-06-09,original,-0.0010898102161399,-108.98102161399,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010899142357976,-0.0010899142357976,-0.0010899142357976,-0.0010899142357976,-108.99142357976,-108.99142357976,-108.99142357976,False,False,False,single_trade,0.0,ICICIBANK,2026-03-09,original,-0.0010899142357976,-108.99142357976,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010900016908569,-0.0010900016908569,-0.0010900016908569,-0.0010900016908569,-109.00016908569,-109.00016908569,-109.00016908569,False,False,False,single_trade,0.0,ICICIBANK,2026-10-12,original,-0.0010900016908569,-109.00016908569,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010903970789464,-0.0010903970789464,-0.0010903970789464,-0.0010903970789464,-109.03970789464,-109.03970789464,-109.03970789464,False,False,False,single_trade,0.0,ICICIBANK,2026-07-03,original,-0.0010903970789464,-109.03970789464,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010904697132213,-0.0010904697132213,-0.0010904697132213,-0.0010904697132213,-109.04697132213,-109.04697132213,-109.04697132213,False,False,False,single_trade,0.0,ICICIBANK,2026-05-21,original,-0.0010904697132213,-109.04697132213,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010907950810708,-0.0010907950810708,-0.0010907950810708,-0.0010907950810708,-109.07950810707999,-109.07950810707999,-109.07950810707999,False,False,False,single_trade,0.0,ICICIBANK,2026-07-01,original,-0.0010907950810708,-109.07950810707999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010910785833405,-0.0010910785833405,-0.0010910785833405,-0.0010910785833405,-109.10785833405,-109.10785833405,-109.10785833405,False,False,False,single_trade,0.0,ICICIBANK,2026-08-20,original,-0.0010910785833405,-109.10785833405,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010911677626865,-0.0010911677626865,-0.0010911677626865,-0.0010911677626865,-109.11677626865,-109.11677626865,-109.11677626865,False,False,False,single_trade,0.0,ICICIBANK,2026-03-27,original,-0.0010911677626865,-109.11677626865,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010916374632622,-0.0010916374632622,-0.0010916374632622,-0.0010916374632622,-109.16374632622,-109.16374632622,-109.16374632622,False,False,False,single_trade,0.0,ICICIBANK,2026-02-04,original,-0.0010916374632622,-109.16374632622,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.001091991477616,-0.001091991477616,-0.001091991477616,-0.001091991477616,-109.1991477616,-109.1991477616,-109.1991477616,False,False,False,single_trade,0.0,ICICIBANK,2026-08-06,original,-0.001091991477616,-109.1991477616,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010924609235525,-0.0010924609235525,-0.0010924609235525,-0.0010924609235525,-109.24609235525,-109.24609235525,-109.24609235525,False,False,False,single_trade,0.0,NIFTYBEES,2026-07-27,original,-0.0010924609235525,-109.24609235525,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010942302174055,-0.0010942302174055,-0.0010942302174055,-0.0010942302174055,-109.42302174055,-109.42302174055,-109.42302174055,False,False,False,single_trade,0.0,NIFTYBEES,2026-06-23,original,-0.0010942302174055,-109.42302174055,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010943521143972,-0.0010943521143972,-0.0010943521143972,-0.0010943521143972,-109.43521143972,-109.43521143972,-109.43521143972,False,False,False,single_trade,0.0,NIFTYBEES,2026-03-06,original,-0.0010943521143972,-109.43521143972,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010943852460333,-0.0010943852460333,-0.0010943852460333,-0.0010943852460333,-109.43852460333001,-109.43852460333001,-109.43852460333001,False,False,False,single_trade,0.0,NIFTYBEES,2026-04-10,original,-0.0010943852460333,-109.43852460333001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010946378721453,-0.0010946378721453,-0.0010946378721453,-0.0010946378721453,-109.46378721453,-109.46378721453,-109.46378721453,False,False,False,single_trade,0.0,NIFTYBEES,2026-03-17,original,-0.0010946378721453,-109.46378721453,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010946378721453,-0.0010946378721453,-0.0010946378721453,-0.0010946378721453,-109.46378721453,-109.46378721453,-109.46378721453,False,False,False,single_trade,0.0,NIFTYBEES,2026-12-07,original,-0.0010946378721453,-109.46378721453,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010948781358517,-0.0010948781358517,-0.0010948781358517,-0.0010948781358517,-109.48781358517,-109.48781358517,-109.48781358517,False,False,False,single_trade,0.0,NIFTYBEES,2026-10-19,original,-0.0010948781358517,-109.48781358517,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010949591994922,-0.0010949591994922,-0.0010949591994922,-0.0010949591994922,-109.49591994922001,-109.49591994922001,-109.49591994922001,False,False,False,single_trade,0.0,NIFTYBEES,2026-01-14,original,-0.0010949591994922,-109.49591994922001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010949591994922,-0.0010949591994922,-0.0010949591994922,-0.0010949591994922,-109.49591994922001,-109.49591994922001,-109.49591994922001,False,False,False,single_trade,0.0,NIFTYBEES,2026-10-06,original,-0.0010949591994922,-109.49591994922001,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010950017523544,-0.0010950017523544,-0.0010950017523544,-0.0010950017523544,-109.50017523544001,-109.50017523544001,-109.50017523544001,False,False,False,single_trade,0.0,NIFTYBEES,2026-04-27,original,-0.0010950017523544,-109.50017523544001,False
strategy_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010950142895236,-0.0010950142895236,-0.0010950142895236,-0.0010950142895236,-109.50142895236,-109.50142895236,-109.50142895236,False,False,False,single_trade,0.0,,2026-01-01,original,-0.0010950142895236,-109.50142895236,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010950142895236,-0.0010950142895236,-0.0010950142895236,-0.0010950142895236,-109.50142895236,-109.50142895236,-109.50142895236,False,False,False,single_trade,0.0,NIFTYBEES,2026-01-01,original,-0.0010950142895236,-109.50142895236,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010953856611453,-0.0010953856611453,-0.0010953856611453,-0.0010953856611453,-109.53856611452998,-109.53856611452998,-109.53856611452998,False,False,False,single_trade,0.0,ICICIBANK,2026-05-27,original,-0.0010953856611453,-109.53856611452998,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0010985480454115,-0.0010985480454115,-0.0010985480454115,-0.0010985480454115,-109.85480454115,-109.85480454115,-109.85480454115,False,False,False,single_trade,0.0,AXISBANK,2026-03-12,original,-0.0010985480454115,-109.85480454115,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0010985480454115,-0.0010985480454115,-0.0010985480454115,-0.0010985480454115,-109.85480454115,-109.85480454115,-109.85480454115,False,False,False,single_trade,0.0,AXISBANK,2026-12-02,original,-0.0010985480454115,-109.85480454115,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0010992059597798,-0.0010992059597798,-0.0010992059597798,-0.0010992059597798,-109.92059597797999,-109.92059597797999,-109.92059597797999,False,False,False,single_trade,0.0,AXISBANK,2026-04-20,original,-0.0010992059597798,-109.92059597797999,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011019911581677,-0.0011019911581677,-0.0011019911581677,-0.0011019911581677,-110.19911581676999,-110.19911581676999,-110.19911581676999,False,False,False,single_trade,0.0,AXISBANK,2026-04-16,original,-0.0011019911581677,-110.19911581676999,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0011032728137869,-0.0011032728137869,-0.0011032728137869,-0.0011032728137869,-110.32728137869,-110.32728137869,-110.32728137869,False,False,False,single_trade,0.0,AXISBANK,2026-03-09,original,-0.0011032728137869,-110.32728137869,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011033698685436,-0.0011033698685436,-0.0011033698685436,-0.0011033698685436,-110.33698685435999,-110.33698685435999,-110.33698685435999,False,False,False,single_trade,0.0,AXISBANK,2026-04-22,original,-0.0011033698685436,-110.33698685435999,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0011036538137515,-0.0011036538137515,-0.0011036538137515,-0.0011036538137515,-110.36538137515,-110.36538137515,-110.36538137515,False,False,False,single_trade,0.0,AXISBANK,2026-10-21,original,-0.0011036538137515,-110.36538137515,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011036731118461,-0.0011036731118461,-0.0011036731118461,-0.0011036731118461,-110.36731118461,-110.36731118461,-110.36731118461,False,False,False,single_trade,0.0,AXISBANK,2026-01-29,original,-0.0011036731118461,-110.36731118461,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.001103767076134,-0.001103767076134,-0.001103767076134,-0.001103767076134,-110.3767076134,-110.3767076134,-110.3767076134,False,False,False,single_trade,0.0,AXISBANK,2026-03-17,original,-0.001103767076134,-110.3767076134,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.001103965557698,-0.001103965557698,-0.001103965557698,-0.001103965557698,-110.39655576979999,-110.39655576979999,-110.39655576979999,False,False,False,single_trade,0.0,AXISBANK,2026-05-05,original,-0.001103965557698,-110.39655576979999,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011044874713831,-0.0011044874713831,-0.0011044874713831,-0.0011044874713831,-110.44874713831,-110.44874713831,-110.44874713831,False,False,False,single_trade,0.0,AXISBANK,2026-02-17,original,-0.0011044874713831,-110.44874713831,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011044874713831,-0.0011044874713831,-0.0011044874713831,-0.0011044874713831,-110.44874713831,-110.44874713831,-110.44874713831,False,False,False,single_trade,0.0,AXISBANK,2026-11-09,original,-0.0011044874713831,-110.44874713831,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011045911908524,-0.0011045911908524,-0.0011045911908524,-0.0011045911908524,-110.45911908523999,-110.45911908523999,-110.45911908523999,False,False,False,single_trade,0.0,RELIANCE,2026-01-15,original,-0.0011045911908524,-110.45911908523999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011045911908524,-0.0011045911908524,-0.0011045911908524,-0.0011045911908524,-110.45911908523999,-110.45911908523999,-110.45911908523999,False,False,False,single_trade,0.0,RELIANCE,2026-10-07,original,-0.0011045911908524,-110.45911908523999,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011047859197836,-0.0011047859197836,-0.0011047859197836,-0.0011047859197836,-110.47859197836,-110.47859197836,-110.47859197836,False,False,False,single_trade,0.0,AXISBANK,2026-02-05,original,-0.0011047859197836,-110.47859197836,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011047859197836,-0.0011047859197836,-0.0011047859197836,-0.0011047859197836,-110.47859197836,-110.47859197836,-110.47859197836,False,False,False,single_trade,0.0,AXISBANK,2026-10-28,original,-0.0011047859197836,-110.47859197836,False
strategy_symbol_date_profile,P164_S01_MLOFI_BREAKOUT,retail_marketable_default,1,1,0.0,0.001105198978897,-0.001105198978897,-0.001105198978897,-0.001105198978897,-110.5198978897,-110.5198978897,-110.5198978897,False,False,False,single_trade,0.0,AXISBANK,2026-08-06,original,-0.001105198978897,-110.5198978897,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.001105198978897,-0.001105198978897,-0.001105198978897,-0.001105198978897,-110.5198978897,-110.5198978897,-110.5198978897,False,False,False,single_trade,0.0,AXISBANK,2026-08-06,original,-0.001105198978897,-110.5198978897,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011052546304405,-0.0011052546304405,-0.0011052546304405,-0.0011052546304405,-110.52546304404999,-110.52546304404999,-110.52546304404999,False,False,False,single_trade,0.0,AXISBANK,2026-03-19,original,-0.0011052546304405,-110.52546304404999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011053860408462,-0.0011053860408462,-0.0011053860408462,-0.0011053860408462,-110.53860408462,-110.53860408462,-110.53860408462,False,False,False,single_trade,0.0,RELIANCE,2026-05-12,original,-0.0011053860408462,-110.53860408462,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011053895239721,-0.0011053895239721,-0.0011053895239721,-0.0011053895239721,-110.53895239721001,-110.53895239721001,-110.53895239721001,False,False,False,single_trade,0.0,AXISBANK,2026-07-13,original,-0.0011053895239721,-110.53895239721001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011054182638116,-0.0011054182638116,-0.0011054182638116,-0.0011054182638116,-110.54182638116,-110.54182638116,-110.54182638116,False,False,False,single_trade,0.0,AXISBANK,2026-04-23,original,-0.0011054182638116,-110.54182638116,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011061605926594,-0.0011061605926594,-0.0011061605926594,-0.0011061605926594,-110.61605926594,-110.61605926594,-110.61605926594,False,False,False,single_trade,0.0,AXISBANK,2026-06-22,original,-0.0011061605926594,-110.61605926594,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0011067600509028,-0.0011067600509028,-0.0011067600509028,-0.0011067600509028,-110.67600509028,-110.67600509028,-110.67600509028,False,False,False,single_trade,0.0,RELIANCE,2026-04-10,original,-0.0011067600509028,-110.67600509028,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.001106885847314,-0.001106885847314,-0.001106885847314,-0.001106885847314,-110.6885847314,-110.6885847314,-110.6885847314,False,False,False,single_trade,0.0,LT,2026-10-27,original,-0.001106885847314,-110.6885847314,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.0011069615972379,-0.0011069615972379,-0.0011069615972379,-0.0011069615972379,-110.69615972379,-110.69615972379,-110.69615972379,False,False,False,single_trade,0.0,RELIANCE,2026-10-23,original,-0.0011069615972379,-110.69615972379,False
