symbol,trade_date,exchange,source_symbol_dir,target_symbol_dir,parquet_files,planned_action,blocker,executed,copied_files,execution_status
HCLTECH,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH,641,copy_symbol_partition,,True,0,copied
HDFCBANK,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK,641,copy_symbol_partition,,True,0,copied
HINDUNILVR,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,641,copy_symbol_partition,,True,0,copied
ICICIBANK,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,641,copy_symbol_partition,,True,0,copied
INFY,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=INFY,641,copy_symbol_partition,,True,0,copied
ITBEES,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,641,copy_symbol_partition,,True,0,copied
ITC,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ITC,641,copy_symbol_partition,,True,0,copied
JUNIORBEES,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,641,copy_symbol_partition,,True,0,copied
KOTAKBANK,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,641,copy_symbol_partition,,True,0,copied
LT,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=LT,641,copy_symbol_partition,,True,0,copied
M&M,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=M&M,641,copy_symbol_partition,,True,0,copied
MARUTI,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,641,copy_symbol_partition,,True,0,copied
NESTLEIND,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,641,copy_symbol_partition,,True,0,copied
NIFTYBEES,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES,641,copy_symbol_partition,,True,0,copied
ONGC,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ONGC,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ONGC,641,copy_symbol_partition,,True,0,copied
RELIANCE,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE,640,copy_symbol_partition,,True,0,copied
SBIN,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SBIN,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=SBIN,640,copy_symbol_partition,,True,0,copied
SUNPHARMA,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA,641,copy_symbol_partition,,True,0,copied
TCS,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=TCS,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=TCS,641,copy_symbol_partition,,True,0,copied
TECHM,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=TECHM,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=TECHM,641,copy_symbol_partition,,True,0,copied
ULTRACEMCO,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO,641,copy_symbol_partition,,True,0,copied
WIPRO,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO,641,copy_symbol_partition,,True,0,copied
ADANIPORTS,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS,893,copy_symbol_partition,,True,0,copied
AXISBANK,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK,892,copy_symbol_partition,,True,0,copied
BAJAJ-AUTO,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO,892,copy_symbol_partition,,True,0,copied
BANKBEES,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES,894,copy_symbol_partition,,True,0,copied
BHARTIARTL,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL,892,copy_symbol_partition,,True,0,copied
BPCL,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BPCL,893,copy_symbol_partition,,True,0,copied
BRITANNIA,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA,892,copy_symbol_partition,,True,0,copied
CIPLA,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA,892,copy_symbol_partition,,True,0,copied
DRREDDY,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY,892,copy_symbol_partition,,True,0,copied
GOLDBEES,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=GOLDBEES,893,copy_symbol_partition,,True,0,copied
HCLTECH,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=HCLTECH,892,copy_symbol_partition,,True,0,copied
HDFCBANK,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=HDFCBANK,892,copy_symbol_partition,,True,0,copied
HINDUNILVR,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=HINDUNILVR,892,copy_symbol_partition,,True,0,copied
ICICIBANK,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ICICIBANK,892,copy_symbol_partition,,True,0,copied
INFY,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=INFY,892,copy_symbol_partition,,True,0,copied
ITBEES,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ITBEES,894,copy_symbol_partition,,True,0,copied
ITC,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ITC,892,copy_symbol_partition,,True,0,copied
JUNIORBEES,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=JUNIORBEES,894,copy_symbol_partition,,True,0,copied
KOTAKBANK,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=KOTAKBANK,892,copy_symbol_partition,,True,0,copied
LT,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=LT,892,copy_symbol_partition,,True,0,copied
M&M,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=M&M,892,copy_symbol_partition,,True,0,copied
MARUTI,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=MARUTI,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=MARUTI,892,copy_symbol_partition,,True,0,copied
NESTLEIND,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=NESTLEIND,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=NESTLEIND,892,copy_symbol_partition,,True,0,copied
NIFTYBEES,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=NIFTYBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=NIFTYBEES,894,copy_symbol_partition,,True,0,copied
ONGC,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ONGC,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ONGC,892,copy_symbol_partition,,True,0,copied
RELIANCE,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=RELIANCE,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=RELIANCE,893,copy_symbol_partition,,True,0,copied
SBIN,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=SBIN,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=SBIN,893,copy_symbol_partition,,True,0,copied
SUNPHARMA,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=SUNPHARMA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=SUNPHARMA,892,copy_symbol_partition,,True,0,copied
TCS,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=TCS,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=TCS,892,copy_symbol_partition,,True,0,copied
TECHM,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=TECHM,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=TECHM,893,copy_symbol_partition,,True,0,copied
ULTRACEMCO,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ULTRACEMCO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ULTRACEMCO,893,copy_symbol_partition,,True,0,copied
WIPRO,2026-07-09,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=WIPRO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=WIPRO,893,copy_symbol_partition,,True,0,copied
