symbol,trade_date,exchange,source_symbol_dir,target_symbol_dir,parquet_files,planned_action,blocker
KOTAKBANK,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=KOTAKBANK,1569,copy_symbol_partition,
LT,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=LT,1569,copy_symbol_partition,
M&M,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=M&M,1569,copy_symbol_partition,
MARUTI,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=MARUTI,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=MARUTI,1569,copy_symbol_partition,
NESTLEIND,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=NESTLEIND,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=NESTLEIND,1569,copy_symbol_partition,
NIFTYBEES,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=NIFTYBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=NIFTYBEES,1568,copy_symbol_partition,
ONGC,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=ONGC,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=ONGC,1569,copy_symbol_partition,
RELIANCE,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=RELIANCE,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=RELIANCE,1569,copy_symbol_partition,
SBIN,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=SBIN,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=SBIN,1569,copy_symbol_partition,
SUNPHARMA,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=SUNPHARMA,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=SUNPHARMA,1569,copy_symbol_partition,
TCS,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=TCS,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=TCS,1569,copy_symbol_partition,
TECHM,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=TECHM,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=TECHM,1569,copy_symbol_partition,
ULTRACEMCO,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=ULTRACEMCO,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=ULTRACEMCO,1569,copy_symbol_partition,
WIPRO,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=WIPRO,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=WIPRO,1569,copy_symbol_partition,
