source_phase,model_id,model_type,execution_profile,synthetic_year_day,source_trade_date,cycle_ordinal,daily_trades,symbols,daily_net_pnl_inr,mean_net_return,market_shock_trade_fraction,disconnect_trade_fraction,running_net_pnl_inr,running_peak_inr,drawdown_inr
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,9,2026-07-14,1,368,1,-34612.1321131455,-0.0009405470682919973,0.0,0.0,-319717.9257496449,-34612.1321131455,-285105.79363649944
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,10,2026-07-15,1,370,2,-55359.5538468856,-0.0014962041580239352,1.0,0.0,-375077.47959653055,-34612.1321131455,-340465.34748338506
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,11,2026-07-17,1,369,1,-29262.865110258135,-0.0007930315748037435,0.0,0.0027100271002710027,-404340.34470678866,-34612.1321131455,-369728.21259364317
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,12,2026-07-23,1,368,1,-26788.50709062224,-0.0007279485622451695,0.0,0.002717391304347826,-431128.85179741087,-34612.1321131455,-396516.7196842654
phase25_event_replay,B03,baseline,retail_marketable_default,1,2026-07-14,0,1746,5,-178642.18525936807,-0.0010231511183239866,0.0,0.0,-178642.18525936807,-178642.18525936807,0.0
phase25_event_replay,B03,baseline,retail_marketable_default,2,2026-07-15,0,1710,5,-226549.87534629618,-0.0013248530722005626,1.0,0.0,-405192.0606056643,-178642.18525936807,-226549.8753462962
phase25_event_replay,B03,baseline,retail_marketable_default,3,2026-07-17,0,1732,5,-176871.16721643804,-0.001021196115568349,0.0,0.0,-582063.2278221024,-178642.18525936807,-403421.04256273434
phase25_event_replay,B03,baseline,retail_marketable_default,4,2026-07-23,0,1727,5,-183731.04569650348,-0.0010638740341430428,0.0,0.0,-765794.2735186059,-178642.18525936807,-587152.0882592378
phase25_event_replay,B03,baseline,retail_marketable_default,5,2026-07-27,0,1743,5,-196604.45089252325,-0.0011279658685744308,0.0,0.0,-962398.7244111291,-178642.18525936807,-783756.5391517611
phase25_event_replay,B03,baseline,retail_marketable_default,6,2026-08-07,0,1734,5,-178666.2546437531,-0.0010303705573457504,0.0,0.0,-1141064.9790548822,-178642.18525936807,-962422.7937955142
phase25_event_replay,B03,baseline,retail_marketable_default,7,2026-08-11,0,1751,5,-213891.31845842922,-0.0012215380837146158,0.0,0.0,-1354956.2975133115,-178642.18525936807,-1176314.1122539435
phase25_event_replay,B03,baseline,retail_marketable_default,8,2026-08-14,0,1730,5,-177141.5466143734,-0.0010239395758056267,0.0,0.0,-1532097.8441276848,-178642.18525936807,-1353455.6588683168
phase25_event_replay,B03,baseline,retail_marketable_default,9,2026-07-14,1,1746,5,-178642.18525936807,-0.0010231511183239866,0.0,0.0,-1710740.0293870529,-178642.18525936807,-1532097.8441276848
phase25_event_replay,B03,baseline,retail_marketable_default,10,2026-07-15,1,1710,5,-226549.87534629618,-0.0013248530722005626,1.0,0.0,-1937289.904733349,-178642.18525936807,-1758647.719473981
phase25_event_replay,B03,baseline,retail_marketable_default,11,2026-07-17,1,1732,5,-176871.16721643804,-0.001021196115568349,0.0,0.0,-2114161.071949787,-178642.18525936807,-1935518.886690419
phase25_event_replay,B03,baseline,retail_marketable_default,12,2026-07-23,1,1727,5,-183731.04569650348,-0.0010638740341430428,0.0,0.0,-2297892.1176462905,-178642.18525936807,-2119249.932386922
phase25_event_replay,B03,baseline,stressed_retail,1,2026-07-14,0,1696,5,-182306.73840913715,-0.0010749218066576484,0.0,0.0,-182306.73840913715,-182306.73840913715,0.0
phase25_event_replay,B03,baseline,stressed_retail,2,2026-07-15,0,1660,5,-276034.27736099483,-0.0016628570925361135,1.0,0.0,-458341.01577013195,-182306.73840913715,-276034.27736099483
phase25_event_replay,B03,baseline,stressed_retail,3,2026-07-17,0,1684,5,-210165.52025985732,-0.001248013778265186,0.0,0.0,-668506.5360299892,-182306.73840913715,-486199.7976208521
phase25_event_replay,B03,baseline,stressed_retail,4,2026-07-23,0,1677,5,-208568.58373401305,-0.0012437005589386585,0.0,0.0,-877075.1197640023,-182306.73840913715,-694768.3813548652
phase25_event_replay,B03,baseline,stressed_retail,5,2026-07-27,0,1693,5,-232193.49768913124,-0.0013714914216723642,0.0,0.0,-1109268.6174531335,-182306.73840913715,-926961.8790439963
phase25_event_replay,B03,baseline,stressed_retail,6,2026-08-07,0,1684,5,-205588.64672723,-0.001220835194342221,0.0,0.0,-1314857.2641803634,-182306.73840913715,-1132550.5257712263
phase25_event_replay,B03,baseline,stressed_retail,7,2026-08-11,0,1701,5,-238403.2379026231,-0.001401547547928413,0.0,0.0,-1553260.5020829865,-182306.73840913715,-1370953.7636738494
phase25_event_replay,B03,baseline,stressed_retail,8,2026-08-14,0,1680,5,-254584.5028151644,-0.0015153839453283596,0.0,0.0,-1807845.004898151,-182306.73840913715,-1625538.2664890138
phase25_event_replay,B03,baseline,stressed_retail,9,2026-07-14,1,1696,5,-182306.73840913715,-0.0010749218066576484,0.0,0.0,-1990151.743307288,-182306.73840913715,-1807845.004898151
phase25_event_replay,B03,baseline,stressed_retail,10,2026-07-15,1,1660,5,-276034.27736099483,-0.0016628570925361135,1.0,0.0,-2266186.020668283,-182306.73840913715,-2083879.282259146
phase25_event_replay,B03,baseline,stressed_retail,11,2026-07-17,1,1684,5,-210165.52025985732,-0.001248013778265186,0.0,0.0,-2476351.5409281403,-182306.73840913715,-2294044.802519003
phase25_event_replay,B03,baseline,stressed_retail,12,2026-07-23,1,1677,5,-208568.58373401305,-0.0012437005589386585,0.0,0.0,-2684920.1246621534,-182306.73840913715,-2502613.386253016
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,1,2026-07-14,0,1821,5,-100719.15101079189,-0.0005530980286150021,0.0,0.0005491488193300384,-100719.15101079189,-100719.15101079189,0.0
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,2,2026-07-15,0,1810,5,-192151.94092656294,-0.001061612933295928,1.0,0.0005524861878453039,-292871.0919373548,-100719.15101079189,-192151.94092656294
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,3,2026-07-17,0,1819,5,-69068.87955772933,-0.00037970796898146973,0.0,0.0010995052226498076,-361939.9714950842,-100719.15101079189,-261220.8204842923
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,4,2026-07-23,0,1818,5,-56855.97482209408,-0.000312739135435061,0.0,0.0022002200220022,-418795.94631717826,-100719.15101079189,-318076.79530638637
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,5,2026-07-27,0,1820,5,-24788.708864747667,-0.00013620169705905313,0.0,0.0016483516483516484,-443584.6551819259,-100719.15101079189,-342865.50417113403
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,6,2026-08-07,0,1822,5,-107021.40908244265,-0.0005873842430430442,0.0,0.0010976948408342481,-550606.0642643686,-100719.15101079189,-449886.9132535767
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,7,2026-08-11,0,1823,5,-72034.47674882159,-0.0003951424945080723,0.0,0.0005485463521667581,-622640.5410131902,-100719.15101079189,-521921.3900023983
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,8,2026-08-14,0,1814,5,-65682.59450551288,-0.0003620870700414161,0.0,0.0,-688323.135518703,-100719.15101079189,-587603.9845079111
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,9,2026-07-14,1,1821,5,-100719.15101079189,-0.0005530980286150021,0.0,0.0005491488193300384,-789042.2865294949,-100719.15101079189,-688323.135518703
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,10,2026-07-15,1,1810,5,-192151.94092656294,-0.001061612933295928,1.0,0.0005524861878453039,-981194.2274560579,-100719.15101079189,-880475.076445266
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,11,2026-07-17,1,1819,5,-69068.87955772933,-0.00037970796898146973,0.0,0.0010995052226498076,-1050263.1070137871,-100719.15101079189,-949543.9560029953
phase25_event_replay,B03,baseline,zero_latency_spread_only_control,12,2026-07-23,1,1818,5,-56855.97482209408,-0.000312739135435061,0.0,0.0022002200220022,-1107119.0818358813,-100719.15101079189,-1006399.9308250895
phase25_event_replay,B06,baseline,retail_marketable_default,1,2026-07-14,0,353,1,-67029.60987219273,-0.0018988558037448366,0.0,0.0,-67029.60987219273,-67029.60987219273,0.0
phase25_event_replay,B06,baseline,retail_marketable_default,2,2026-07-15,0,349,2,-73481.90882239777,-0.0021054988201260104,1.0,0.0,-140511.5186945905,-67029.60987219273,-73481.90882239776
phase25_event_replay,B06,baseline,retail_marketable_default,3,2026-07-17,0,348,1,-59207.302028184364,-0.001701359253683459,0.0,0.0,-199718.82072277484,-67029.60987219273,-132689.2108505821
phase25_event_replay,B06,baseline,retail_marketable_default,4,2026-07-23,0,346,1,-64591.715088565674,-0.0018668125748140367,0.0,0.0,-264310.5358113405,-67029.60987219273,-197280.92593914777
phase25_event_replay,B06,baseline,retail_marketable_default,5,2026-07-27,0,350,1,-70719.85700265928,-0.0020205673429331225,0.0,0.0,-335030.3928139998,-67029.60987219273,-268000.78294180706
phase25_event_replay,B06,baseline,retail_marketable_default,6,2026-08-07,0,350,1,-60771.22156013483,-0.001736320616003852,0.0,0.0,-395801.61437413463,-67029.60987219273,-328772.0045019419
phase25_event_replay,B06,baseline,retail_marketable_default,7,2026-08-11,0,352,1,-64085.02386313037,-0.0018205972688389311,0.0,0.0,-459886.638237265,-67029.60987219273,-392857.02836507227
phase25_event_replay,B06,baseline,retail_marketable_default,8,2026-08-14,0,353,1,-61253.099147286724,-0.0017352152732942416,0.0,0.0,-521139.7373845517,-67029.60987219273,-454110.127512359
phase25_event_replay,B06,baseline,retail_marketable_default,9,2026-07-14,1,353,1,-67029.60987219273,-0.0018988558037448366,0.0,0.0,-588169.3472567445,-67029.60987219273,-521139.7373845518
phase25_event_replay,B06,baseline,retail_marketable_default,10,2026-07-15,1,349,2,-73481.90882239777,-0.0021054988201260104,1.0,0.0,-661651.2560791423,-67029.60987219273,-594621.6462069496
phase25_event_replay,B06,baseline,retail_marketable_default,11,2026-07-17,1,348,1,-59207.302028184364,-0.001701359253683459,0.0,0.0,-720858.5581073267,-67029.60987219273,-653828.948235134
phase25_event_replay,B06,baseline,retail_marketable_default,12,2026-07-23,1,346,1,-64591.715088565674,-0.0018668125748140367,0.0,0.0,-785450.2731958925,-67029.60987219273,-718420.6633236997
phase25_event_replay,B06,baseline,stressed_retail,1,2026-07-14,0,343,1,-71062.45602777184,-0.002071791720926293,0.0,0.0,-71062.45602777184,-71062.45602777184,0.0
phase25_event_replay,B06,baseline,stressed_retail,2,2026-07-15,0,339,2,-77594.82227373171,-0.0022889328104345637,1.0,0.0,-148657.27830150357,-71062.45602777184,-77594.82227373173
phase25_event_replay,B06,baseline,stressed_retail,3,2026-07-17,0,338,1,-66918.59903184716,-0.0019798402080428153,0.0,0.0,-215575.8773333507,-71062.45602777184,-144513.42130557887
phase25_event_replay,B06,baseline,stressed_retail,4,2026-07-23,0,337,1,-70955.09652111231,-0.0021054924783712853,0.0,0.0,-286530.973854463,-71062.45602777184,-215468.51782669118
phase25_event_replay,B06,baseline,stressed_retail,5,2026-07-27,0,341,1,-76695.87738175501,-0.00224914596427434,0.0,0.0,-363226.851236218,-71062.45602777184,-292164.3952084462
phase25_event_replay,B06,baseline,stressed_retail,6,2026-08-07,0,340,1,-66502.46107197473,-0.0019559547374110218,0.0,0.0,-429729.3123081927,-71062.45602777184,-358666.8562804209
phase25_event_replay,B06,baseline,stressed_retail,7,2026-08-11,0,342,1,-69074.59243441686,-0.0020197249249829493,0.0,0.0,-498803.9047426096,-71062.45602777184,-427741.4487148378
phase25_event_replay,B06,baseline,stressed_retail,8,2026-08-14,0,343,1,-68171.41789322191,-0.0019875048948461193,0.0,0.0,-566975.3226358315,-71062.45602777184,-495912.86660805973
phase25_event_replay,B06,baseline,stressed_retail,9,2026-07-14,1,343,1,-71062.45602777184,-0.002071791720926293,0.0,0.0,-638037.7786636034,-71062.45602777184,-566975.3226358315
phase25_event_replay,B06,baseline,stressed_retail,10,2026-07-15,1,339,2,-77594.82227373171,-0.0022889328104345637,1.0,0.0,-715632.600937335,-71062.45602777184,-644570.1449095632
phase25_event_replay,B06,baseline,stressed_retail,11,2026-07-17,1,338,1,-66918.59903184716,-0.0019798402080428153,0.0,0.0,-782551.1999691823,-71062.45602777184,-711488.7439414104
phase25_event_replay,B06,baseline,stressed_retail,12,2026-07-23,1,337,1,-70955.09652111231,-0.0021054924783712853,0.0,0.0,-853506.2964902946,-71062.45602777184,-782443.8404625228
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,1,2026-07-14,0,368,1,-36910.41157819369,-0.0010030003146248286,0.0,0.0,-36910.41157819369,-36910.41157819369,0.0
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,2,2026-07-15,0,370,2,-38637.65242234396,-0.0010442608762795665,1.0,0.0,-75548.06400053765,-36910.41157819369,-38637.652422343956
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,3,2026-07-17,0,369,1,-27662.85173225592,-0.0007496707786519218,0.0,0.0027100271002710027,-103210.91573279357,-36910.41157819369,-66300.50415459988
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,4,2026-07-23,0,368,1,-33684.39634830099,-0.0009153368572907876,0.0,0.002717391304347826,-136895.31208109454,-36910.41157819369,-99984.90050290085
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,5,2026-07-27,0,367,1,-40310.09810477834,-0.001098367795770527,0.0,0.0027247956403269754,-177205.41018587287,-36910.41157819369,-140294.99860767918
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,6,2026-08-07,0,371,1,-27945.98802192071,-0.0007532611326663264,0.0,0.0,-205151.3982077936,-36910.41157819369,-168240.9866295999
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,7,2026-08-11,0,368,1,-33820.50342919901,-0.0009190354192717121,0.0,0.0,-238971.9016369926,-36910.41157819369,-202061.49005879893
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,8,2026-08-14,0,370,1,-28360.033399100324,-0.0007664873891648737,0.0,0.0,-267331.93503609294,-36910.41157819369,-230421.52345789925
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,9,2026-07-14,1,368,1,-36910.41157819369,-0.0010030003146248286,0.0,0.0,-304242.34661428665,-36910.41157819369,-267331.93503609294
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,10,2026-07-15,1,370,2,-38637.65242234396,-0.0010442608762795665,1.0,0.0,-342879.9990366306,-36910.41157819369,-305969.5874584369
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,11,2026-07-17,1,369,1,-27662.85173225592,-0.0007496707786519218,0.0,0.0027100271002710027,-370542.8507688865,-36910.41157819369,-333632.4391906928
phase25_event_replay,B06,baseline,zero_latency_spread_only_control,12,2026-07-23,1,368,1,-33684.39634830099,-0.0009153368572907876,0.0,0.002717391304347826,-404227.2471171875,-36910.41157819369,-367316.83553899376
phase25_event_replay,S01,strategy,retail_marketable_default,1,2026-07-14,0,251,4,-27441.40516581236,-0.0010932830743351537,0.0,0.0,-27441.40516581236,-27441.40516581236,0.0
phase25_event_replay,S01,strategy,retail_marketable_default,2,2026-07-15,0,290,4,-35211.84781046215,-0.001214201648636626,1.0,0.0,-62653.25297627451,-27441.40516581236,-35211.847810462146
phase25_event_replay,S01,strategy,retail_marketable_default,3,2026-07-17,0,155,4,-11389.442447050069,-0.0007348027385193592,0.0,0.0,-74042.69542332458,-27441.40516581236,-46601.29025751221
phase25_event_replay,S01,strategy,retail_marketable_default,4,2026-07-23,0,151,4,-9567.103947790898,-0.0006335830429000594,0.0,0.0,-83609.79937111547,-27441.40516581236,-56168.394205303106
phase25_event_replay,S01,strategy,retail_marketable_default,5,2026-07-27,0,241,4,-19192.125906448902,-0.0007963537720518219,0.0,0.0,-102801.92527756437,-27441.40516581236,-75360.520111752
phase25_event_replay,S01,strategy,retail_marketable_default,6,2026-08-07,0,102,4,-10991.591440385966,-0.0010776070039594085,0.0,0.0,-113793.51671795033,-27441.40516581236,-86352.11155213797
phase25_event_replay,S01,strategy,retail_marketable_default,7,2026-08-11,0,112,4,-13937.358624771934,-0.0012444070200689228,0.0,0.0,-127730.87534272227,-27441.40516581236,-100289.4701769099
phase25_event_replay,S01,strategy,retail_marketable_default,8,2026-08-14,0,147,4,-13687.29383278074,-0.0009311084239986899,0.0,0.0,-141418.16917550302,-27441.40516581236,-113976.76400969065
phase25_event_replay,S01,strategy,retail_marketable_default,9,2026-07-14,1,251,4,-27441.40516581236,-0.0010932830743351537,0.0,0.0,-168859.57434131537,-27441.40516581236,-141418.16917550302
phase25_event_replay,S01,strategy,retail_marketable_default,10,2026-07-15,1,290,4,-35211.84781046215,-0.001214201648636626,1.0,0.0,-204071.42215177751,-27441.40516581236,-176630.01698596517
phase25_event_replay,S01,strategy,retail_marketable_default,11,2026-07-17,1,155,4,-11389.442447050069,-0.0007348027385193592,0.0,0.0,-215460.86459882758,-27441.40516581236,-188019.45943301523
phase25_event_replay,S01,strategy,retail_marketable_default,12,2026-07-23,1,151,4,-9567.103947790898,-0.0006335830429000594,0.0,0.0,-225027.96854661847,-27441.40516581236,-197586.56338080612
phase25_event_replay,S01,strategy,stressed_retail,1,2026-07-14,0,239,4,-13244.25562579762,-0.0005541529550542937,0.0,0.0,-13244.25562579762,-13244.25562579762,0.0
phase25_event_replay,S01,strategy,stressed_retail,2,2026-07-15,0,279,4,-40747.09994010009,-0.001460469531903229,1.0,0.0,-53991.355565897706,-13244.25562579762,-40747.09994010009
phase25_event_replay,S01,strategy,stressed_retail,3,2026-07-17,0,146,4,-17554.286022238277,-0.0012023483576875532,0.0,0.0,-71545.64158813599,-13244.25562579762,-58301.38596233837
phase25_event_replay,S01,strategy,stressed_retail,4,2026-07-23,0,140,4,-7384.196400825834,-0.0005274426000589882,0.0,0.0,-78929.83798896182,-13244.25562579762,-65685.5823631642
phase25_event_replay,S01,strategy,stressed_retail,5,2026-07-27,0,247,4,-30275.788378731962,-0.0012257404201915774,0.0,0.0,-109205.62636769378,-13244.25562579762,-95961.37074189616
phase25_event_replay,S01,strategy,stressed_retail,6,2026-08-07,0,100,4,-8305.22427652499,-0.0008305224276524989,0.0,0.0,-117510.85064421876,-13244.25562579762,-104266.59501842114
phase25_event_replay,S01,strategy,stressed_retail,7,2026-08-11,0,106,4,-12877.908142263625,-0.001214896994553172,0.0,0.0,-130388.75878648239,-13244.25562579762,-117144.50316068476
phase25_event_replay,S01,strategy,stressed_retail,8,2026-08-14,0,147,4,-18241.24274094002,-0.0012409008667306136,0.0,0.0,-148630.0015274224,-13244.25562579762,-135385.7459016248
phase25_event_replay,S01,strategy,stressed_retail,9,2026-07-14,1,239,4,-13244.25562579762,-0.0005541529550542937,0.0,0.0,-161874.25715322,-13244.25562579762,-148630.0015274224
phase25_event_replay,S01,strategy,stressed_retail,10,2026-07-15,1,279,4,-40747.09994010009,-0.001460469531903229,1.0,0.0,-202621.3570933201,-13244.25562579762,-189377.1014675225
phase25_event_replay,S01,strategy,stressed_retail,11,2026-07-17,1,146,4,-17554.286022238277,-0.0012023483576875532,0.0,0.0,-220175.6431155584,-13244.25562579762,-206931.3874897608
phase25_event_replay,S01,strategy,stressed_retail,12,2026-07-23,1,140,4,-7384.196400825834,-0.0005274426000589882,0.0,0.0,-227559.83951638424,-13244.25562579762,-214315.58389058663
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,1,2026-07-14,0,255,4,-14701.511053348093,-0.0005765298452293369,0.0,0.0,-14701.511053348093,-14701.511053348093,0.0
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,2,2026-07-15,0,301,4,-48018.53122448875,-0.0015953000406806893,1.0,0.0,-62720.04227783684,-14701.511053348093,-48018.53122448875
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,3,2026-07-17,0,168,4,-5994.674962159378,-0.00035682589060472486,0.0,0.0,-68714.71723999621,-14701.511053348093,-54013.20618664812
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,4,2026-07-23,0,157,4,6518.5402259132425,0.0004151936449626268,0.0,0.0,-62196.177014082976,-14701.511053348093,-47494.665960734885
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,5,2026-07-27,0,252,4,4940.653492139517,0.00019605767825950468,0.0,0.0,-57255.52352194346,-14701.511053348093,-42554.01246859537
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,6,2026-08-07,0,105,4,-7776.471084144732,-0.0007406162937280698,0.0,0.0,-65031.99460608819,-14701.511053348093,-50330.4835527401
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,7,2026-08-11,0,129,4,-6252.969487941845,-0.0004847263168947167,0.0,0.0,-71284.96409403003,-14701.511053348093,-56583.45304068194
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,8,2026-08-14,0,157,4,-2607.4022958043547,-0.00016607657935059585,0.0,0.0,-73892.36638983438,-14701.511053348093,-59190.85533648629
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,9,2026-07-14,1,255,4,-14701.511053348093,-0.0005765298452293369,0.0,0.0,-88593.87744318247,-14701.511053348093,-73892.36638983438
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,10,2026-07-15,1,301,4,-48018.53122448875,-0.0015953000406806893,1.0,0.0,-136612.4086676712,-14701.511053348093,-121910.89761432311
phase25_event_replay,S01,strategy,zero_latency_spread_only_control,11,2026-07-17,1,168,4,-5994.674962159378,-0.00035682589060472486,0.0,0.0,-142607.0836298306,-14701.511053348093,-127905.5725764825
