scenario_id,trade_date,symbol,input_ticks,candidate_scan_points,selected_trades,flip_side,remove_l2_l5,top5_only
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-04-01,SBIN,20000,40,0,0,0,0
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-05-01,HDFCBANK,20000,40,8,0,0,0
P415_SIDE_FLIP_CONTROL,2026-01-01,AXISBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-01-01,HDFCBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-01-01,INFY,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-01-01,RELIANCE,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-01-01,SBIN,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-02-02,AXISBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-02-02,HDFCBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-02-02,INFY,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-02-02,RELIANCE,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-02-02,SBIN,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-03-02,AXISBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-03-02,HDFCBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-03-02,INFY,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-03-02,RELIANCE,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-03-02,SBIN,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-04-01,AXISBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-04-01,HDFCBANK,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-04-01,INFY,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-04-01,RELIANCE,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-04-01,SBIN,20000,40,0,1,0,0
P415_SIDE_FLIP_CONTROL,2026-05-01,HDFCBANK,20000,40,0,1,0,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-01-01,AXISBANK,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-01-01,HDFCBANK,20000,40,40,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-01-01,INFY,20000,40,33,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-01-01,RELIANCE,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-01-01,SBIN,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-02-02,AXISBANK,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-02-02,HDFCBANK,20000,40,7,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-02-02,INFY,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-02-02,RELIANCE,20000,40,31,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-02-02,SBIN,20000,40,6,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-03-02,AXISBANK,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-03-02,HDFCBANK,20000,40,28,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-03-02,INFY,20000,40,28,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-03-02,RELIANCE,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-03-02,SBIN,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-04-01,AXISBANK,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-04-01,HDFCBANK,20000,40,31,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-04-01,INFY,20000,40,32,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-04-01,RELIANCE,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-04-01,SBIN,20000,40,0,0,1,0
P415_LEVELS_2_TO_5_REMOVED_CONTROL,2026-05-01,HDFCBANK,20000,40,8,0,1,0
P415_TOP5_ONLY_CONTROL,2026-01-01,AXISBANK,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-01-01,HDFCBANK,20000,40,40,0,0,1
P415_TOP5_ONLY_CONTROL,2026-01-01,INFY,20000,40,33,0,0,1
P415_TOP5_ONLY_CONTROL,2026-01-01,RELIANCE,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-01-01,SBIN,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-02-02,AXISBANK,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-02-02,HDFCBANK,20000,40,7,0,0,1
P415_TOP5_ONLY_CONTROL,2026-02-02,INFY,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-02-02,RELIANCE,20000,40,31,0,0,1
P415_TOP5_ONLY_CONTROL,2026-02-02,SBIN,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-03-02,AXISBANK,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-03-02,HDFCBANK,20000,40,28,0,0,1
P415_TOP5_ONLY_CONTROL,2026-03-02,INFY,20000,40,28,0,0,1
P415_TOP5_ONLY_CONTROL,2026-03-02,RELIANCE,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-03-02,SBIN,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-04-01,AXISBANK,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-04-01,HDFCBANK,20000,40,31,0,0,1
P415_TOP5_ONLY_CONTROL,2026-04-01,INFY,20000,40,32,0,0,1
P415_TOP5_ONLY_CONTROL,2026-04-01,RELIANCE,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-04-01,SBIN,20000,40,0,0,0,1
P415_TOP5_ONLY_CONTROL,2026-05-01,HDFCBANK,20000,40,8,0,0,1
