variant_id,strategy_id,feature_column,threshold_quantile,threshold_value,spread_quantile,spread_tick_limit,liquidity_quantile,liquidity_floor,variant_scope
S02_q95_sp25_liq75,S02,mlofi_qty_event,0.95,0.03979558662992651,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S02_q95_sp50_liq50,S02,mlofi_qty_event,0.95,0.03979558662992651,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S02_q95_sp50_liq75,S02,mlofi_qty_event,0.95,0.03979558662992651,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S02_q98_sp25_liq50,S02,mlofi_qty_event,0.98,0.062254395796167955,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S02_q98_sp25_liq75,S02,mlofi_qty_event,0.98,0.062254395796167955,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S02_q98_sp50_liq50,S02,mlofi_qty_event,0.98,0.062254395796167955,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S02_q98_sp50_liq75,S02,mlofi_qty_event,0.98,0.062254395796167955,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S05_q90_sp25_liq50,S05,microprice_dev,0.9,0.00012666710985181337,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S05_q90_sp25_liq75,S05,microprice_dev,0.9,0.00012666710985181337,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S05_q90_sp50_liq50,S05,microprice_dev,0.9,0.00012666710985181337,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S05_q90_sp50_liq75,S05,microprice_dev,0.9,0.00012666710985181337,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S05_q95_sp25_liq50,S05,microprice_dev,0.95,0.0001508632092536177,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S05_q95_sp25_liq75,S05,microprice_dev,0.95,0.0001508632092536177,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S05_q95_sp50_liq50,S05,microprice_dev,0.95,0.0001508632092536177,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S05_q95_sp50_liq75,S05,microprice_dev,0.95,0.0001508632092536177,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S05_q98_sp25_liq50,S05,microprice_dev,0.98,0.0002697495588308682,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S05_q98_sp25_liq75,S05,microprice_dev,0.98,0.0002697495588308682,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S05_q98_sp50_liq50,S05,microprice_dev,0.98,0.0002697495588308682,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S05_q98_sp50_liq75,S05,microprice_dev,0.98,0.0002697495588308682,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S07_q90_sp25_liq50,S07,l5_imbalance,0.9,0.5779522335249889,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S07_q90_sp25_liq75,S07,l5_imbalance,0.9,0.5779522335249889,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S07_q90_sp50_liq50,S07,l5_imbalance,0.9,0.5779522335249889,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S07_q90_sp50_liq75,S07,l5_imbalance,0.9,0.5779522335249889,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S07_q95_sp25_liq50,S07,l5_imbalance,0.95,0.6971240263630917,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S07_q95_sp25_liq75,S07,l5_imbalance,0.95,0.6971240263630917,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S07_q95_sp50_liq50,S07,l5_imbalance,0.95,0.6971240263630917,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S07_q95_sp50_liq75,S07,l5_imbalance,0.95,0.6971240263630917,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S07_q98_sp25_liq50,S07,l5_imbalance,0.98,0.7395537042629196,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S07_q98_sp25_liq75,S07,l5_imbalance,0.98,0.7395537042629196,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S07_q98_sp50_liq50,S07,l5_imbalance,0.98,0.7395537042629196,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S07_q98_sp50_liq75,S07,l5_imbalance,0.98,0.7395537042629196,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S09_q90_sp25_liq50,S09,l1_imbalance,0.9,0.5782312925170068,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S09_q90_sp25_liq75,S09,l1_imbalance,0.9,0.5782312925170068,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S09_q90_sp50_liq50,S09,l1_imbalance,0.9,0.5782312925170068,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S09_q90_sp50_liq75,S09,l1_imbalance,0.9,0.5782312925170068,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S09_q95_sp25_liq50,S09,l1_imbalance,0.95,0.696969696969697,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S09_q95_sp25_liq75,S09,l1_imbalance,0.95,0.696969696969697,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S09_q95_sp50_liq50,S09,l1_imbalance,0.95,0.696969696969697,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S09_q95_sp50_liq75,S09,l1_imbalance,0.95,0.696969696969697,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S09_q98_sp25_liq50,S09,l1_imbalance,0.98,0.7395540956279799,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S09_q98_sp25_liq75,S09,l1_imbalance,0.98,0.7395540956279799,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S09_q98_sp50_liq50,S09,l1_imbalance,0.98,0.7395540956279799,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S09_q98_sp50_liq75,S09,l1_imbalance,0.98,0.7395540956279799,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
