shard_index,trade_month,symbol,row_count,market_shock_rows,symbol_shock_rows,regime_count,dominant_regime_code,dominant_feed_profile,has_market_shock,has_symbol_shock
42,2026-02,GOLDBEES,250000,0,0,1,D04,disconnect_scenario,False,False
43,2026-02,HCLTECH,250000,0,0,1,D04,disconnect_scenario,False,False
44,2026-02,HDFCBANK,250000,0,0,1,D04,disconnect_scenario,False,False
45,2026-02,HINDUNILVR,250000,0,0,1,D04,disconnect_scenario,False,False
46,2026-02,ICICIBANK,250000,0,0,1,D04,disconnect_scenario,False,False
47,2026-02,INFY,250000,0,0,1,D04,disconnect_scenario,False,False
48,2026-02,ITBEES,250000,0,0,1,D04,disconnect_scenario,False,False
49,2026-02,ITC,250000,0,0,1,D04,disconnect_scenario,False,False
50,2026-02,JUNIORBEES,250000,0,0,1,D04,disconnect_scenario,False,False
51,2026-02,KOTAKBANK,250000,0,0,1,D04,disconnect_scenario,False,False
52,2026-02,LT,250000,0,0,1,D04,disconnect_scenario,False,False
53,2026-02,M&M,250000,0,0,1,D04,disconnect_scenario,False,False
54,2026-02,MARUTI,250000,0,0,1,D04,disconnect_scenario,False,False
55,2026-02,NESTLEIND,250000,0,0,1,D04,disconnect_scenario,False,False
56,2026-02,NIFTYBEES,250000,0,0,1,D04,disconnect_scenario,False,False
57,2026-02,ONGC,250000,0,0,1,D04,disconnect_scenario,False,False
58,2026-02,RELIANCE,250000,0,0,1,D04,disconnect_scenario,False,False
59,2026-02,SBIN,250000,0,0,1,D04,disconnect_scenario,False,False
60,2026-02,SUNPHARMA,250000,0,0,1,D04,disconnect_scenario,False,False
61,2026-02,TCS,250000,0,0,1,D04,disconnect_scenario,False,False
62,2026-02,TECHM,250000,0,0,1,D04,disconnect_scenario,False,False
63,2026-02,ULTRACEMCO,250000,0,0,1,D04,disconnect_scenario,False,False
64,2026-02,WIPRO,250000,0,0,1,D04,disconnect_scenario,False,False
65,2026-03,ADANIPORTS,250000,0,0,1,D06,disconnect_scenario,False,False
66,2026-03,AXISBANK,250000,0,0,1,D06,disconnect_scenario,False,False
67,2026-03,BAJAJ-AUTO,250000,0,0,1,D06,disconnect_scenario,False,False
68,2026-03,BANKBEES,250000,0,0,1,D06,disconnect_scenario,False,False
69,2026-03,BHARTIARTL,250000,0,0,1,D06,disconnect_scenario,False,False
70,2026-03,BPCL,250000,0,0,1,D06,disconnect_scenario,False,False
71,2026-03,BRITANNIA,250000,0,0,1,D06,disconnect_scenario,False,False
72,2026-03,CIPLA,250000,0,0,1,D06,disconnect_scenario,False,False
73,2026-03,DRREDDY,250000,0,0,1,D06,disconnect_scenario,False,False
74,2026-03,GOLDBEES,250000,0,0,1,D06,disconnect_scenario,False,False
75,2026-03,HCLTECH,250000,0,0,1,D06,disconnect_scenario,False,False
76,2026-03,HDFCBANK,250000,0,0,1,D06,disconnect_scenario,False,False
77,2026-03,HINDUNILVR,250000,0,0,1,D06,disconnect_scenario,False,False
78,2026-03,ICICIBANK,250000,0,0,1,D06,disconnect_scenario,False,False
79,2026-03,INFY,250000,0,0,1,D06,disconnect_scenario,False,False
80,2026-03,ITBEES,250000,0,0,1,D06,disconnect_scenario,False,False
81,2026-03,ITC,250000,0,0,1,D06,disconnect_scenario,False,False
82,2026-03,JUNIORBEES,250000,0,0,1,D06,disconnect_scenario,False,False
83,2026-03,KOTAKBANK,250000,0,0,1,D06,disconnect_scenario,False,False
84,2026-03,LT,250000,0,0,1,D06,disconnect_scenario,False,False
85,2026-03,M&M,250000,0,0,1,D06,disconnect_scenario,False,False
86,2026-03,MARUTI,250000,0,0,1,D06,disconnect_scenario,False,False
87,2026-03,NESTLEIND,250000,0,0,1,D06,disconnect_scenario,False,False
88,2026-03,NIFTYBEES,250000,0,0,1,D06,disconnect_scenario,False,False
89,2026-03,ONGC,250000,0,0,1,D06,disconnect_scenario,False,False
90,2026-03,RELIANCE,250000,0,0,1,D06,disconnect_scenario,False,False
91,2026-03,SBIN,250000,0,0,1,D06,disconnect_scenario,False,False
92,2026-03,SUNPHARMA,250000,0,0,1,D06,disconnect_scenario,False,False
93,2026-03,TCS,250000,0,0,1,D06,disconnect_scenario,False,False
94,2026-03,TECHM,250000,0,0,1,D06,disconnect_scenario,False,False
95,2026-03,ULTRACEMCO,250000,0,0,1,D06,disconnect_scenario,False,False
96,2026-03,WIPRO,250000,0,0,1,D06,disconnect_scenario,False,False
97,2026-04,ADANIPORTS,250000,250000,250000,1,D05,disconnect_scenario,True,True
98,2026-04,AXISBANK,250000,250000,0,1,D05,disconnect_scenario,True,False
99,2026-04,BAJAJ-AUTO,250000,250000,0,1,D05,disconnect_scenario,True,False
100,2026-04,BANKBEES,250000,250000,0,1,D05,disconnect_scenario,True,False
101,2026-04,BHARTIARTL,250000,250000,0,1,D05,disconnect_scenario,True,False
102,2026-04,BPCL,250000,250000,0,1,D05,disconnect_scenario,True,False
103,2026-04,BRITANNIA,250000,250000,0,1,D05,disconnect_scenario,True,False
104,2026-04,CIPLA,250000,250000,0,1,D05,disconnect_scenario,True,False
105,2026-04,DRREDDY,250000,250000,0,1,D05,disconnect_scenario,True,False
106,2026-04,GOLDBEES,250000,250000,0,1,D05,disconnect_scenario,True,False
107,2026-04,HCLTECH,250000,250000,0,1,D05,disconnect_scenario,True,False
108,2026-04,HDFCBANK,250000,250000,0,1,D05,disconnect_scenario,True,False
109,2026-04,HINDUNILVR,250000,250000,0,1,D05,disconnect_scenario,True,False
110,2026-04,ICICIBANK,250000,250000,0,1,D05,disconnect_scenario,True,False
111,2026-04,INFY,250000,250000,0,1,D05,disconnect_scenario,True,False
112,2026-04,ITBEES,250000,250000,0,1,D05,disconnect_scenario,True,False
113,2026-04,ITC,250000,250000,0,1,D05,disconnect_scenario,True,False
114,2026-04,JUNIORBEES,250000,250000,0,1,D05,disconnect_scenario,True,False
115,2026-04,KOTAKBANK,250000,250000,0,1,D05,disconnect_scenario,True,False
116,2026-04,LT,250000,250000,0,1,D05,disconnect_scenario,True,False
117,2026-04,M&M,250000,250000,0,1,D05,disconnect_scenario,True,False
118,2026-04,MARUTI,250000,250000,0,1,D05,disconnect_scenario,True,False
119,2026-04,NESTLEIND,250000,250000,0,1,D05,disconnect_scenario,True,False
120,2026-04,NIFTYBEES,250000,250000,0,1,D05,disconnect_scenario,True,False
121,2026-04,ONGC,250000,250000,0,1,D05,disconnect_scenario,True,False
122,2026-04,RELIANCE,250000,250000,0,1,D05,disconnect_scenario,True,False
123,2026-04,SBIN,250000,250000,0,1,D05,disconnect_scenario,True,False
124,2026-04,SUNPHARMA,250000,250000,0,1,D05,disconnect_scenario,True,False
125,2026-04,TCS,250000,250000,0,1,D05,disconnect_scenario,True,False
126,2026-04,TECHM,250000,250000,0,1,D05,disconnect_scenario,True,False
127,2026-04,ULTRACEMCO,250000,250000,0,1,D05,disconnect_scenario,True,False
128,2026-04,WIPRO,250000,250000,0,1,D05,disconnect_scenario,True,False
