horizon_seconds,threshold_policy,fixed_notional_inr,cost_profile,max_concurrent_positions
60,top_50pct_abs_signal,25000,zerodha_base,1
60,top_50pct_abs_signal,25000,zerodha_base,2
60,top_50pct_abs_signal,25000,zerodha_base,4
60,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
60,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
60,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
60,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
60,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
60,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
60,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
60,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
60,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
60,top_50pct_abs_signal,50000,zerodha_base,1
60,top_50pct_abs_signal,50000,zerodha_base,2
60,top_50pct_abs_signal,50000,zerodha_base,4
60,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
60,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
60,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
60,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
60,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
60,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
60,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
60,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
60,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
60,top_50pct_abs_signal,100000,zerodha_base,1
60,top_50pct_abs_signal,100000,zerodha_base,2
60,top_50pct_abs_signal,100000,zerodha_base,4
60,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
60,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
60,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
60,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
60,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
60,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
60,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
60,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
60,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
60,all_nonzero_signal,25000,zerodha_base,1
60,all_nonzero_signal,25000,zerodha_base,2
60,all_nonzero_signal,25000,zerodha_base,4
60,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,1
60,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,2
60,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,4
60,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,1
60,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,2
60,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,4
60,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,1
60,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,2
60,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,4
60,all_nonzero_signal,50000,zerodha_base,1
60,all_nonzero_signal,50000,zerodha_base,2
60,all_nonzero_signal,50000,zerodha_base,4
60,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,1
60,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,2
60,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,4
60,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,1
60,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,2
60,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,4
60,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,1
60,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,2
60,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,4
60,all_nonzero_signal,100000,zerodha_base,1
60,all_nonzero_signal,100000,zerodha_base,2
60,all_nonzero_signal,100000,zerodha_base,4
60,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,1
60,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,2
60,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,4
60,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,1
60,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,2
60,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,4
60,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,1
60,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,2
60,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,4
300,top_25pct_abs_signal,25000,zerodha_base,1
300,top_25pct_abs_signal,25000,zerodha_base,2
300,top_25pct_abs_signal,25000,zerodha_base,4
300,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
300,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
300,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
300,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
300,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
300,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
300,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
300,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
300,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
300,top_25pct_abs_signal,50000,zerodha_base,1
300,top_25pct_abs_signal,50000,zerodha_base,2
300,top_25pct_abs_signal,50000,zerodha_base,4
300,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
300,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
300,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
300,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
300,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
300,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
300,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
300,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
300,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
300,top_25pct_abs_signal,100000,zerodha_base,1
300,top_25pct_abs_signal,100000,zerodha_base,2
300,top_25pct_abs_signal,100000,zerodha_base,4
300,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
300,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
300,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
300,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
300,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
300,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
300,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
300,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
300,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
300,top_50pct_abs_signal,25000,zerodha_base,1
300,top_50pct_abs_signal,25000,zerodha_base,2
300,top_50pct_abs_signal,25000,zerodha_base,4
300,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
300,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
300,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
300,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
300,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
300,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
300,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
300,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
300,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
300,top_50pct_abs_signal,50000,zerodha_base,1
300,top_50pct_abs_signal,50000,zerodha_base,2
300,top_50pct_abs_signal,50000,zerodha_base,4
300,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
300,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
300,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
300,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
300,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
300,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
300,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
300,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
300,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
300,top_50pct_abs_signal,100000,zerodha_base,1
300,top_50pct_abs_signal,100000,zerodha_base,2
300,top_50pct_abs_signal,100000,zerodha_base,4
300,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
300,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
300,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
300,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
300,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
300,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
300,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
300,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
300,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
300,all_nonzero_signal,25000,zerodha_base,1
300,all_nonzero_signal,25000,zerodha_base,2
300,all_nonzero_signal,25000,zerodha_base,4
300,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,1
300,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,2
300,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,4
300,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,1
300,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,2
300,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,4
300,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,1
300,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,2
300,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,4
300,all_nonzero_signal,50000,zerodha_base,1
300,all_nonzero_signal,50000,zerodha_base,2
300,all_nonzero_signal,50000,zerodha_base,4
300,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,1
300,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,2
300,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,4
300,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,1
300,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,2
300,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,4
300,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,1
300,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,2
300,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,4
300,all_nonzero_signal,100000,zerodha_base,1
300,all_nonzero_signal,100000,zerodha_base,2
300,all_nonzero_signal,100000,zerodha_base,4
300,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,1
300,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,2
300,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,4
300,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,1
300,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,2
300,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,4
300,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,1
300,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,2
300,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,4
900,top_25pct_abs_signal,25000,zerodha_base,1
900,top_25pct_abs_signal,25000,zerodha_base,2
900,top_25pct_abs_signal,25000,zerodha_base,4
900,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
900,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
900,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
900,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
900,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
900,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
900,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
900,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
900,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
900,top_25pct_abs_signal,50000,zerodha_base,1
900,top_25pct_abs_signal,50000,zerodha_base,2
900,top_25pct_abs_signal,50000,zerodha_base,4
900,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
900,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
900,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
900,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
900,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
900,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
900,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
900,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
900,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
900,top_25pct_abs_signal,100000,zerodha_base,1
900,top_25pct_abs_signal,100000,zerodha_base,2
900,top_25pct_abs_signal,100000,zerodha_base,4
900,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
900,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
900,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
900,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
900,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
900,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
900,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
900,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
900,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
900,top_50pct_abs_signal,25000,zerodha_base,1
900,top_50pct_abs_signal,25000,zerodha_base,2
900,top_50pct_abs_signal,25000,zerodha_base,4
900,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
900,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
900,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
900,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
900,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
900,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
900,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
900,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
900,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
900,top_50pct_abs_signal,50000,zerodha_base,1
900,top_50pct_abs_signal,50000,zerodha_base,2
900,top_50pct_abs_signal,50000,zerodha_base,4
900,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
900,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
900,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
900,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
900,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
900,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
900,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
900,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
900,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
900,top_50pct_abs_signal,100000,zerodha_base,1
900,top_50pct_abs_signal,100000,zerodha_base,2
900,top_50pct_abs_signal,100000,zerodha_base,4
900,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
900,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
900,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
900,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
900,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
900,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
900,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
900,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
900,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
900,all_nonzero_signal,25000,zerodha_base,1
900,all_nonzero_signal,25000,zerodha_base,2
900,all_nonzero_signal,25000,zerodha_base,4
900,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,1
900,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,2
900,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,4
900,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,1
900,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,2
900,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,4
900,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,1
900,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,2
900,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,4
900,all_nonzero_signal,50000,zerodha_base,1
900,all_nonzero_signal,50000,zerodha_base,2
900,all_nonzero_signal,50000,zerodha_base,4
900,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,1
900,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,2
900,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,4
900,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,1
900,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,2
900,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,4
900,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,1
900,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,2
900,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,4
900,all_nonzero_signal,100000,zerodha_base,1
900,all_nonzero_signal,100000,zerodha_base,2
900,all_nonzero_signal,100000,zerodha_base,4
900,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,1
900,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,2
900,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,4
900,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,1
900,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,2
900,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,4
900,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,1
900,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,2
900,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,4
1800,top_25pct_abs_signal,25000,zerodha_base,1
1800,top_25pct_abs_signal,25000,zerodha_base,2
1800,top_25pct_abs_signal,25000,zerodha_base,4
1800,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
1800,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
1800,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
1800,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
1800,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
1800,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
1800,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
1800,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
1800,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
1800,top_25pct_abs_signal,50000,zerodha_base,1
1800,top_25pct_abs_signal,50000,zerodha_base,2
1800,top_25pct_abs_signal,50000,zerodha_base,4
1800,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
1800,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
1800,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
1800,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
1800,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
1800,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
1800,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
1800,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
1800,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
1800,top_25pct_abs_signal,100000,zerodha_base,1
1800,top_25pct_abs_signal,100000,zerodha_base,2
1800,top_25pct_abs_signal,100000,zerodha_base,4
1800,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
1800,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
1800,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
1800,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
1800,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
1800,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
1800,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
1800,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
1800,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
1800,top_50pct_abs_signal,25000,zerodha_base,1
1800,top_50pct_abs_signal,25000,zerodha_base,2
1800,top_50pct_abs_signal,25000,zerodha_base,4
1800,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
1800,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
1800,top_50pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
1800,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
1800,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
1800,top_50pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
1800,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
1800,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
1800,top_50pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
1800,top_50pct_abs_signal,50000,zerodha_base,1
1800,top_50pct_abs_signal,50000,zerodha_base,2
1800,top_50pct_abs_signal,50000,zerodha_base,4
1800,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
1800,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
1800,top_50pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
1800,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
1800,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
1800,top_50pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
1800,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
1800,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
1800,top_50pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
1800,top_50pct_abs_signal,100000,zerodha_base,1
1800,top_50pct_abs_signal,100000,zerodha_base,2
1800,top_50pct_abs_signal,100000,zerodha_base,4
1800,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
1800,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
1800,top_50pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
1800,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
1800,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
1800,top_50pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
1800,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
1800,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
1800,top_50pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
1800,all_nonzero_signal,25000,zerodha_base,1
1800,all_nonzero_signal,25000,zerodha_base,2
1800,all_nonzero_signal,25000,zerodha_base,4
1800,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,1
1800,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,2
1800,all_nonzero_signal,25000,zerodha_plus_1bp_slippage,4
1800,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,1
1800,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,2
1800,all_nonzero_signal,25000,zerodha_plus_2bp_slippage,4
1800,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,1
1800,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,2
1800,all_nonzero_signal,25000,zerodha_2x_all_in_cost_proxy,4
1800,all_nonzero_signal,50000,zerodha_base,1
1800,all_nonzero_signal,50000,zerodha_base,2
1800,all_nonzero_signal,50000,zerodha_base,4
1800,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,1
1800,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,2
1800,all_nonzero_signal,50000,zerodha_plus_1bp_slippage,4
1800,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,1
1800,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,2
1800,all_nonzero_signal,50000,zerodha_plus_2bp_slippage,4
1800,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,1
1800,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,2
1800,all_nonzero_signal,50000,zerodha_2x_all_in_cost_proxy,4
