strategy_family_id,latency_profile_id,split_role,control_name,dry_decision_events,gross_return_bps_proxy_mean,cost_bound_bps_mean,net_return_bps_after_cost_proxy_mean,net_positive_event_fraction,promotion_allowed,test_rows_used
P179_LIQUIDITY_CHURN_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,validation,actual_time_order,118056,1.403256461693815,15.162605693064625,-13.759349231370813,0.004184454834993563,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,validation,shuffled_time_negative_control,118056,0.5985059548275875,15.162605693064625,-14.564099738237038,0.0035745747780714238,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,validation,shuffled_symbol_negative_control,118056,-0.4316853972497045,15.162605693064625,-15.594291090314329,0.0013044656773056854,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_STRESSED_RETAIL,train,actual_time_order,220402,1.6954370823675282,18.06422917856989,-16.36879209620236,0.0022504332991533653,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_STRESSED_RETAIL,train,shuffled_time_negative_control,220402,-0.5128720498068327,18.06422917856989,-18.57710122837672,0.0025952577562817036,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_STRESSED_RETAIL,train,shuffled_symbol_negative_control,220402,0.1414327806084655,18.06422917856989,-17.922796397961424,0.0011796626164916834,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_STRESSED_RETAIL,validation,actual_time_order,118056,1.403256461693815,18.69462242756831,-17.29136596587449,0.0031341058480721016,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_STRESSED_RETAIL,validation,shuffled_time_negative_control,118056,0.5985059548275875,18.69462242756831,-18.096116472740725,0.002651284136342075,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_STRESSED_RETAIL,validation,shuffled_symbol_negative_control,118056,-0.4316853972497045,18.69462242756831,-19.126307824818014,0.0009910550924984753,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,train,actual_time_order,215965,5.246689204942612,14.8102058637142,-9.563516658771588,0.0035422406408445813,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,train,shuffled_time_negative_control,215965,0.08674632488453263,14.8102058637142,-14.723459538829667,0.003611696339684671,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,train,shuffled_symbol_negative_control,215965,0.10035830804791473,14.8102058637142,-14.709847555666288,0.0015789595536313756,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,validation,actual_time_order,106368,2.1187387026588085,14.851614363311938,-12.73287566065313,0.004804076413959086,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,validation,shuffled_time_negative_control,106368,0.38982284945348034,14.851614363311938,-14.46179151385846,0.004004963898916967,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,validation,shuffled_symbol_negative_control,106368,-0.29491232107927173,14.851614363311938,-15.146526684391208,0.0012691787003610109,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_STRESSED_RETAIL,train,actual_time_order,215965,5.246689204942612,18.096386496152736,-12.849697291210123,0.0026346861760007407,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_STRESSED_RETAIL,train,shuffled_time_negative_control,215965,0.08674632488453263,18.096386496152736,-18.009640171268202,0.002671729215382122,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_STRESSED_RETAIL,train,shuffled_symbol_negative_control,215965,0.10035830804791473,18.096386496152736,-17.996028188104823,0.0012548329590442895,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_STRESSED_RETAIL,validation,actual_time_order,106368,2.1187387026588085,18.13488786129558,-16.01614915863677,0.003628910950661853,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_STRESSED_RETAIL,validation,shuffled_time_negative_control,106368,0.38982284945348034,18.13488786129558,-17.7450650118421,0.0030648315282791818,0,0
P179_RECEIVE_CADENCE_SHOCK_CONTEXT,P180_STRESSED_RETAIL,validation,shuffled_symbol_negative_control,106368,-0.29491232107927173,18.13488786129558,-18.42980018237485,0.0009683363417569194,0,0
