phase215_interpretation_id,split_role,horizon_sec,label_name,total_rows,event_surprise_rows,event_surprise_share,positive_rate,sparse_event_surprise_partitions,event_density_pass,positive_rate_interpretation_pass,train_validation_scope_pass,interpretation_pass,verdict,model_fit_allowed_next,strategy_replay_allowed,test_replay_allowed_next,profitability_claim_allowed
P215_validation_H1s_event_surprise_up_conditional_label,validation,1,event_surprise_up_conditional_label,363786,31457,0.08647116711473228,0.0151348275582105,0,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H1s_event_surprise_down_conditional_label,validation,1,event_surprise_down_conditional_label,363786,31457,0.08647116711473228,0.0160366854458364,0,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H1s_event_surprise_vol_expansion_conditional_label,validation,1,event_surprise_vol_expansion_conditional_label,363786,31457,0.08647116711473228,0.0313368913253903,0,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H5s_event_surprise_up_conditional_label,validation,5,event_surprise_up_conditional_label,137477,17072,0.12418077205641671,0.0409328953066161,0,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H5s_event_surprise_down_conditional_label,validation,5,event_surprise_down_conditional_label,137477,17072,0.12418077205641671,0.0419709053197521,0,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H5s_event_surprise_vol_expansion_conditional_label,validation,5,event_surprise_vol_expansion_conditional_label,137477,17072,0.12418077205641671,0.0767711720731735,0,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H15s_event_surprise_up_conditional_label,validation,15,event_surprise_up_conditional_label,48064,845,0.01758072569906791,0.0076148468708388,4,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_validation_H15s_event_surprise_down_conditional_label,validation,15,event_surprise_down_conditional_label,48064,845,0.01758072569906791,0.0074692077230359,4,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_validation_H15s_event_surprise_vol_expansion_conditional_label,validation,15,event_surprise_vol_expansion_conditional_label,48064,845,0.01758072569906791,0.0121920772303595,4,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_validation_H60s_event_surprise_up_conditional_label,validation,60,event_surprise_up_conditional_label,12059,94,0.007795007877933494,0.0034022888565946,9,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_validation_H60s_event_surprise_down_conditional_label,validation,60,event_surprise_down_conditional_label,12059,94,0.007795007877933494,0.0041458850668773,9,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_validation_H60s_event_surprise_vol_expansion_conditional_label,validation,60,event_surprise_vol_expansion_conditional_label,12059,94,0.007795007877933494,0.0058052531886675,9,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
