phase290_variant_id,adaptive_family_id,adaptive_family,selection_rule,primary_pressure_column,secondary_pressure_column,interaction_column,primary_threshold_quantile,secondary_threshold_quantile,interaction_threshold_quantile,spread_state,market_bucket,side_mode,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator,strategy_replay_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,PRESSURE_SIGN_REV,3,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,PRESSURE_SIGN_REV,5,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,PRESSURE_SIGN_REV,8,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,PRESSURE_SIGN_REV,10,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,PRESSURE_SIGN_REV,13,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_ORIG_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,ORIG,3,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,ORIG,5,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,ORIG,8,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_ORIG_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,ORIG,10,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_ORIG_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,ORIG,13,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_INV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,INV,3,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_INV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,INV,5,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_INV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,INV,8,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_INV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,INV,10,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_INV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,INV,13,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,3,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,5,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,8,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,10,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,13,42,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_ORIG_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,ORIG,3,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,ORIG,5,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,ORIG,8,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_ORIG_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,ORIG,10,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_ORIG_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,ORIG,13,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_INV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,INV,3,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_INV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,INV,5,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_INV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,INV,8,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_INV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,INV,10,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_INV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,INV,13,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_PRESSURE_SIGN_REV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,PRESSURE_SIGN_REV,3,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_PRESSURE_SIGN_REV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,PRESSURE_SIGN_REV,5,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_PRESSURE_SIGN_REV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,PRESSURE_SIGN_REV,8,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_PRESSURE_SIGN_REV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,PRESSURE_SIGN_REV,10,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_NONOPEN_PRESSURE_SIGN_REV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,NONOPEN,PRESSURE_SIGN_REV,13,338,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_ORIG_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,ORIG,3,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,ORIG,5,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,ORIG,8,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_ORIG_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,ORIG,10,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_ORIG_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,ORIG,13,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_INV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,INV,3,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_INV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,INV,5,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_INV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,INV,8,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_INV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,INV,10,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_INV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,INV,13,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_PRESSURE_SIGN_REV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,PRESSURE_SIGN_REV,3,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_PRESSURE_SIGN_REV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,PRESSURE_SIGN_REV,5,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_NOTWIDE_ALL_PRESSURE_SIGN_REV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,NOTWIDE,ALL,PRESSURE_SIGN_REV,8,162,2,8,1,1,0,0,fixed_initial_capital,0,0,0
