canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,no_lookahead_rule_applied,resolved_real_root
P373_2026-07-13_TCS_106694050,existing_phase341,TCS,10-Jul-2026 18:53:25,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_TCS_106695270,existing_phase341,TCS,13-Jul-2026 11:30:11,regular_session,2026-07-13,first_real_tick_after_announcement,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_WIPRO_106693588,existing_phase341,WIPRO,10-Jul-2026 15:46:57,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_BHARTIARTL_106696754,existing_phase341,BHARTIARTL,14-Jul-2026 11:58:18,regular_session,2026-07-14,first_real_tick_after_announcement,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_CIPLA_106695963,existing_phase341,CIPLA,13-Jul-2026 18:29:03,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695829,existing_phase341,HCLTECH,13-Jul-2026 17:41:00,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695847,existing_phase341,HCLTECH,13-Jul-2026 17:46:28,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695856,existing_phase341,HCLTECH,13-Jul-2026 17:49:49,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695864,existing_phase341,HCLTECH,13-Jul-2026 17:53:19,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Dividend,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695871,existing_phase341,HCLTECH,13-Jul-2026 17:55:38,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Record Date,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695928,existing_phase341,HCLTECH,13-Jul-2026 18:20:56,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695980,existing_phase341,HCLTECH,13-Jul-2026 18:34:52,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Change in Director(s),1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106695992,existing_phase341,HCLTECH,13-Jul-2026 18:39:10,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106696002,existing_phase341,HCLTECH,13-Jul-2026 18:42:59,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106696014,existing_phase341,HCLTECH,13-Jul-2026 18:47:42,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106696210,existing_phase341,HCLTECH,13-Jul-2026 21:38:18,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_HCLTECH_106696346,existing_phase341,HCLTECH,13-Jul-2026 23:11:05,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_ICICIBANK_106696630,existing_phase341,ICICIBANK,14-Jul-2026 11:04:53,regular_session,2026-07-14,first_real_tick_after_announcement,ESOP/ESOS/ESPS,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_KOTAKBANK_106696676,existing_phase341,KOTAKBANK,14-Jul-2026 11:22:48,regular_session,2026-07-14,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_KOTAKBANK_106696863,existing_phase341,KOTAKBANK,14-Jul-2026 13:02:56,regular_session,2026-07-14,first_real_tick_after_announcement,ESOP/ESOS/ESPS,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_M&M_106696043,existing_phase341,M&M,13-Jul-2026 19:00:26,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_M&M_106696059,existing_phase341,M&M,13-Jul-2026 19:11:01,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_M&M_106696068,existing_phase341,M&M,13-Jul-2026 19:20:00,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_M&M_106696128,existing_phase341,M&M,13-Jul-2026 19:48:10,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_SBIN_106695773,existing_phase341,SBIN,13-Jul-2026 17:06:47,post_close,2026-07-14,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_TCS_106696698,existing_phase341,TCS,14-Jul-2026 11:30:30,regular_session,2026-07-14,first_real_tick_after_announcement,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-14_TCS_106696979,existing_phase341,TCS,14-Jul-2026 14:24:37,regular_session,2026-07-14,first_real_tick_after_announcement,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_AXISBANK_106697208,existing_phase341,AXISBANK,14-Jul-2026 16:39:47,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_AXISBANK_106697779,existing_phase341,AXISBANK,14-Jul-2026 21:54:56,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,ESOP/ESOS/ESPS,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_AXISBANK_106697899,existing_phase341,AXISBANK,14-Jul-2026 23:12:30,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_AXISBANK_106697950,existing_phase341,AXISBANK,14-Jul-2026 23:43:06,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_BAJAJ-AUTO_106697273,existing_phase341,BAJAJ-AUTO,14-Jul-2026 17:06:39,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_BHARTIARTL_106697323,existing_phase341,BHARTIARTL,14-Jul-2026 17:26:34,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,real_data_sample\l2_multiday_panel
P373_2026-07-15_HCLTECH_106697280,existing_phase341,HCLTECH,14-Jul-2026 17:09:10,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_HINDUNILVR_106697752,existing_phase341,HINDUNILVR,14-Jul-2026 21:10:36,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_ICICIBANK_106697294,existing_phase341,ICICIBANK,14-Jul-2026 17:16:57,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_ICICIBANK_106697317,existing_phase341,ICICIBANK,14-Jul-2026 17:24:51,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_INFY_106697740,existing_phase341,INFY,14-Jul-2026 20:54:14,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_MARUTI_106697620,existing_phase341,MARUTI,14-Jul-2026 19:32:54,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_MARUTI_106698349,existing_phase341,MARUTI,15-Jul-2026 12:29:23,regular_session,2026-07-15,first_real_tick_after_announcement,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_SBIN_106697426,existing_phase341,SBIN,14-Jul-2026 18:02:49,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Credit Rating,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_SUNPHARMA_106697486,existing_phase341,SUNPHARMA,14-Jul-2026 18:29:25,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_SUNPHARMA_106697990,existing_phase341,SUNPHARMA,15-Jul-2026 08:40:33,pre_open_or_overnight,2026-07-15,market_open_same_day,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_TCS_106698208,existing_phase341,TCS,15-Jul-2026 11:30:12,regular_session,2026-07-15,first_real_tick_after_announcement,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_ULTRACEMCO_106697207,existing_phase341,ULTRACEMCO,14-Jul-2026 16:39:20,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,real_data_sample\l2_multiday_panel
P373_2026-07-15_ULTRACEMCO_106698570,existing_phase341,ULTRACEMCO,15-Jul-2026 15:12:15,regular_session,2026-07-15,first_real_tick_after_announcement,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-15_WIPRO_106697074,existing_phase341,WIPRO,14-Jul-2026 15:36:00,post_close,2026-07-15,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_BAJAJ-AUTO_106699726,existing_phase341,BAJAJ-AUTO,16-Jul-2026 10:33:45,regular_session,2026-07-16,first_real_tick_after_announcement,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_BAJAJ-AUTO_106699933,existing_phase341,BAJAJ-AUTO,16-Jul-2026 12:57:44,regular_session,2026-07-16,first_real_tick_after_announcement,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_DRREDDY_106698720,existing_phase341,DRREDDY,15-Jul-2026 16:25:09,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_HCLTECH_106699373,existing_phase341,HCLTECH,15-Jul-2026 22:34:19,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_HDFCBANK_106698807,existing_phase341,HDFCBANK,15-Jul-2026 17:00:18,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Appointment,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_HDFCBANK_106699773,existing_phase341,HDFCBANK,16-Jul-2026 11:06:07,regular_session,2026-07-16,first_real_tick_after_announcement,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,real_data_sample\l2_multiday_panel
P373_2026-07-16_HINDUNILVR_106699154,existing_phase341,HINDUNILVR,15-Jul-2026 19:03:06,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,real_data_sample\l2_multiday_panel
P373_2026-07-16_ICICIBANK_106700095,existing_phase341,ICICIBANK,16-Jul-2026 15:08:02,regular_session,2026-07-16,first_real_tick_after_announcement,ESOP/ESOS/ESPS,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_NESTLEIND_106698830,existing_phase341,NESTLEIND,15-Jul-2026 17:09:23,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_SBIN_106699268,existing_phase341,SBIN,15-Jul-2026 20:24:55,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Appointment,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_TCS_106699212,existing_phase341,TCS,15-Jul-2026 19:37:13,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_TCS_106699790,existing_phase341,TCS,16-Jul-2026 11:30:08,regular_session,2026-07-16,first_real_tick_after_announcement,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_ULTRACEMCO_106699163,existing_phase341,ULTRACEMCO,15-Jul-2026 19:07:06,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Rumour Verification - Regulation 30(11),1,real_data_sample\l2_multiday_panel
P373_2026-07-16_WIPRO_106699128,existing_phase341,WIPRO,15-Jul-2026 18:53:51,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-16_WIPRO_106699287,existing_phase341,WIPRO,15-Jul-2026 20:36:36,post_close,2026-07-16,market_open_next_available_unseen_real_l2_day,Shareholders meeting,1,real_data_sample\l2_multiday_panel
P373_2026-07-17_ADANIPORTS_106700313,unseen_phase359,ADANIPORTS,16-Jul-2026 17:19:19,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Credit Rating,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_BPCL_106701384,unseen_phase359,BPCL,17-Jul-2026 14:13:29,regular_session,2026-07-17,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_BRITANNIA_106700936,unseen_phase359,BRITANNIA,16-Jul-2026 23:55:26,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Shareholders meeting,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_BRITANNIA_106700938,unseen_phase359,BRITANNIA,17-Jul-2026 00:04:13,pre_open_or_overnight,2026-07-17,market_open_same_day,Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_BRITANNIA_106700956,unseen_phase359,BRITANNIA,17-Jul-2026 02:41:00,pre_open_or_overnight,2026-07-17,market_open_same_day,General Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_HCLTECH_106700150,unseen_phase359,HCLTECH,16-Jul-2026 15:48:23,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Press Release,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_HCLTECH_106700164,unseen_phase359,HCLTECH,16-Jul-2026 15:55:58,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Acquisition,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_ONGC_106700128,unseen_phase359,ONGC,16-Jul-2026 15:32:22,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Credit Rating- Revision,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_SBIN_106700879,unseen_phase359,SBIN,16-Jul-2026 22:52:22,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_SBIN_106701118,unseen_phase359,SBIN,17-Jul-2026 10:23:45,regular_session,2026-07-17,first_real_tick_after_announcement,General Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106700185,unseen_phase359,TECHM,16-Jul-2026 16:05:12,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106700192,unseen_phase359,TECHM,16-Jul-2026 16:07:34,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106700196,unseen_phase359,TECHM,16-Jul-2026 16:09:29,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Press Release,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106700200,unseen_phase359,TECHM,16-Jul-2026 16:11:14,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Investor Presentation,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106700609,unseen_phase359,TECHM,16-Jul-2026 19:45:23,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Acquisition,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106700674,unseen_phase359,TECHM,16-Jul-2026 20:37:17,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_TECHM_106701371,unseen_phase359,TECHM,17-Jul-2026 13:57:27,regular_session,2026-07-17,first_real_tick_after_announcement,Copy of Newspaper Publication,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700151,unseen_phase359,WIPRO,16-Jul-2026 15:49:54,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700155,unseen_phase359,WIPRO,16-Jul-2026 15:52:41,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Dividend,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700161,unseen_phase359,WIPRO,16-Jul-2026 15:55:25,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Press Release,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700170,unseen_phase359,WIPRO,16-Jul-2026 15:58:02,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Record Date,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700314,unseen_phase359,WIPRO,16-Jul-2026 17:19:37,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Shareholders meeting,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700663,unseen_phase359,WIPRO,16-Jul-2026 20:27:05,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-17_WIPRO_106700695,unseen_phase359,WIPRO,16-Jul-2026 20:59:03,post_close,2026-07-17,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_unseen_validation
P373_2026-07-20_AXISBANK_106703402,unseen_phase359,AXISBANK,20-Jul-2026 15:19:45,regular_session,2026-07-20,first_real_tick_after_announcement,Copy of Newspaper Publication,1,real_data_sample\l2_unseen_validation
P373_2026-07-20_BAJAJ-AUTO_106701591,unseen_phase359,BAJAJ-AUTO,17-Jul-2026 16:27:40,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,real_data_sample\l2_unseen_validation
P373_2026-07-20_BHARTIARTL_106701559,unseen_phase359,BHARTIARTL,17-Jul-2026 16:13:26,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,1,real_data_sample\l2_unseen_validation
P373_2026-07-20_BHARTIARTL_106702038,unseen_phase359,BHARTIARTL,17-Jul-2026 19:31:45,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,1,real_data_sample\l2_unseen_validation
P373_2026-07-20_BRITANNIA_106701684,unseen_phase359,BRITANNIA,17-Jul-2026 16:58:52,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,real_data_sample\l2_unseen_validation
P373_2026-07-20_HCLTECH_106701955,unseen_phase359,HCLTECH,17-Jul-2026 18:51:06,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_unseen_validation
