strategy_id,strategy_name,required_scenario,promotion_allowed_now,current_evidence_label
S07,Short-term mean reversion after imbalance,sideways,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,high_volatility_sideways,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,post_shock_recovery,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,sustained_trend_suppression,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,panic_suppression,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,rally_suppression,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,true_causal_lead_lag,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,simultaneous_common_shock,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,timestamp_skew,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,spurious_correlation,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,changing_leader,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,no_lead_lag,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,normal,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,liquid_open,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,quiet_midday,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,spread_widening,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,shock,False,engineering_and_within_day_falsification_only
S10,Passive market making,optimistic_fill,False,engineering_and_within_day_falsification_only
S10,Passive market making,neutral_fill,False,engineering_and_within_day_falsification_only
S10,Passive market making,pessimistic_fill,False,engineering_and_within_day_falsification_only
S10,Passive market making,spread_capture,False,engineering_and_within_day_falsification_only
S10,Passive market making,adverse_selection,False,engineering_and_within_day_falsification_only
S10,Passive market making,inventory_stress,False,engineering_and_within_day_falsification_only
S10,Passive market making,shock_liquidation,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,wall_appearance,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,wall_movement,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,cancel_before_touch,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,genuine_large_passive_liquidity,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,temporary_imbalance_distortion,False,engineering_and_within_day_falsification_only
