symbol,instrument_class,rows,reference_ltp_median,ltp_q05,ltp_q95,inferred_tick_size_median,spread_median,spread_q95,spread_ticks_median,spread_ticks_q95,mid_change_std,microprice_change_std,nonzero_price_change_fraction,evidence_label
KOTAKBANK,equity,14091,379.8,376.8,384.65,0.049999999999954525,0.0999999999999659,0.1500000000000341,2.000000000001137,3.0000000000034106,3.2438452230906414,0.03882926421067431,0.4893903910297353,measured_one_day
LT,equity,19466,3925.4,3894.8,3933.2,0.09999999999990905,0.5,1.400000000000091,5.0000000000045475,14.000000000013642,28.159481082634137,0.3678848696424198,0.4731840131511353,measured_one_day
M&M,equity,25699,3147.1,3098.7,3164.0,0.09999999999990905,0.3999999999996362,1.1000000000003638,4.0,11.000000000013642,19.679644977225298,0.2886341373498204,0.4043347990194171,measured_one_day
MARUTI,equity,27645,13696.0,13622.0,13808.0,1.0,4.0,6.0,4.0,6.0,82.3976792238895,1.5258587924788998,0.33818050280340023,measured_one_day
NESTLEIND,equity,12918,1433.4,1423.6,1440.7,0.09999999999990905,0.3999999999998636,0.7000000000000455,4.000000000002274,7.000000000006821,12.583517007502344,0.22618845667452633,0.32319244465087477,measured_one_day
NIFTYBEES,etf,22414,274.75,273.6,275.36,0.009999999999990905,0.040000000000020464,0.10000000000002274,4.000000000005684,10.000000000011369,2.590614861049439,0.014895334569075484,0.2559114838939948,measured_one_day
ONGC,equity,17305,247.4,246.8,248.7,0.009999999999990905,0.04999999999998295,0.09999999999999432,5.000000000002842,10.000000000008527,1.8852866227739515,0.02694182123924936,0.4279110083790812,measured_one_day
RELIANCE,equity,26056,1298.8,1296.6,1303.8,0.09999999999990905,0.20000000000004547,0.40000000000009095,2.0000000000022737,4.0000000000045475,8.035172509815938,0.08145066391841577,0.48249923242247467,measured_one_day
SBIN,equity,24728,1037.7,1033.2,1040.7,0.09999999999990905,0.20000000000004547,0.40000000000009095,2.0000000000022737,4.0000000000045475,6.595514222737473,0.09442739807038532,0.47933516661274667,measured_one_day
SUNPHARMA,equity,14610,1925.7,1913.5,1930.6,0.09999999999990905,0.3999999999998636,0.7999999999999545,4.000000000002274,8.000000000006821,15.893367822594195,0.17874189802252982,0.4482546201232033,measured_one_day
TCS,equity,36467,2181.1,2102.2,2197.3,0.09999999999990905,0.40000000000009095,0.8000000000001819,4.0000000000045475,8.000000000009095,11.427123433980595,0.23641531123943887,0.6154605533770258,measured_one_day
TECHM,equity,19124,1503.6,1457.3,1521.8,0.09999999999990905,0.5,0.7999999999999545,5.0000000000045475,8.000000000006821,10.860976321181292,0.23083315617472683,0.45999790838736665,measured_one_day
ULTRACEMCO,equity,8386,11600.0,11574.0,11623.0,1.0,3.0,6.0,3.0,6.0,126.07303526411208,1.2882694687668377,0.4298831385642738,measured_one_day
WIPRO,equity,20334,178.42,175.56,179.73,0.009999999999990905,0.03999999999999204,0.06999999999999318,4.000000000002842,7.000000000005684,1.250978947016399,0.019744886772471534,0.5462279925248352,measured_one_day
