symbol,instrument_class,book_valid_fraction,bid_l5_qty_median,ask_l5_qty_median,bid_l5_qty_q95,ask_l5_qty_q95,l1_imbalance_median,l1_imbalance_q05,l1_imbalance_q95,l5_imbalance_median,l5_imbalance_q05,l5_imbalance_q95,book_slope_l5_median,book_convexity_l5_median,mlofi_qty_q05,mlofi_qty_median,mlofi_qty_q95,evidence_label
NESTLEIND,equity,0.9999225886360118,1771.0,929.0,4117.5999999999985,10493.3,-0.24324324324324326,-0.9740925740925741,0.9152215799614644,0.2603362108132667,-0.7701241543574691,0.7578463436405748,0.4500000000000455,0.6978243352135375,-754.15,0.0,819.1499999999996,measured_one_day
NIFTYBEES,etf,0.9999107700544303,27694.0,9035.0,128265.0,50128.0,-0.25675420366521823,-0.998052069380631,0.9705065024038125,0.39494699193720095,-0.759604190919674,0.9179917041133772,0.05500000000000682,0.5904123638904759,-22315.85,0.0,22663.849999999955,measured_one_day
ONGC,equity,0.9999422132331696,3182.0,2936.0,14831.0,14308.0,0.12577917357939886,-0.957233457206234,0.9852830755368674,0.014989338024079587,-0.7077100115074798,0.7374650312029266,0.05499999999999261,0.948131435419571,-2253.5999999999995,0.0,2186.7999999999993,measured_one_day
RELIANCE,equity,0.9999616211237335,7362.0,3691.5,21063.75,13894.0,0.27017543859649124,-0.9613858386974631,0.9854588687402426,0.3013269205994761,-0.45987780040733195,0.8165857836140451,0.40000000000009095,0.4104285714285714,-2792.0,0.0,2725.0,measured_one_day
SBIN,equity,0.9999595600129408,6213.0,5822.0,14971.949999999993,15406.0,0.0036101083032490976,-0.9858156028368794,0.9795769511305616,0.030511657017681115,-0.6301756484250853,0.6468676122931442,0.40000000000009095,0.37341363734136374,-3392.2999999999997,0.0,3293.649999999998,measured_one_day
SUNPHARMA,equity,0.9999315537303217,346.0,531.0,1578.5499999999993,2427.0,-0.24528301886792453,-0.9534883720930233,0.8823529411764706,-0.19983029274501485,-0.7566845205746325,0.551031188424258,0.5,0.6745762711864407,-364.54999999999995,0.0,350.0,measured_one_day
TCS,equity,0.9999725779471851,993.0,998.0,5987.699999999968,6004.399999999994,-0.17142857142857143,-0.9767827529021559,0.9592968425817647,-0.0066431920487644396,-0.8160923854157722,0.7532804311541315,0.5,0.5822429906542056,-1288.0,0.0,1322.0,measured_one_day
TECHM,equity,0.9999477096841665,631.0,743.0,2259.0,2846.0,-0.1048951048951049,-0.9682447798222038,0.936149569238391,-0.0922809053975624,-0.7153199553779969,0.6023477622890683,0.4500000000000455,0.6003976143141153,-541.8499999999999,0.0,556.0,measured_one_day
ULTRACEMCO,equity,0.9998807536370141,174.0,92.0,890.0,594.5,0.45454545454545453,-0.8666666666666667,0.9803921568627451,0.3076923076923077,-0.53,0.871331828442438,4.5,0.5904761904761905,-78.75,0.0,81.0,measured_one_day
WIPRO,equity,0.999950821284548,5855.0,6705.0,22517.699999999997,36421.7,-0.08379888268156424,-0.97997997997998,0.963439404197698,-0.05897365782517546,-0.7798308103294747,0.6280342457415045,0.045000000000001705,0.57462876537972,-5677.049999999999,0.0,5892.749999999993,measured_one_day
