phase219_control_id,phase219_model_fit_id,control_type,validation_rows,validation_mse,validation_binary_accuracy,test_rows_used,strategy_replay_allowed
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,event_time_shuffle,31457,0.15053297894175316,0.8151762723718091,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H1s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H1s,event_only_base_rate,31457,0.23517221334596303,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H1s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H1s,event_time_shuffle,31457,0.23635492855594534,0.621769399497727,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_only_base_rate,31457,0.23517221334596303,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_time_shuffle,31457,0.23638433750033933,0.621769399497727,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_only_base_rate,31457,0.23517221334596303,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_time_shuffle,31457,0.23580874852865688,0.621769399497727,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H5s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H5s,event_only_base_rate,17072,0.22452206595210855,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H5s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H5s,event_time_shuffle,17072,0.22440738912661648,0.6596180880974696,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_only_base_rate,17072,0.22452206595210855,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_time_shuffle,17072,0.22465115078948,0.6596180880974696,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_only_base_rate,17072,0.22452206595210855,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_time_shuffle,17072,0.2242749984692094,0.6596180880974696,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H5s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H5s,event_only_base_rate,17072,0.22185655724385564,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H5s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H5s,event_time_shuffle,17072,0.2219412775118351,0.6677600749765699,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_only_base_rate,17072,0.22185655724385564,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_time_shuffle,17072,0.22215967384774338,0.6677600749765699,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_only_base_rate,17072,0.22185655724385564,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_time_shuffle,17072,0.22182570504456015,0.6677600749765699,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H5s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H5s,event_only_base_rate,17072,0.23505568221893225,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H5s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H5s,event_time_shuffle,17072,0.23562154407722194,0.6222469540768509,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_only_base_rate,17072,0.23505568221893225,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_time_shuffle,17072,0.23512008922488872,0.6222469540768509,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_only_base_rate,17072,0.23505568221893225,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_time_shuffle,17072,0.2359155465601256,0.6222469540768509,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H15s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H15s,event_only_base_rate,845,0.2125611848324639,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H15s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_vol_expansion_conditional_label_H15s,event_time_shuffle,845,0.21161730225445333,0.693491124260355,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,event_only_base_rate,845,0.2125611848324639,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,event_time_shuffle,845,0.21166071243637782,0.693491124260355,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,event_only_base_rate,845,0.2125611848324639,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H15s,event_time_shuffle,845,0.21321018527228572,0.693491124260355,0,0
