shard_index,trade_date,symbol,strategy_id,candidate_orders,inferred_touch_orders,gross_return_on_touches,mean_gross_return_on_touch,mean_spread_bps,mean_abs_l1_imbalance,touch_win_rate,queue_profile,fill_weight,adverse_selection_bps,zerodha_roundtrip_bps,expected_fills,expected_gross_pnl_inr,expected_cost_pnl_drag_inr,expected_net_pnl_inr,queue_profile_description,positive_after_costs
16,2026-01-01,ITBEES,P65_FADE_IMBALANCE,245932,6100,-9.458076920293893,-0.0015505044131629332,3.088492394038261,0.740931923020523,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,610.0,-94580.76920293894,80935.53199999999,-175516.30120293895,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
16,2026-01-01,ITBEES,P65_JOIN_IMBALANCE,245932,4716,-8.660737819178046,-0.0018364584010131563,3.0884923940380946,0.740931923020583,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,471.6,-86607.37819178046,62572.45391999999,-149179.83211178044,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
4,2026-01-01,BANKBEES,P65_JOIN_IMBALANCE,243948,4516,-7.277426032885261,-0.0016114760923129452,3.458606426097618,0.3282948672550108,0.0,base_mid_queue,0.3,2.0,8.26812,1354.8,-218322.7809865578,139112.48976,-357435.2707465578,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
4,2026-01-01,BANKBEES,P65_FADE_IMBALANCE,243948,7000,-8.239620767398588,-0.001177088681056941,3.4586064260976817,0.3282948672550075,0.0,base_mid_queue,0.3,2.0,8.26812,2100.0,-247188.6230219576,215630.52,-462819.1430219576,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
8,2026-01-01,CIPLA,P65_JOIN_IMBALANCE,247916,5116,-12.14569728230182,-0.002374061235790035,2.7495395591199228,0.5689112394236892,0.0,base_mid_queue,0.3,2.0,8.26812,1534.8,-364370.91846905457,157595.10576,-521966.0242290546,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
8,2026-01-01,CIPLA,P65_FADE_IMBALANCE,247916,7200,-14.200135015110746,-0.001972240974320937,2.7495395591201204,0.5689112394236634,0.0,base_mid_queue,0.3,2.0,8.26812,2160.0,-426004.05045332236,221791.392,-647795.4424533224,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
11,2026-01-01,HCLTECH,P65_JOIN_IMBALANCE,55468,1500,-4.274424616754457,-0.002849616411169638,2.4106353661008306,0.30314541901432385,0.0,base_mid_queue,0.3,2.0,8.26812,450.0,-128232.73850263371,46206.54,-174439.2785026337,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
11,2026-01-01,HCLTECH,P65_FADE_IMBALANCE,55468,1216,-3.252447685007184,-0.0026747102672756446,2.410635366100881,0.30314541901432407,0.0,base_mid_queue,0.3,2.0,8.26812,364.8,-97573.43055021552,37458.10176,-135031.53231021552,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
12,2026-01-01,HDFCBANK,P65_JOIN_IMBALANCE,236012,7000,-15.779052116167348,-0.0022541503023096213,1.1974263956253648,0.5711840326370689,0.02857142857142857,base_mid_queue,0.3,2.0,8.26812,2100.0,-473371.5634850204,215630.52,-689002.0834850204,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
12,2026-01-01,HDFCBANK,P65_FADE_IMBALANCE,236012,4816,-12.928132378549964,-0.0026844128693002418,1.1974263956253444,0.571184032637135,0.0,base_mid_queue,0.3,2.0,8.26812,1444.8,-387843.97135649895,148353.79776,-536197.769116499,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
14,2026-01-01,ICICIBANK,P65_JOIN_IMBALANCE,249900,7400,-14.666844141415169,-0.001982005965056104,1.393620327183918,0.36767804117718994,0.0,base_mid_queue,0.3,2.0,8.26812,2220.0,-440005.32424245507,227952.264,-667957.588242455,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
14,2026-01-01,ICICIBANK,P65_FADE_IMBALANCE,249900,5116,-12.262792052228127,-0.0023969491892549114,1.3936203271839454,0.3676780411771539,0.0,base_mid_queue,0.3,2.0,8.26812,1534.8,-367883.7615668438,157595.10576,-525478.8673268438,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
16,2026-01-01,ITBEES,P65_FADE_IMBALANCE,245932,6100,-9.458076920293893,-0.0015505044131629332,3.088492394038261,0.740931923020523,0.0,base_mid_queue,0.3,2.0,8.26812,1830.0,-283742.3076088168,187906.596,-471648.9036088168,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
16,2026-01-01,ITBEES,P65_JOIN_IMBALANCE,245932,4716,-8.660737819178046,-0.0018364584010131563,3.0884923940380946,0.740931923020583,0.0,base_mid_queue,0.3,2.0,8.26812,1414.8,-259822.13457534133,145273.36176,-405095.49633534136,Assume 30% of inferred touches fill and filled orders suffer 2 bps adverse selection.,False
4,2026-01-01,BANKBEES,P65_JOIN_IMBALANCE,243948,4516,-7.277426032885261,-0.0016114760923129452,3.458606426097618,0.3282948672550108,0.0,optimistic_front_queue,0.6,0.0,8.26812,2709.6,-436645.5619731156,224032.97952,-660678.5414931156,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
4,2026-01-01,BANKBEES,P65_FADE_IMBALANCE,243948,7000,-8.239620767398588,-0.001177088681056941,3.4586064260976817,0.3282948672550075,0.0,optimistic_front_queue,0.6,0.0,8.26812,4200.0,-494377.2460439152,347261.04,-841638.2860439152,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
8,2026-01-01,CIPLA,P65_JOIN_IMBALANCE,247916,5116,-12.14569728230182,-0.002374061235790035,2.7495395591199228,0.5689112394236892,0.0,optimistic_front_queue,0.6,0.0,8.26812,3069.6,-728741.8369381091,253798.21152,-982540.0484581091,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
8,2026-01-01,CIPLA,P65_FADE_IMBALANCE,247916,7200,-14.200135015110746,-0.001972240974320937,2.7495395591201204,0.5689112394236634,0.0,optimistic_front_queue,0.6,0.0,8.26812,4320.0,-852008.1009066447,357182.784,-1209190.8849066447,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
11,2026-01-01,HCLTECH,P65_JOIN_IMBALANCE,55468,1500,-4.274424616754457,-0.002849616411169638,2.4106353661008306,0.30314541901432385,0.0,optimistic_front_queue,0.6,0.0,8.26812,900.0,-256465.47700526743,74413.08,-330878.5570052674,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
11,2026-01-01,HCLTECH,P65_FADE_IMBALANCE,55468,1216,-3.252447685007184,-0.0026747102672756446,2.410635366100881,0.30314541901432407,0.0,optimistic_front_queue,0.6,0.0,8.26812,729.6,-195146.86110043104,60324.20352,-255471.06462043105,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
12,2026-01-01,HDFCBANK,P65_JOIN_IMBALANCE,236012,7000,-15.779052116167348,-0.0022541503023096213,1.1974263956253648,0.5711840326370689,0.02857142857142857,optimistic_front_queue,0.6,0.0,8.26812,4200.0,-946743.1269700408,347261.04,-1294004.1669700409,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
12,2026-01-01,HDFCBANK,P65_FADE_IMBALANCE,236012,4816,-12.928132378549964,-0.0026844128693002418,1.1974263956253444,0.571184032637135,0.0,optimistic_front_queue,0.6,0.0,8.26812,2889.6,-775687.9427129979,238915.59552,-1014603.5382329979,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
14,2026-01-01,ICICIBANK,P65_JOIN_IMBALANCE,249900,7400,-14.666844141415169,-0.001982005965056104,1.393620327183918,0.36767804117718994,0.0,optimistic_front_queue,0.6,0.0,8.26812,4440.0,-880010.6484849101,367104.528,-1247115.17648491,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
14,2026-01-01,ICICIBANK,P65_FADE_IMBALANCE,249900,5116,-12.262792052228127,-0.0023969491892549114,1.3936203271839454,0.3676780411771539,0.0,optimistic_front_queue,0.6,0.0,8.26812,3069.6,-735767.5231336876,253798.21152,-989565.7346536876,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
16,2026-01-01,ITBEES,P65_FADE_IMBALANCE,245932,6100,-9.458076920293893,-0.0015505044131629332,3.088492394038261,0.740931923020523,0.0,optimistic_front_queue,0.6,0.0,8.26812,3660.0,-567484.6152176335,302613.192,-870097.8072176336,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
16,2026-01-01,ITBEES,P65_JOIN_IMBALANCE,245932,4716,-8.660737819178046,-0.0018364584010131563,3.0884923940380946,0.740931923020583,0.0,optimistic_front_queue,0.6,0.0,8.26812,2829.6,-519644.26915068267,233954.72352,-753598.9926706827,Assume 60% of inferred touches fill with no extra adverse-selection haircut.,False
