phase288_variant_id,liquidity_family,pressure_column,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,38,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,30,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,23,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,29,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,23,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,18,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,38,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,30,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,23,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,111,6,0,0,0,0,0.6565108685023322,1.365633703393169,2.626043474009329,83.36645949235964
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,89,6,0,0,0,0,0.6565108685023322,1.365633703393169,2.626043474009329,83.36645949235964
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,67,5,0,0,0,0,0.6565108685023322,1.3211225762657266,2.626043474009329,83.36645949235964
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,45,5,0,0,0,0,0.1790382220748388,1.0142657874562866,2.626043474009329,83.36645949235964
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,109,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,87,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,65,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,44,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,111,8,0,0,4,0,0.15639969866050538,0.7675861321486196,1.360171188504337,43.18003773029641
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,89,8,0,0,4,0,0.15639969866050538,0.7675861321486196,1.360171188504337,43.18003773029641
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,29,4,0,0,0,0,-0.6857858424684748,0.00040812101941444467,1.2609878047719432,40.031358881648984
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,23,4,0,0,0,0,-0.6857858424684748,0.00040812101941444467,1.2609878047719432,40.031358881648984
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,18,4,0,0,0,0,-0.6857858424684748,0.00040812101941444467,1.2609878047719432,40.031358881648984
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,38,4,0,0,0,0,-0.6857858424684748,0.00040812101941444467,1.2609878047719432,40.031358881648984
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,30,4,0,0,0,0,-0.6857858424684748,0.00040812101941444467,1.2609878047719432,40.031358881648984
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,23,4,0,0,0,0,-0.6857858424684748,0.00040812101941444467,1.2609878047719432,40.031358881648984
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,67,5,0,0,0,0,0.22220390774037788,0.48309526137961356,1.2281378114377914,38.988501950406075
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,45,5,0,0,0,0,-0.5330065114639982,0.3757211341701018,1.2281378114377914,38.988501950406075
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,111,10,0,0,4,0,-1.862725474924634,-1.536935463727411,0.9551907644312717,30.32351633115148
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,89,10,0,0,4,0,-1.862725474924634,-1.536935463727411,0.9551907644312717,30.32351633115148
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,67,8,0,0,4,0,-1.862725474924634,-1.7247746347731736,0.9551907644312717,30.32351633115148
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,45,7,0,0,0,0,-1.6806945556966773,-0.18942970440612958,0.9551907644312717,30.32351633115148
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,109,6,0,0,0,0,-2.0125082807472605,0.2775834495267726,0.5953239748825545,18.89917380579538
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,87,5,0,0,0,0,-2.1224991610996082,0.2225880093505988,0.5150098232245358,16.34951819760431
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,65,5,0,0,0,0,-2.1224991610996082,0.2225880093505988,0.5150098232245358,16.34951819760431
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,44,5,0,0,0,0,-2.1224991610996082,0.2225880093505988,0.5150098232245358,16.34951819760431
P288_P288_REPLENISHMENT_ABSORPTION_Q80_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,12,4,0,0,0,0,0.03556450669027803,0.31287647653559963,0.5006023624569594,11.919103868022844
P288_P288_LIQUIDITY_VACUUM_Q50_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,73,4,0,0,0,0,-0.9962137210149684,0.16935727430600578,0.434235567391564,13.785256107668697
P288_P288_LIQUIDITY_VACUUM_Q60_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,58,4,0,0,0,0,-0.9962137210149684,0.16935727430600578,0.434235567391564,13.785256107668697
P288_P288_LIQUIDITY_VACUUM_Q70_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,44,4,0,0,0,0,-0.9962137210149684,0.16935727430600578,0.434235567391564,13.785256107668697
P288_P288_LIQUIDITY_VACUUM_Q80_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,29,4,0,0,0,0,-0.9962137210149684,0.16935727430600578,0.434235567391564,13.785256107668697
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,15,4,0,0,0,0,0.030483862877381168,0.268179837030514,0.42908773924882243,11.919103868022844
P288_P288_OPEN_PRESSURE_BURST_Q50_INV_H10,open_pressure_burst,top5_churn_pressure,INV,10,12,55,4,0,0,0,0,-4.084872592085576,-3.728684722961895,0.35032701440196296,11.121492520697238
P288_P288_OPEN_PRESSURE_BURST_Q60_INV_H10,open_pressure_burst,top5_churn_pressure,INV,10,12,44,4,0,0,0,0,-4.084872592085576,-3.728684722961895,0.35032701440196296,11.121492520697238
P288_P288_OPEN_PRESSURE_BURST_Q70_INV_H10,open_pressure_burst,top5_churn_pressure,INV,10,12,33,4,0,0,0,0,-4.084872592085576,-3.728684722961895,0.35032701440196296,11.121492520697238
P288_P288_OPEN_PRESSURE_BURST_Q80_INV_H10,open_pressure_burst,top5_churn_pressure,INV,10,12,22,4,0,0,0,0,-4.919252149594277,-3.7234309878130705,0.35032701440196296,11.121492520697238
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H3,replenishment_absorption,replenishment_dominance,ORIG,3,12,29,4,0,0,0,0,-1.7053143552690428,-1.1737907966977115,-0.04933749308738022,-1.5662696218215941
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H3,replenishment_absorption,replenishment_dominance,ORIG,3,12,23,4,0,0,0,0,-1.7053143552690428,-1.1737907966977115,-0.04933749308738022,-1.5662696218215941
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H3,replenishment_absorption,replenishment_dominance,ORIG,3,12,18,4,0,0,0,0,-1.7053143552690428,-1.1737907966977115,-0.04933749308738022,-1.5662696218215941
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H3,spread_compression_pressure,replenishment_dominance,ORIG,3,12,38,4,0,0,0,0,-1.7053143552690428,-1.1737907966977115,-0.04933749308738022,-1.5662696218215941
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H3,spread_compression_pressure,replenishment_dominance,ORIG,3,12,30,4,0,0,0,0,-1.7053143552690428,-1.1737907966977115,-0.04933749308738022,-1.5662696218215941
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H3,spread_compression_pressure,replenishment_dominance,ORIG,3,12,23,4,0,0,0,0,-1.7053143552690428,-1.1737907966977115,-0.04933749308738022,-1.5662696218215941
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,15,4,0,0,0,0,-0.5739486388673531,-0.2604697338014382,-0.061173022311752485,-1.6992506197709023
P288_P288_OPEN_PRESSURE_BURST_Q50_INV_H8,open_pressure_burst,top5_churn_pressure,INV,8,12,55,4,0,0,0,0,-4.2113094069819645,-3.89198442495374,-0.06224146731324699,-1.9759195972459365
P288_P288_OPEN_PRESSURE_BURST_Q60_INV_H8,open_pressure_burst,top5_churn_pressure,INV,8,12,44,4,0,0,0,0,-4.2113094069819645,-3.89198442495374,-0.06224146731324699,-1.9759195972459365
P288_P288_OPEN_PRESSURE_BURST_Q70_INV_H8,open_pressure_burst,top5_churn_pressure,INV,8,12,33,4,0,0,0,0,-4.2113094069819645,-3.89198442495374,-0.06224146731324699,-1.9759195972459365
P288_P288_OPEN_PRESSURE_BURST_Q80_INV_H8,open_pressure_burst,top5_churn_pressure,INV,8,12,22,4,0,0,0,0,-4.95676978496135,-3.8872853413823196,-0.06224146731324699,-1.9759195972459365
P288_P288_REPLENISHMENT_ABSORPTION_Q80_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,12,4,0,0,0,0,-0.6696067453452453,-0.3038813561016778,-0.0713685260303779,-1.6992506197709023
P288_P288_LIQUIDITY_VACUUM_Q50_ORIG_H8,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,8,12,73,4,0,0,0,0,-1.4417918777302263,-0.1960971702024144,-0.07688886248092049,-2.4409162692355713
P288_P288_LIQUIDITY_VACUUM_Q60_ORIG_H8,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,8,12,58,4,0,0,0,0,-1.4417918777302263,-0.1960971702024144,-0.07688886248092049,-2.4409162692355713
P288_P288_LIQUIDITY_VACUUM_Q70_ORIG_H8,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,8,12,44,4,0,0,0,0,-1.4417918777302263,-0.1960971702024144,-0.07688886248092049,-2.4409162692355713
P288_P288_LIQUIDITY_VACUUM_Q80_ORIG_H8,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,8,12,29,4,0,0,0,0,-1.4417918777302263,-0.1960971702024144,-0.07688886248092049,-2.4409162692355713
P288_P288_OPEN_PRESSURE_BURST_Q50_INV_H5,open_pressure_burst,top5_churn_pressure,INV,5,12,55,4,0,0,0,0,-4.435649331307265,-4.1817310688977205,-0.3280764622038134,-10.415125784248046
P288_P288_OPEN_PRESSURE_BURST_Q60_INV_H5,open_pressure_burst,top5_churn_pressure,INV,5,12,44,4,0,0,0,0,-4.435649331307265,-4.1817310688977205,-0.3280764622038134,-10.415125784248046
P288_P288_OPEN_PRESSURE_BURST_Q70_INV_H5,open_pressure_burst,top5_churn_pressure,INV,5,12,33,4,0,0,0,0,-4.435649331307265,-4.1817310688977205,-0.3280764622038134,-10.415125784248046
P288_P288_OPEN_PRESSURE_BURST_Q80_INV_H5,open_pressure_burst,top5_churn_pressure,INV,5,12,22,4,0,0,0,0,-5.023338240406944,-4.178016117147429,-0.3280764622038134,-10.415125784248046
P288_P288_LIQUIDITY_VACUUM_Q50_ORIG_H5,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,5,12,73,4,0,0,0,0,-2.2323920683505296,-1.2186051422766428,-0.3335125433108827,-10.58769978764707
P288_P288_LIQUIDITY_VACUUM_Q60_ORIG_H5,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,5,12,58,4,0,0,0,0,-2.2323920683505296,-1.2186051422766428,-0.3335125433108827,-10.58769978764707
P288_P288_LIQUIDITY_VACUUM_Q70_ORIG_H5,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,5,12,44,4,0,0,0,0,-2.2323920683505296,-1.2186051422766428,-0.3335125433108827,-10.58769978764707
P288_P288_LIQUIDITY_VACUUM_Q80_ORIG_H5,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,5,12,29,4,0,0,0,0,-2.2323920683505296,-1.2186051422766428,-0.3335125433108827,-10.58769978764707
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,15,4,0,0,0,0,-1.7004962295271209,-1.4526693949211242,-0.3600490179237469,-10.001361608992969
P288_P288_REPLENISHMENT_ABSORPTION_Q80_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,12,4,0,0,0,0,-1.9839122677816412,-1.6947809607413118,-0.42005718757770466,-10.001361608992969
P288_P288_OPEN_PRESSURE_BURST_Q50_INV_H3,open_pressure_burst,top5_churn_pressure,INV,3,12,55,5,0,0,0,0,-8.850287298303039,-6.540143687081928,-0.5542659325887602,-17.595743891706675
P288_P288_OPEN_PRESSURE_BURST_Q60_INV_H3,open_pressure_burst,top5_churn_pressure,INV,3,12,44,4,0,0,0,0,-4.626532133213117,-4.428266104536967,-0.5542659325887602,-17.595743891706675
P288_P288_OPEN_PRESSURE_BURST_Q70_INV_H3,open_pressure_burst,top5_churn_pressure,INV,3,12,33,4,0,0,0,0,-4.626532133213117,-4.428266104536967,-0.5542659325887602,-17.595743891706675
P288_P288_OPEN_PRESSURE_BURST_Q80_INV_H3,open_pressure_burst,top5_churn_pressure,INV,3,12,22,4,0,0,0,0,-5.079978953522165,-4.425388515284797,-0.5542659325887602,-17.595743891706675
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_ORIG_H3,spread_compression_pressure,replenishment_dominance,ORIG,3,12,15,4,0,0,0,0,-2.659035202169406,-2.4670693615349406,-0.6143518917274008,-17.06533032576113
P288_P288_REPLENISHMENT_ABSORPTION_Q80_ORIG_H3,replenishment_absorption,replenishment_dominance,ORIG,3,12,12,4,0,0,0,0,-3.1022077358643068,-2.878247588457431,-0.7167438736819677,-17.06533032576113
P288_P288_LIQUIDITY_VACUUM_Q50_ORIG_H3,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,3,12,73,7,0,0,0,0,-5.539063233844081,-5.441082220607866,-1.3637433278727227,-43.293438980086435
P288_P288_LIQUIDITY_VACUUM_Q60_ORIG_H3,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,3,12,58,7,0,0,0,0,-5.539063233844081,-5.441082220607866,-1.3637433278727227,-43.293438980086435
P288_P288_LIQUIDITY_VACUUM_Q70_ORIG_H3,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,3,12,44,7,0,0,0,0,-5.539063233844081,-5.441082220607866,-1.3637433278727227,-43.293438980086435
P288_P288_LIQUIDITY_VACUUM_Q80_ORIG_H3,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,3,12,29,6,0,0,0,0,-5.454973311490891,-4.566609342895065,-1.3637433278727227,-43.293438980086435
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,pressure_continuation,abs_consensus_imbalance,ORIG,3,12,111,12,0,0,4,0,-6.712990265395177,-5.816484883214586,-1.6782475663487944,-53.27770051900935
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H3,pressure_continuation,abs_consensus_imbalance,ORIG,3,12,89,12,0,0,4,0,-6.712990265395177,-5.816484883214586,-1.6782475663487944,-53.27770051900935
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H3,pressure_continuation,abs_consensus_imbalance,ORIG,3,12,67,10,0,0,4,0,-6.712990265395177,-5.361886755519753,-1.6782475663487944,-53.27770051900935
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H3,pressure_continuation,abs_consensus_imbalance,ORIG,3,12,45,10,0,0,4,0,-8.020592535822153,-5.3584473005568185,-1.6782475663487944,-53.27770051900935
P288_P288_OPEN_PRESSURE_BURST_Q50_ORIG_H3,open_pressure_burst,top5_churn_pressure,ORIG,3,12,55,5,0,0,0,0,-8.435449582527896,-6.615277516197195,-2.108862395631974,-66.94801255974521
P288_P288_OPEN_PRESSURE_BURST_Q60_ORIG_H3,open_pressure_burst,top5_churn_pressure,ORIG,3,12,44,4,0,0,0,0,-8.435449582527896,-6.030581875265796,-2.108862395631974,-66.94801255974521
P288_P288_OPEN_PRESSURE_BURST_Q70_ORIG_H3,open_pressure_burst,top5_churn_pressure,ORIG,3,12,33,4,0,0,0,0,-8.435449582527896,-6.030581875265796,-2.108862395631974,-66.94801255974521
P288_P288_OPEN_PRESSURE_BURST_Q80_ORIG_H3,open_pressure_burst,top5_churn_pressure,ORIG,3,12,22,4,0,0,0,0,-8.435449582527896,-5.797422259737357,-2.108862395631974,-66.94801255974521
P288_P288_LIQUIDITY_VACUUM_Q50_INV_H5,liquidity_vacuum,liquidity_vacuum_pressure,INV,5,12,73,4,0,0,0,0,-9.199226057723356,-8.20118913164947,-2.2709452566891173,-72.09350021235294
P288_P288_LIQUIDITY_VACUUM_Q60_INV_H5,liquidity_vacuum,liquidity_vacuum_pressure,INV,5,12,58,4,0,0,0,0,-9.199226057723356,-8.20118913164947,-2.2709452566891173,-72.09350021235294
P288_P288_LIQUIDITY_VACUUM_Q70_INV_H5,liquidity_vacuum,liquidity_vacuum_pressure,INV,5,12,44,4,0,0,0,0,-9.199226057723356,-8.20118913164947,-2.2709452566891173,-72.09350021235294
P288_P288_LIQUIDITY_VACUUM_Q80_INV_H5,liquidity_vacuum,liquidity_vacuum_pressure,INV,5,12,29,4,0,0,0,0,-9.199226057723356,-8.20118913164947,-2.2709452566891173,-72.09350021235294
P288_P288_OPEN_PRESSURE_BURST_Q50_ORIG_H5,open_pressure_burst,top5_churn_pressure,ORIG,5,12,55,4,0,0,0,0,-9.340207464067685,-6.249290794038346,-2.3350518660169213,-74.12863066720385
P288_P288_OPEN_PRESSURE_BURST_Q60_ORIG_H5,open_pressure_burst,top5_churn_pressure,ORIG,5,12,44,4,0,0,0,0,-9.340207464067685,-6.249290794038346,-2.3350518660169213,-74.12863066720385
P288_P288_OPEN_PRESSURE_BURST_Q70_ORIG_H5,open_pressure_burst,top5_churn_pressure,ORIG,5,12,33,4,0,0,0,0,-9.340207464067685,-6.249290794038346,-2.3350518660169213,-74.12863066720385
P288_P288_OPEN_PRESSURE_BURST_Q80_ORIG_H5,open_pressure_burst,top5_churn_pressure,ORIG,5,12,22,4,0,0,0,0,-9.340207464067685,-5.949428815363653,-2.3350518660169213,-74.12863066720385
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_INV_H3,spread_compression_pressure,replenishment_dominance,INV,3,12,15,4,0,0,0,0,-9.448685233090398,-9.247057597830594,-2.3621713082725995,-65.61586967423887
P288_P288_LIQUIDITY_VACUUM_Q50_INV_H8,liquidity_vacuum,liquidity_vacuum_pressure,INV,8,12,73,4,0,0,0,0,-10.256303447037931,-8.991789322269774,-2.5275689375190793,-80.24028373076442
P288_P288_LIQUIDITY_VACUUM_Q60_INV_H8,liquidity_vacuum,liquidity_vacuum_pressure,INV,8,12,58,4,0,0,0,0,-10.256303447037931,-8.991789322269774,-2.5275689375190793,-80.24028373076442
P288_P288_LIQUIDITY_VACUUM_Q70_INV_H8,liquidity_vacuum,liquidity_vacuum_pressure,INV,8,12,44,4,0,0,0,0,-10.256303447037931,-8.991789322269774,-2.5275689375190793,-80.24028373076442
P288_P288_LIQUIDITY_VACUUM_Q80_INV_H8,liquidity_vacuum,liquidity_vacuum_pressure,INV,8,12,29,4,0,0,0,0,-10.256303447037931,-8.991789322269774,-2.5275689375190793,-80.24028373076442
P288_P288_REPLENISHMENT_ABSORPTION_Q50_INV_H3,replenishment_absorption,replenishment_dominance,INV,3,12,29,4,0,0,0,0,-10.220481227650478,-8.712516844730956,-2.5551203069126194,-81.1149303781784
P288_P288_REPLENISHMENT_ABSORPTION_Q60_INV_H3,replenishment_absorption,replenishment_dominance,INV,3,12,23,4,0,0,0,0,-10.220481227650478,-8.712516844730956,-2.5551203069126194,-81.1149303781784
P288_P288_REPLENISHMENT_ABSORPTION_Q70_INV_H3,replenishment_absorption,replenishment_dominance,INV,3,12,18,4,0,0,0,0,-10.220481227650478,-8.712516844730956,-2.5551203069126194,-81.1149303781784
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_INV_H3,spread_compression_pressure,replenishment_dominance,INV,3,12,38,4,0,0,0,0,-10.220481227650478,-8.712516844730956,-2.5551203069126194,-81.1149303781784
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_INV_H3,spread_compression_pressure,replenishment_dominance,INV,3,12,30,4,0,0,0,0,-10.220481227650478,-8.712516844730956,-2.5551203069126194,-81.1149303781784
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_INV_H3,spread_compression_pressure,replenishment_dominance,INV,3,12,23,4,0,0,0,0,-10.220481227650478,-8.712516844730956,-2.5551203069126194,-81.1149303781784
P288_P288_OPEN_PRESSURE_BURST_Q50_ORIG_H8,open_pressure_burst,top5_churn_pressure,ORIG,8,12,55,4,0,0,0,0,-10.403547443629954,-6.506334078172986,-2.6008868609074884,-82.56783685420598
P288_P288_OPEN_PRESSURE_BURST_Q60_ORIG_H8,open_pressure_burst,top5_churn_pressure,ORIG,8,12,44,4,0,0,0,0,-10.403547443629954,-6.506334078172986,-2.6008868609074884,-82.56783685420598
P288_P288_OPEN_PRESSURE_BURST_Q70_ORIG_H8,open_pressure_burst,top5_churn_pressure,ORIG,8,12,33,4,0,0,0,0,-10.403547443629954,-6.506334078172986,-2.6008868609074884,-82.56783685420598
