phase288_variant_id,liquidity_family_id,liquidity_family,selection_rule,pressure_column,pressure_threshold_quantile,pressure_threshold_value,side_mode,side_rule,side_multiplier,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator,strategy_replay_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed
P288_P288_PRESSURE_CONTINUATION_Q70_INV_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,INV,inverse/reversal side,-1,10,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,ORIG,original synthetic edge side,1,3,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,ORIG,original synthetic edge side,1,5,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,ORIG,original synthetic edge side,1,8,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,ORIG,original synthetic edge side,1,10,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_INV_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,INV,inverse/reversal side,-1,3,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_INV_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,INV,inverse/reversal side,-1,5,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_INV_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,INV,inverse/reversal side,-1,8,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q80_INV_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.8,0.6313105498258665,INV,inverse/reversal side,-1,10,45,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,ORIG,original synthetic edge side,1,3,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,ORIG,original synthetic edge side,1,5,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,ORIG,original synthetic edge side,1,8,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,ORIG,original synthetic edge side,1,10,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_INV_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,INV,inverse/reversal side,-1,3,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_INV_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,INV,inverse/reversal side,-1,5,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_INV_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,INV,inverse/reversal side,-1,8,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q50_INV_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.5,189750.8632070648,INV,inverse/reversal side,-1,10,109,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,ORIG,original synthetic edge side,1,3,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,ORIG,original synthetic edge side,1,5,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,ORIG,original synthetic edge side,1,8,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,ORIG,original synthetic edge side,1,10,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_INV_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,INV,inverse/reversal side,-1,3,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_INV_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,INV,inverse/reversal side,-1,5,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_INV_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,INV,inverse/reversal side,-1,8,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q60_INV_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.6,194636.46467634878,INV,inverse/reversal side,-1,10,87,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,ORIG,original synthetic edge side,1,3,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,ORIG,original synthetic edge side,1,5,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,ORIG,original synthetic edge side,1,8,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,ORIG,original synthetic edge side,1,10,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_INV_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,INV,inverse/reversal side,-1,3,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_INV_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,INV,inverse/reversal side,-1,5,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_INV_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,INV,inverse/reversal side,-1,8,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q70_INV_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.7,198046.10625222238,INV,inverse/reversal side,-1,10,65,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,ORIG,original synthetic edge side,1,3,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,ORIG,original synthetic edge side,1,5,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,ORIG,original synthetic edge side,1,8,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,ORIG,original synthetic edge side,1,10,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_INV_H3,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,INV,inverse/reversal side,-1,3,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_INV_H5,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,INV,inverse/reversal side,-1,5,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_INV_H8,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,INV,inverse/reversal side,-1,8,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_EXHAUSTION_REVERSAL_Q80_INV_H10,P288_EXHAUSTION_REVERSAL,exhaustion_reversal,"withdrawal and churn high, testing reversal after book exhaustion",depth_withdrawal_pressure,0.8,202414.26923069858,INV,inverse/reversal side,-1,10,44,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H3,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,ORIG,original synthetic edge side,1,3,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H5,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,ORIG,original synthetic edge side,1,5,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H8,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,ORIG,original synthetic edge side,1,8,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H10,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,ORIG,original synthetic edge side,1,10,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_INV_H3,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,INV,inverse/reversal side,-1,3,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_INV_H5,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,INV,inverse/reversal side,-1,5,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_INV_H8,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,INV,inverse/reversal side,-1,8,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_INV_H10,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.5,12.31086764752979,INV,inverse/reversal side,-1,10,38,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H3,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,ORIG,original synthetic edge side,1,3,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H5,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,ORIG,original synthetic edge side,1,5,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H8,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,ORIG,original synthetic edge side,1,8,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H10,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,ORIG,original synthetic edge side,1,10,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_INV_H3,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,INV,inverse/reversal side,-1,3,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_INV_H5,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,INV,inverse/reversal side,-1,5,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_INV_H8,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,INV,inverse/reversal side,-1,8,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_INV_H10,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.6,12.707121307967554,INV,inverse/reversal side,-1,10,30,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H3,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.7,13.12499218438701,ORIG,original synthetic edge side,1,3,23,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H5,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.7,13.12499218438701,ORIG,original synthetic edge side,1,5,23,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H8,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.7,13.12499218438701,ORIG,original synthetic edge side,1,8,23,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H10,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.7,13.12499218438701,ORIG,original synthetic edge side,1,10,23,1,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_INV_H3,P288_SPREAD_COMPRESSION_PRESSURE,spread_compression_pressure,tight spread with replenishment dominance and level-weighted pressure,replenishment_dominance,0.7,13.12499218438701,INV,inverse/reversal side,-1,3,23,1,8,1,1,0,0,fixed_initial_capital,0,0,0
